[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
318  0x00002f94 0x00402f94 4   5    .text   ascii   CL~{
319  0x00002f9b 0x00402f9b 16  17   .text   ascii   xq{q|qie0cmi)[]]
320  0x00002fb4 0x00402fb4 13  14   .text   ascii   \n\r#ILE+7<1;7-
321  0x00003016 0x00403016 8   9    .text   ascii   .|cg`T8;
322  0x0000303b 0x0040303b 8   9    .text   ascii   ~u|oylkh
323  0x00003256 0x00403256 7   8    .text   ascii   d\ajaS`
324  0x000032e6 0x004032e6 5   6    .text   ascii   IRXvJ
325  0x000033bb 0x004033bb 16  17   .text   ascii   |zkrvvcnmaebNbcZ
326  0x000033eb 0x004033eb 24  25   .text   ascii   fk{vtelpp]hg[_\HaQTPQGMJ
327  0x0000342b 0x0040342b 23  24   .text   ascii   fk{vtelpp]hg[_\HXMZ[QRI
328  0x0000344d 0x0040344d 5   6    .text   ascii   hebig
329  0x0000345d 0x0040345d 4   5    .text   ascii   hebi
330  0x0000346d 0x0040346d 4   5    .text   ascii   hebh
331  0x0000347d 0x0040347d 4   5    .text   ascii   heba
332  0x0000348d 0x0040348d 4   5    .text   ascii   hec`
333  0x00003504 0x00403504 12  13   .text   ascii   kernel32.dll
334  0x00003514 0x00403514 11  12   .text   ascii   shell32.dll
335  0x00003520 0x00403520 11  12   .text   ascii   shlwapi.dll
336  0x0000352c 0x0040352c 9   10   .text   ascii   psapi.dll
337  0x00003538 0x00403538 12  13   .text   ascii   advapi32.dll
338  0x00003548 0x00403548 11  12   .text   ascii   wsock32.dll
339  0x00003554 0x00403554 9   10   .text   ascii   ole32.dll
340  0x00003560 0x00403560 9   20   .text   utf16le \\.\pipe\
341  0x00003574 0x00403574 16  34   .text   utf16le SeDebugPrivilege
342  0x000035a8 0x004035a8 17  36   .text   utf16le ShutdownPrivilege
343  0x000035cc 0x004035cc 27  56   .text   utf16le %S\r\nIE session cookies:\r\n%S
344  0x00003604 0x00403604 9   10   .text   ascii   *<select 
345  0x00003610 0x00403610 18  19   .text   ascii   *<option  selected
346  0x00003624 0x00403624 16  17   .text   ascii   *<input *value="
347  0x00003638 0x00403638 17  36   .text   utf16le BOFA answers:\n\n%S
348  0x0000365c 0x0040365c 6   7    .text   ascii   %%0%uu
349  0x00003664 0x00403664 26  54   .text   utf16le grab_%S_%02u_%02u_%02u.bin
350  0x0000369c 0x0040369c 25  52   .text   utf16le Grabbed data from: %S\n\n%S
351  0x000036d0 0x004036d0 26  54   .text   utf16le %S\nReferer: %S\n%SData:\n\n%S
352  0x0000370c 0x0040370c 4   5    .text   ascii   pop3
353  0x00003714 0x00403714 26  54   .text   utf16le %S://%S:%S@%u.%u.%u.%u:%u/
354  0x0000374c 0x0040374c 12  26   .text   utf16le _H_64AD0625_
355  0x00003768 0x00403768 20  42   .text   utf16le __SYSTEM__64AD0625__
356  0x0000379c 0x0040379c 55  56   .text   ascii   Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)
357  0x000037d4 0x004037d4 8   9    .text   ascii   HTTP/1.1
358  0x000037e0 0x004037e0 4   5    .text   ascii   POST
359  0x000037ec 0x004037ec 10  11   .text   ascii   urlmon.dll
360  0x000037f8 0x004037f8 21  22   .text   ascii   ObtainUserAgentString
361  0x00003824 0x00403824 11  12   .text   ascii   cabinet.dll
362  0x00003830 0x00403830 9   10   .text   ascii   FCICreate
363  0x0000383c 0x0040383c 10  11   .text   ascii   FCIAddFile
364  0x00003848 0x00403848 15  16   .text   ascii   FCIFlushCabinet
365  0x00003858 0x00403858 10  11   .text   ascii   FCIDestroy
366  0x00003876 0x00403876 4   5    .text   ascii   L09n
367  0x00003894 0x00403894 4   10   .text   utf16le .lll
368  0x000038a0 0x004038a0 16  17   .text   ascii   #423,f;342423423
369  0x00003930 0x00403930 6   7    .text   ascii   SWWWWj
370  0x00003978 0x00403978 5   6    .text   ascii   WWWWj
371  0x000039a0 0x004039a0 5   6    .text   ascii   E\bSVW
372  0x000039ff 0x004039ff 4   5    .text   ascii   p$Wh
373  0x00003a30 0x00403a30 5   6    .text   ascii   WWWWj
374  0x00003a5c 0x00403a5c 4   5    .text   ascii   PPPP
375  0x00003a96 0x00403a96 4   5    .text   ascii    h"N
376  0x00003b12 0x00403b12 4   5    .text   ascii    h+N
377  0x00003b63 0x00403b63 8   9    .text   ascii   DSVWh\b'A
378  0x00003c08 0x00403c08 4   5    .text   ascii    h$N
379  0x00003c88 0x00403c88 4   5    .text   ascii   h\b'A
