[Strings]
nth  paddr      vaddr      len  size section       type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
234  0x00025a09 0x00426609 4    5    .text         ascii   <\ru\a
235  0x00025c00 0x00426800 4    5    .text         ascii   H;Ex
236  0x00025c30 0x00426830 4    5    .text         ascii   ExH9
237  0x00025cf3 0x004268f3 4    5    .text         ascii   H;Ex
238  0x00025d23 0x00426923 4    5    .text         ascii   ExH9
239  0x00025daf 0x004269af 4    5    .text         ascii   ExH+
240  0x00025e2a 0x00426a2a 6    7    .text         ascii   EhH;EP
241  0x00025eb9 0x00426ab9 4    5    .text         ascii   E \e\n
242  0x00025ed5 0x00426ad5 4    5    .text         ascii   ExH+
243  0x00025fba 0x00426bba 4    5    .text         ascii   E !\n
244  0x00026058 0x00426c58 4    5    .text         ascii   E "\n
245  0x000260ad 0x00426cad 4    5    .text         ascii   E $\n
246  0x000260f8 0x00426cf8 4    5    .text         ascii   E %\n
247  0x00026121 0x00426d21 4    5    .text         ascii   E &\n
248  0x000261ed 0x00426ded 4    5    .text         ascii   E '\n
249  0x0002628b 0x00426e8b 4    5    .text         ascii   E (\n
250  0x000262d9 0x00426ed9 4    5    .text         ascii   E *\n
251  0x000262f3 0x00426ef3 4    5    .text         ascii   E +\n
252  0x00026310 0x00426f10 4    5    .text         ascii   E -\n
253  0x00026331 0x00426f31 4    5    .text         ascii   E .\n
254  0x000263cf 0x00426fcf 4    5    .text         ascii   E /\n
255  0x0002641f 0x0042701f 4    5    .text         ascii   E 1\n
256  0x000264bd 0x004270bd 4    5    .text         ascii   E 2\n
257  0x00026512 0x00427112 4    5    .text         ascii   E @\n
258  0x00026d6a 0x0042796a 4    5    .text         ascii   D$ h
259  0x00026f4d 0x00427b4d 5    6    .text         ascii   <.u3H
260  0x00027f08 0x00428b08 4    5    .text         ascii   \u,H
261  0x000287d5 0x004293d5 4    7    .text         utf8    ЉE܃} blocks=Cyrillic,Basic Latin,Syriac
262  0x000287ec 0x004293ec 4    7    .text         utf8    E؋Eغ blocks=Basic Latin,Arabic
263  0x00029199 0x00429d99 4    7    .text         utf8    UЋE؉ blocks=Basic Latin,Cyrillic,Arabic
264  0x0002acc2 0x0042b8c2 5    7    .text         utf8    tiHǅp blocks=Basic Latin,Latin Extended-B
265  0x0002aeb1 0x0042bab1 4    6    .text         utf8    HHǅp blocks=Basic Latin,Latin Extended-B
266  0x0002af38 0x0042bb38 5    7    .text         utf8    uuHǅp blocks=Basic Latin,Latin Extended-B
267  0x0002b2b6 0x0042beb6 4    5    .text         ascii   @"f=
268  0x0002b7d9 0x0042c3d9 4    6    .text         utf8    ȈE(H blocks=Latin Extended-B,Basic Latin
269  0x0002bcc9 0x0042c8c9 10   11   .text         ascii   UUUUUUUUH!
270  0x0002bced 0x0042c8ed 11   12   .text         ascii   33333333H#E
271  0x0002bd06 0x0042c906 10   11   .text         ascii   33333333H!
272  0x0002be07 0x0042ca07 4    5    .text         ascii   \bH;E
273  0x0002c141 0x0042cd41 4    5    .text         ascii   < u\a
274  0x0002c277 0x0042ce77 4    5    .text         ascii   <=u\a
275  0x0002c434 0x0042d034 4    5    .text         ascii   <=u\a
276  0x0002c563 0x0042d163 4    5    .text         ascii   < u\a
277  0x0002c942 0x0042d542 5    6    .text         ascii   <"u]H
278  0x0002d0e4 0x0042dce4 9    10   .text         ascii   @HH;Ep|6H
279  0x0002d39f 0x0042df9f 5    6    .text         ascii   <\tt3H
280  0x0002d3d2 0x0042dfd2 4    5    .text         ascii   < u\a
281  0x0002d6b7 0x0042e2b7 9    10   .text         ascii   @HH;Eh|7H
282  0x0002e08d 0x0042ec8d 5    6    .text         ascii   <\tt3H
283  0x0002e0c0 0x0042ecc0 4    5    .text         ascii   < u\a
284  0x0002e377 0x0042ef77 5    6    .text         ascii   <:t3H
285  0x0002e3aa 0x0042efaa 4    5    .text         ascii   <=u\a
286  0x0002e672 0x0042f272 5    6    .text         ascii   <\tt3H
287  0x0002e6a5 0x0042f2a5 4    5    .text         ascii   < u\a
288  0x0002e832 0x0042f432 6    7    .text         ascii   @HH;E`
289  0x0002e8db 0x0042f4db 4    6    .text         utf8    E(Hǅ blocks=Basic Latin,Latin Extended-B
290  0x0002e930 0x0042f530 6    7    .text         ascii   @HH;EX
291  0x0002eb2f 0x0042f72f 4    5    .text         ascii   H;E@
292  0x0002f6c7 0x004302c7 4    5    .text         ascii   @"f=
293  0x0002f79c 0x0043039c 4    6    .text         utf8    D\t\tE
294  0x0002fe77 0x00430a77 4    5    .text         ascii   @"f=
295  0x00030152 0x00430d52 4    5    .text         ascii   \ru7H
296  0x000307df 0x004313df 4    5    .text         ascii   @"f=
297  0x00030a6a 0x0043166a 4    5    .text         ascii   @"f=
298  0x00031036 0x00431c36 5    7    .text         utf8    u9Hǅ` blocks=Basic Latin,Latin Extended-B
299  0x0003105e 0x00431c5e 4    7    .text         utf8    EċEĺ blocks=Basic Latin,Latin Extended-A
300  0x000310ef 0x00431cef 5    7    .text         utf8    u9Hǅ` blocks=Basic Latin,Latin Extended-B
301  0x00031188 0x00431d88 5    7    .text         utf8    PXHǅ` blocks=Basic Latin,Latin Extended-B
302  0x000311af 0x00431daf 5    7    .text         utf8    u9Hǅ` blocks=Basic Latin,Latin Extended-B
303  0x00031222 0x00431e22 5    7    .text         utf8    P`Hǅ` blocks=Basic Latin,Latin Extended-B
304  0x00031281 0x00431e81 5    7    .text         utf8    PPHǅ` blocks=Basic Latin,Latin Extended-B
305  0x000312a8 0x00431ea8 5    7    .text         utf8    u9Hǅ` blocks=Basic Latin,Latin Extended-B
306  0x0003158a 0x0043218a 4    5    .text         ascii   E H9
307  0x00031c47 0x00432847 4    5    .text         ascii   H;EP
308  0x00031cac 0x004328ac 4    5    .text         ascii   EXH9
309  0x00031d55 0x00432955 4    5    .text         ascii   EXH9
310  0x00031dfa 0x004329fa 4    5    .text         ascii   EXH9
311  0x0003231e 0x00432f1e 4    5    .text         ascii   R Hc
312  0x000324b2 0x004330b2 5    7    .text         utf8    U܈PMH blocks=Basic Latin,Syriac
313  0x0003273e 0x0043333e 4    6    .text         utf8    E\bǅ\f blocks=Basic Latin,Latin Extended-B
314  0x00032785 0x00433385 4    6    .text         utf8    E\bǅ\b blocks=Basic Latin,Latin Extended-B
315  0x000327e0 0x004333e0 4    5    .text         ascii   L$ H
316  0x00032800 0x00433400 4    5    .text         ascii   EHH=
317  0x0003280c 0x0043340c 4    5    .text         ascii   EHH=
318  0x00032854 0x00433454 4    5    .text         ascii   E@H=
319  0x00032860 0x00433460 4    5    .text         ascii   E@H=
320  0x000328a8 0x004334a8 4    5    .text         ascii   E8H=
321  0x000328b4 0x004334b4 4    5    .text         ascii   E8H=
322  0x00032a8c 0x0043368c 5    7    .text         utf8    P HǅH blocks=Basic Latin,Latin Extended-B
323  0x00032b8b 0x0043378b 5    7    .text         utf8    E\bHǅ@ blocks=Basic Latin,Latin Extended-B
324  0x00032d56 0x00433956 4    6    .text         utf8    E\bǅ4 blocks=Basic Latin,Latin Extended-B
325  0x00032dc1 0x004339c1 4    5    .text         ascii   L$HH
326  0x00032dca 0x004339ca 4    5    .text         ascii   L$@H
327  0x00032dd6 0x004339d6 4    5    .text         ascii   L$8H
328  0x00032fd6 0x00433bd6 4    6    .text         utf8    E\bHǅ blocks=Basic Latin,Latin Extended-B
329  0x000330a9 0x00433ca9 4    5    .text         ascii   E`Hc
330  0x0003401a 0x00434c1a 6    8    .text         utf8    U\tD$(H
331  0x00034919 0x00435519 5    7    .text         utf8    tGHǅp blocks=Basic Latin,Latin Extended-B
332  0x00034a48 0x00435648 4    5    .text         ascii   T$(H
333  0x00034d72 0x00435972 5    7    .text         utf8    uEHǅp blocks=Basic Latin,Latin Extended-B
334  0x000351dc 0x00435ddc 5    7    .text         utf8    PHHǅp blocks=Basic Latin,Latin Extended-B
335  0x0003572a 0x0043632a 4    5    .text         ascii   T$(H
336  0x00035abb 0x004366bb 4    5    .text         ascii   @\bH9
337  0x00035ea5 0x00436aa5 5    7    .text         utf8    tGHǅp blocks=Basic Latin,Latin Extended-B
338  0x00035f7a 0x00436b7a 4    5    .text         ascii   T$(H
339  0x00036219 0x00436e19 4    5    .text         ascii   T$(H
340  0x00036222 0x00436e22 4    5    .text         ascii   T$ M
341  0x00036adf 0x004376df 4    5    .text         ascii   @"f=
342  0x00037286 0x00437e86 4    5    .text         ascii   E\bHk
343  0x0003744d 0x0043804d 5    6    .text         ascii   EPH#E
344  0x0003755e 0x0043815e 4    5    .text         ascii   H;EP
345  0x00037b51 0x00438751 4    5    .text         ascii   E0H9
346  0x00037c24 0x00438824 4    5    .text         ascii   E0H9
347  0x0003810b 0x00438d0b 4    5    .text         ascii   T$ M
348  0x00038401 0x00439001 4    5    .text         ascii   T$ M
349  0x0003879b 0x0043939b 4    5    .text         ascii   @"f=
350  0x00039955 0x0043a555 4    6    .text         utf8    ulHǅ blocks=Basic Latin,Latin Extended-B
