[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
325  0x000085c0 0x004091c0 6   13   .text   utf16le jjjjjj
326  0x00008654 0x00409254 6   13   .text   utf16le jjjjjj
327  0x00008686 0x00409286 5   6    .text   ascii   N\f;N$
328  0x000086c0 0x004092c0 4   5    .text   ascii   fuEj
329  0x000086e9 0x004092e9 6   13   .text   utf16le jjjjjj
330  0x0000870d 0x0040930d 6   13   .text   utf16le jjjjjj
331  0x00008788 0x00409388 6   13   .text   utf16le jjjjjj
332  0x000087b9 0x004093b9 5   6    .text   ascii   N\f;N$
333  0x00008815 0x00409415 4   5    .text   ascii   huEj
334  0x0000883e 0x0040943e 6   13   .text   utf16le jjjjjj
335  0x00008862 0x00409462 6   13   .text   utf16le jjjjjj
336  0x0000890c 0x0040950c 7   8    .text   ascii   N\f;N$u0
337  0x00008923 0x00409523 4   5    .text   ascii   su\ej
338  0x0000897c 0x0040957c 7   8    .text   ascii   d$\bh/BA
339  0x000089b0 0x004095b0 4   5    .text   ascii   SftB
340  0x000089c0 0x004095c0 4   5    .text   ascii   SFhB
341  0x000089f0 0x004095f0 4   5    .text   ascii   SRkB
342  0x000089fe 0x004095fe 4   5    .text   ascii   SdoB
343  0x00008a5a 0x0040965a 4   5    .text   ascii   S5_B
344  0x00008a7c 0x0040967c 4   6    .text   utf8    >Sƕ@ blocks=Basic Latin,Latin Extended-B
345  0x00008b0d 0x0040970d 4   5    .text   ascii   03*E
346  0x00008bdf 0x004097df 4   5    .text   ascii   /\bS 
347  0x00008c11 0x00409811 4   5    .text   ascii   8\erm
348  0x00008c1c 0x0040981c 4   5    .text   ascii   h3CA
349  0x00008c77 0x00409877 4   5    .text   ascii   SwuB
350  0x00008cc3 0x004098c3 4   5    .text   ascii   qpsj
351  0x00008d8b 0x0040998b 4   5    .text   ascii   H>Sx
352  0x00008e39 0x00409a39 4   5    .text   ascii   Sp@A
353  0x00008ea7 0x00409aa7 4   5    .text   ascii   S\buB
354  0x00008ee7 0x00409ae7 4   5    .text   ascii   S\vwB
355  0x00008f36 0x00409b36 6   7    .text   ascii   \b'S9xB
356  0x00008f59 0x00409b59 6   7    .text   ascii   \b'SDyB
357  0x00008fe4 0x00409be4 7   9    .text   utf8    }LߋD$ ` blocks=Basic Latin,NKo
358  0x00009009 0x00409c09 5   6    .text   ascii   <>fRf
359  0x0000901d 0x00409c1d 4   6    .text   utf8    ϋ|$[ blocks=Greek and Coptic,Basic Latin
360  0x00009038 0x00409c38 4   5    .text   ascii   \aiHF
361  0x00009066 0x00409c66 4   5    .text   ascii   S#~B
362  0x000090d2 0x00409cd2 4   5    .text   ascii   VPj\n
363  0x0000912a 0x00409d2a 4   5    .text   ascii   5l A
364  0x00009199 0x00409d99 4   5    .text   ascii   5l A
365  0x000091a5 0x00409da5 4   5    .text   ascii   5l A
366  0x000091b1 0x00409db1 4   5    .text   ascii   5l A
367  0x000091cf 0x00409dcf 4   5    .text   ascii   ht A
368  0x00009287 0x00409e87 4   5    .text   ascii   5p A
369  0x00009293 0x00409e93 4   5    .text   ascii   u\bj\f
370  0x000092b3 0x00409eb3 4   5    .text   ascii   5p A
371  0x000092d0 0x00409ed0 4   5    .text   ascii   5t A
372  0x000092dc 0x00409edc 4   5    .text   ascii   5l A
373  0x000092e8 0x00409ee8 4   5    .text   ascii   5l A
374  0x000092f4 0x00409ef4 4   5    .text   ascii   5p A
375  0x00009311 0x00409f11 4   5    .text   ascii   5t A
376  0x0000934a 0x00409f4a 5   6    .text   ascii   J8+Jh
377  0x000093c6 0x00409fc6 4   5    .text   ascii   5p A
378  0x0000944e 0x0040a04e 4   5    .text   ascii   5p A
379  0x000096e4 0x0040a2e4 5   6    .text   ascii   ;G\bu\a
380  0x00009854 0x0040a454 4   5    .text   ascii   j4j4
381  0x00009975 0x0040a575 5   8    .text   utf8    <ҵDÕ\t blocks=Basic Latin,Cyrillic,Latin-1 Supplement
382  0x00009b28 0x0040a728 4   6    .text   utf8    L$\b3
383  0x00009b67 0x0040a767 7   8    .text   ascii   f;\f8u\tf
384  0x00009b86 0x0040a786 4   5    .text   ascii   SVW3
385  0x00009bd6 0x0040a7d6 4   5    .text   ascii   t\a;u
386  0x00009e10 0x0040b010 4   6    .rdata  utf8    [ێ\t_ blocks=Basic Latin,Arabic
