[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
357  0x000066b2 0x004078b2 16  17   .rdata  ascii   CreateDirectoryA
358  0x000066c6 0x004078c6 18  19   .rdata  ascii   SetFileAttributesA
359  0x000066dc 0x004078dc 5   6    .rdata  ascii   Sleep
360  0x000066e4 0x004078e4 11  12   .rdata  ascii   GetFileSize
361  0x000066f2 0x004078f2 18  19   .rdata  ascii   GetModuleFileNameA
362  0x00006708 0x00407908 12  13   .rdata  ascii   GetTickCount
363  0x00006718 0x00407918 17  18   .rdata  ascii   GetCurrentProcess
364  0x0000672c 0x0040792c 9   10   .rdata  ascii   CopyFileA
365  0x00006738 0x00407938 11  12   .rdata  ascii   ExitProcess
366  0x00006746 0x00407946 20  21   .rdata  ascii   GetWindowsDirectoryA
367  0x0000675e 0x0040795e 12  13   .rdata  ascii   GetTempPathA
368  0x0000676e 0x0040796e 15  16   .rdata  ascii   GetCommandLineA
369  0x00006780 0x00407980 12  13   .rdata  ascii   LoadLibraryA
370  0x00006790 0x00407990 9   10   .rdata  ascii   lstrcpynA
371  0x0000679c 0x0040799c 17  18   .rdata  ascii   GetDiskFreeSpaceA
372  0x000067b0 0x004079b0 12  13   .rdata  ascii   GlobalUnlock
373  0x000067c0 0x004079c0 10  11   .rdata  ascii   GlobalLock
374  0x000067ce 0x004079ce 12  13   .rdata  ascii   CreateThread
375  0x000067de 0x004079de 14  15   .rdata  ascii   CreateProcessA
376  0x000067f0 0x004079f0 16  17   .rdata  ascii   RemoveDirectoryA
377  0x00006804 0x00407a04 11  12   .rdata  ascii   CreateFileA
378  0x00006812 0x00407a12 16  17   .rdata  ascii   GetTempFileNameA
379  0x00006826 0x00407a26 8   9    .rdata  ascii   lstrlenA
380  0x00006832 0x00407a32 8   9    .rdata  ascii   lstrcatA
381  0x0000683e 0x00407a3e 19  20   .rdata  ascii   GetSystemDirectoryA
382  0x00006852 0x00407a52 12  13   .rdata  ascii   KERNEL32.dll
383  0x00006862 0x00407a62 8   9    .rdata  ascii   EndPaint
384  0x0000686e 0x00407a6e 9   10   .rdata  ascii   DrawTextA
385  0x0000687a 0x00407a7a 8   9    .rdata  ascii   FillRect
386  0x00006886 0x00407a86 13  14   .rdata  ascii   GetClientRect
