Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
306  0x00007cdc 0x00407cdc 5   6    .text   ascii   m-tf;
307  0x00007d25 0x00407d25 4   5    .text   ascii   LQnQ
308  0x00007d4c 0x00407d4c 4   5    .text   ascii   "Y\t4
309  0x00007d76 0x00407d76 4   5    .text   ascii   x<-w
310  0x00007e52 0x00407e52 4   5    .text   ascii   I 7S
311  0x00007eb5 0x00407eb5 4   6    .text   utf8    ̥9`* blocks=Combining Diacritical Marks,Basic Latin
312  0x00007edb 0x00407edb 5   7    .text   utf8    Qhdeʜ blocks=Basic Latin,IPA Extensions
313  0x00007eed 0x00407eed 4   5    .text   ascii   /9\t&
314  0x00007f42 0x00407f42 5   7    .text   utf8    FƂ,J; blocks=Basic Latin,Latin Extended-B
315  0x00007fc2 0x00407fc2 4   7    .text   utf8    E+䊡@ blocks=Basic Latin,CJK Unified Ideographs Extension A
316  0x00007fd8 0x00407fd8 5   6    .text   ascii   #\f\f^S
317  0x00008067 0x00408067 4   5    .text   ascii   Ds\fS
318  0x0000808c 0x0040808c 4   6    .text   utf8    /ӾN} blocks=Basic Latin,Cyrillic
319  0x0000815d 0x0040815d 4   5    .text   ascii   Ko2x
320  0x000081f4 0x004081f4 4   5    .text   ascii   \e,Wr
321  0x00008396 0x00408396 6   7    .text   ascii   F=rvUL
322  0x00008406 0x00408406 4   7    .text   utf8    I螡lt blocks=Basic Latin,CJK Unified Ideographs
323  0x0000848b 0x0040848b 4   5    .text   ascii   2\neY
324  0x000085a5 0x004085a5 4   5    .text   ascii   YDVE
325  0x0000860b 0x0040860b 5   8    .text   utf8    MN\aՐ̥ blocks=Basic Latin,Armenian,Combining Diacritical Marks
326  0x000087b1 0x004087b1 7   8    .text   ascii   9G,]&eo
327  0x000087bf 0x004087bf 4   6    .text   utf8    YgtА blocks=Basic Latin,Cyrillic
328  0x000087eb 0x004087eb 6   7    .text   ascii   \aq{\rNy
329  0x0000881a 0x0040881a 4   5    .text   ascii   ;<5v
330  0x00008823 0x00408823 4   5    .text   ascii   s\bP;
331  0x000088a5 0x004088a5 4   5    .text   ascii   5S.C
332  0x000088c0 0x004088c0 6   7    .text   ascii   <jFiu\f
333  0x00008904 0x00408904 5   6    .text   ascii   |s}BM
334  0x000089f3 0x004089f3 4   5    .text   ascii   '=+E
