[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
160  0x00002a70 0x00403670 6   8    CODE    utf8    2_^[Í@ blocks=Basic Latin,Latin-1 Supplement
161  0x00002a86 0x00403686 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
162  0x00002ab4 0x004036b4 5   7    CODE    utf8    ۬SG7@ blocks=Arabic,Basic Latin
163  0x00002acc 0x004036cc 5   7    CODE    utf8    ۬S}8@ blocks=Arabic,Basic Latin
164  0x00002af9 0x004036f9 5   7    CODE    utf8    ۬SG7@ blocks=Arabic,Basic Latin
165  0x00002b11 0x00403711 5   7    CODE    utf8    ۬S}8@ blocks=Arabic,Basic Latin
166  0x00002b2f 0x0040372f 4   6    CODE    utf8    ۫=7@ blocks=Arabic,Basic Latin
167  0x00002bcd 0x004037cd 4   7    CODE    utf8    *焑*@ blocks=Basic Latin,CJK Unified Ideographs
168  0x00002bfd 0x004037fd 5   6    CODE    ascii   @v:k\v
169  0x00002c0a 0x0040380a 4   6    CODE    utf8    #Ǌ>@ blocks=Basic Latin,Latin Extended-B
170  0x00002c44 0x00403844 4   5    CODE    ascii   @aQY
171  0x00002c80 0x00403880 4   5    CODE    ascii   E@|o
172  0x00002c8d 0x0040388d 4   7    CODE    utf8    ŝi@զ blocks=Latin Extended-A,Basic Latin,Armenian
173  0x00002cb8 0x004038b8 5   6    CODE    ascii   BkU'9
174  0x00002cdd 0x004038dd 4   6    CODE    utf8    &һCv blocks=Basic Latin,Cyrillic
175  0x00002d2f 0x0040392f 6   9    CODE    utf8    HM䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
176  0x00002dc8 0x004039c8 4   5    CODE    ascii   hH:@
177  0x00002ddd 0x004039dd 5   6    CODE    ascii   Uh!:@
178  0x00002dfc 0x004039fc 4   5    CODE    ascii   hd:@
179  0x00002e0c 0x00403a0c 4   5    CODE    ascii   ZYYd
180  0x00002e12 0x00403a12 4   5    CODE    ascii   h(:@
181  0x00002e48 0x00403a48 27  28   CODE    ascii   SOFTWARE\Borland\Delphi\RTL
182  0x00002e64 0x00403a64 12  13   CODE    ascii   FPUMaskValue
183  0x00002e78 0x00403a78 4   5    CODE    ascii   - 0C
184  0x00002e90 0x00403a90 5   7    CODE    utf8    $ZÐVW blocks=Basic Latin,Latin-1 Supplement
185  0x00002ea2 0x00403aa2 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
186  0x00002eb2 0x00403ab2 5   7    CODE    utf8    1Ɋ\b;J blocks=Basic Latin,Latin Extended-B
187  0x00002fa2 0x00403ba2 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
188  0x00002fb1 0x00403bb1 4   7    CODE    utf8    V\vv܅ blocks=Basic Latin,Syriac
189  0x00002fc5 0x00403bc5 4   7    CODE    utf8    ^[Çс blocks=Basic Latin,Latin-1 Supplement,Cyrillic
190  0x00002ffe 0x00403bfe 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
191  0x00003072 0x00403c72 4   5    CODE    ascii   ZYYd
192  0x0000308f 0x00403c8f 7   9    CODE    utf8    _^[YY]Ë blocks=Basic Latin,Latin-1 Supplement
193  0x000030a9 0x00403ca9 4   5    CODE    ascii   2;0u
194  0x000030b7 0x00403cb7 7   8    CODE    ascii   r\b;p\bu\b
195  0x000030bf 0x00403cbf 6   7    CODE    ascii   r\f;p\ft
196  0x000030c9 0x00403cc9 5   8    CODE    utf8    Iu܋[܅ blocks=Basic Latin,Syriac
197  0x000030fa 0x00403cfa 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
198  0x00003142 0x00403d42 4   6    CODE    utf8    )ȋtG blocks=Basic Latin,Latin Extended-B
199  0x00003183 0x00403d83 4   7    CODE    utf8    $ZË8 blocks=Basic Latin,Latin-1 Supplement
200  0x000031c2 0x00403dc2 5   7    CODE    utf8    ÐSVW1 blocks=Latin-1 Supplement,Basic Latin
201  0x0000320e 0x00403e0e 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
202  0x00003214 0x00403e14 4   5    CODE    ascii   SVW1
203  0x00003235 0x00403e35 5   6    CODE    ascii   t1\aOu
204  0x0000326e 0x00403e6e 4   6    CODE    utf8    1ҍL$ blocks=Basic Latin,Cyrillic
205  0x00003288 0x00403e88 4   5    CODE    ascii   \n[YZ
206  0x000032dd 0x00403edd 4   5    CODE    ascii   =(0C
207  0x000032f9 0x00403ef9 4   5    CODE    ascii   =(0C
208  0x00003301 0x00403f01 5   6    CODE    ascii   PPRTj
209  0x00003316 0x00403f16 4   6    CODE    utf8    \bXÍ@ blocks=Basic Latin,Latin-1 Supplement
210  0x00003335 0x00403f35 4   5    CODE    ascii   =(0C
211  0x00003349 0x00403f49 4   5    CODE    ascii   =(0C
212  0x0000334f 0x00403f4f 4   5    CODE    ascii   v\aPS
213  0x0000337d 0x00403f7d 4   5    CODE    ascii   =(0C
214  0x0000339e 0x00403f9e 5   7    CODE    utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
215  0x000033a5 0x00403fa5 4   5    CODE    ascii   =(0C
216  0x000033c3 0x00403fc3 4   5    CODE    ascii   =(0C
217  0x000033db 0x00403fdb 6   9    CODE    utf8    ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
218  0x00003433 0x00404033 4   5    CODE    ascii   =,0C
219  0x0000343c 0x0040403c 4   5    CODE    ascii   =(0C
220  0x0000346e 0x0040406e 4   5    CODE    ascii   =,0C
221  0x00003477 0x00404077 4   5    CODE    ascii   =(0C
222  0x00003481 0x00404081 6   7    CODE    ascii   D$\bRQP
223  0x0000348f 0x0040408f 5   6    CODE    ascii   YZXtp
224  0x0000349b 0x0040409b 4   5    CODE    ascii   VWUd
225  0x000034a0 0x004040a0 5   6    CODE    ascii   \eSPRQ
226  0x000034a6 0x004040a6 4   5    CODE    ascii   T$(j
227  0x00003509 0x00404109 4   7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
228  0x0000354a 0x0040414a 7   8    CODE    ascii   T$\bSVWU
229  0x0000357c 0x0040417c 9   11   CODE    utf8    1Ɋ\b:\nu\t@B blocks=Basic Latin,Latin Extended-B
230  0x0000359c 0x0040419c 4   5    CODE    ascii   ]_^[
231  0x000035c7 0x004041c7 4   5    CODE    ascii   =,0C
232  0x000035d0 0x004041d0 4   5    CODE    ascii   =(0C
233  0x000035f9 0x004041f9 4   5    CODE    ascii   =,0C
234  0x00003602 0x00404202 4   5    CODE    ascii   =(0C
235  0x0000360c 0x0040420c 6   7    CODE    ascii   D$\bRQP
236  0x0000361a 0x0040421a 6   7    CODE    ascii   YZXtm1
237  0x00003623 0x00404223 5   6    CODE    ascii   \eSPRQ
238  0x00003633 0x00404233 5   6    CODE    ascii   Ph@B@
239  0x00003691 0x00404291 4   7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
240  0x000036af 0x004042af 4   5    CODE    ascii   SVWU
241  0x000036c0 0x004042c0 4   5    CODE    ascii   ]_^[
242  0x000036da 0x004042da 12  13   CODE    ascii   ZTUWVSPRTj\aj
243  0x000036f3 0x004042f3 4   6    CODE    utf8    ËD$0 blocks=Latin-1 Supplement,Basic Latin
244  0x0000373b 0x0040433b 4   5    CODE    ascii   ]_^[
245  0x00003765 0x00404365 4   5    CODE    ascii   d$,1
246  0x00003778 0x00404378 5   7    CODE    utf8    1ҋL$\b blocks=Basic Latin,Cyrillic
247  0x0000379e 0x0040439e 4   5    CODE    ascii   ,t\=
248  0x000037b6 0x004043b6 5   6    CODE    ascii   t=HtN
249  0x000037c5 0x004043c5 4   5    CODE    ascii   r6t0
250  0x000037d9 0x004043d9 4   5    CODE    ascii   t.Ht
251  0x00003842 0x00404442 4   5    CODE    ascii   =(0C
252  0x00003864 0x00404464 4   5    CODE    ascii   T$\bj
253  0x00003869 0x00404469 5   6    CODE    ascii   PhvD@
254  0x000038f0 0x004044f0 5   7    CODE    utf8    1ҡ<vC blocks=Basic Latin,Cyrillic
255  0x00003938 0x00404538 5   6    CODE    ascii   UhmE@
256  0x00003965 0x00404565 4   5    CODE    ascii   ZYYd
257  0x00003981 0x00404581 6   7    CODE    ascii   _^[YY]
258  0x0000399e 0x0040459e 4   6    CODE    utf8    03ۋ@ blocks=Basic Latin,Arabic
259  0x000039d5 0x004045d5 4   5    CODE    ascii   ZYYd
260  0x000039f1 0x004045f1 6   7    CODE    ascii   _^[YY]
261  0x00003a11 0x00404611 5   7    CODE    utf8    3#DvC
262  0x00003a59 0x00404659 5   7    CODE    utf8    ^_[Í@ blocks=Basic Latin,Latin-1 Supplement
263  0x00003aa0 0x004046a0 4   7    CODE    utf8    03\nH
264  0x00003ada 0x004046da 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
265  0x00003b12 0x00404712 4   5    CODE    ascii   =LpC
266  0x00003b1c 0x0040471c 4   5    CODE    ascii   = rC
267  0x00003b26 0x00404726 4   5    CODE    ascii   =(rC
268  0x00003b6f 0x0040476f 6   8    CODE    utf8    ZÀ=00C blocks=Basic Latin,Latin-1 Supplement
269  0x00003b9c 0x0040479c 5   6    CODE    ascii   SVWUQ
270  0x00003bf0 0x004047f0 4   6    CODE    utf8    3\tC\f
271  0x00003c4b 0x0040484b 4   5    CODE    ascii   =(pC
272  0x00003c76 0x00404876 6   8    CODE    utf8    Z]_^[ã blocks=Basic Latin,Latin-1 Supplement
273  0x00003c9f 0x0040489f 4   5    CODE    ascii   h0D@
274  0x00003cc3 0x004048c3 4   5    CODE    ascii   \nY]]
275  0x00003cf6 0x004048f6 4   5    CODE    ascii   U\fRP
276  0x00003d07 0x00404907 4   5    CODE    ascii   _^[]
277  0x00003d31 0x00404931 4   6    CODE    utf8    XÐSV blocks=Basic Latin,Latin-1 Supplement
278  0x00003dfe 0x004049fe 4   6    CODE    utf8    ÐSVW blocks=Latin-1 Supplement,Basic Latin
279  0x00003e29 0x00404a29 5   7    CODE    utf8    ;_^[Ë blocks=Basic Latin,Latin-1 Supplement
280  0x00003e3a 0x00404a3a 5   6    CODE    ascii   E\bPQj
281  0x00003e56 0x00404a56 5   6    CODE    ascii   E\bPQj
282  0x00003e6c 0x00404a6c 4   5    CODE    ascii   SVWU
283  0x00003ef3 0x00404af3 4   5    CODE    ascii   ]_^[
284  0x00003f05 0x00404b05 4   7    CODE    utf8    ZÐ1Ʌ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
285  0x00003f0c 0x00404b0c 6   7    CODE    ascii   t!R:\nt
286  0x00003f1b 0x00404b1b 4   5    CODE    ascii   t\v:J
287  0x00003f3c 0x00404b3c 11  12   CODE    ascii   t-Rf;\nt f;J
288  0x00003f74 0x00404b74 4   6    CODE    utf8    1Ɋ\nB blocks=Basic Latin,Latin Extended-B
289  0x00003f7e 0x00404b7e 4   6    CODE    utf8    ÐWPQ blocks=Latin-1 Supplement,Basic Latin
290  0x0000402a 0x00404c2a 5   6    CODE    ascii   t\;\bt
291  0x0000407d 0x00404c7d 4   6    CODE    utf8    _^[É blocks=Basic Latin,Latin-1 Supplement
292  0x00004090 0x00404c90 5   6    CODE    ascii   SVWRP
293  0x0000409f 0x00404c9f 6   7    CODE    ascii   t\f9\bu\b
294  0x0000410f 0x00404d0f 5   6    CODE    ascii   Z_^[X
295  0x0000414b 0x00404d4b 4   5    CODE    ascii   uXJt
296  0x00004177 0x00404d77 4   5    CODE    ascii   uAJt
297  0x0000417e 0x00404d7e 4   5    CODE    ascii   u:Jt
298  0x000041ba 0x00404dba 4   7    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
299  0x000041e5 0x00404de5 4   5    CODE    ascii   It2S
