[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
277  0x00005212 0x00405e12 5   7    CODE    utf8    3Ɋ\f2F blocks=Basic Latin,Latin Extended-B
278  0x00005219 0x00405e19 6   8    CODE    utf8    @tl;u\b
279  0x00005258 0x00405e58 4   7    CODE    utf8    \vыʋU blocks=Basic Latin,Cyrillic,IPA Extensions
280  0x0000527d 0x00405e7d 4   6    CODE    utf8    f\vыM blocks=Basic Latin,Cyrillic
281  0x0000528e 0x00405e8e 10  11   CODE    ascii   \fB@;u\bs\t;E
282  0x000052b2 0x00405eb2 6   7    CODE    ascii   G;u\bsB
283  0x000052c2 0x00405ec2 7   8    CODE    ascii   t0;u\bs5
284  0x000052e0 0x00405ee0 4   5    CODE    ascii   ;u\bs
285  0x000052f2 0x00405ef2 7   8    CODE    ascii   u\n@;u\br
286  0x00005397 0x00405f97 4   5    CODE    ascii   ZYYd
287  0x000053b2 0x00405fb2 6   8    CODE    utf8    ^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
288  0x000053c5 0x00405fc5 5   6    CODE    ascii   UhO`@
289  0x0000543b 0x0040603b 4   5    CODE    ascii   ZYYd
290  0x00005441 0x00406041 4   5    CODE    ascii   hV`@
291  0x00005456 0x00406056 6   8    CODE    utf8    ^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
292  0x0000548b 0x0040608b 4   5    CODE    ascii   ZYYd
293  0x000054a6 0x004060a6 7   9    CODE    utf8    ^[Y]ÐSV blocks=Basic Latin,Latin-1 Supplement
294  0x00005500 0x00406100 4   6    CODE    utf8    ^[ÐU blocks=Basic Latin,Latin-1 Supplement
295  0x0000550a 0x0040610a 4   6    CODE    utf8    S3҉U blocks=Basic Latin,Cyrillic
296  0x00005512 0x00406112 5   6    CODE    ascii   Uhja@
297  0x00005556 0x00406156 4   5    CODE    ascii   ZYYd
298  0x0000555c 0x0040615c 4   5    CODE    ascii   hqa@
299  0x000055b6 0x004061b6 4   5    CODE    ascii   ZYYd
300  0x000056e1 0x004062e1 5   7    CODE    utf8    $Z[Í@ blocks=Basic Latin,Latin-1 Supplement
301  0x0000573b 0x0040633b 5   8    CODE    utf8    Z[Ë8\f blocks=Basic Latin,Latin-1 Supplement
302  0x0000579c 0x0040639c 4   7    CODE    utf8    ZË8\f blocks=Basic Latin,Latin-1 Supplement
303  0x00005819 0x00406419 4   5    CODE    ascii   u*PR
304  0x0000585d 0x0040645d 5   6    CODE    ascii   Uh}d@
305  0x00005871 0x00406471 4   5    CODE    ascii   ZYYd
306  0x000058a9 0x004064a9 4   5    CODE    ascii   ZYYd
307  0x00005b51 0x00406751 5   6    CODE    ascii   Uhqg@
308  0x00005b65 0x00406765 4   5    CODE    ascii   ZYYd
309  0x00005b6b 0x0040676b 4   5    CODE    ascii   hxg@
310  0x00005e59 0x00406a59 5   6    CODE    ascii   Uhyj@
311  0x00005e6d 0x00406a6d 4   5    CODE    ascii   ZYYd
312  0x00005eea 0x00406aea 13  14   CODE    ascii   \tException@k@
313  0x00005f41 0x00406b41 14  15   CODE    ascii   EHeapException
314  0x00005f9c 0x00406b9c 13  14   CODE    ascii   \fEOutOfMemory
315  0x00005ff8 0x00406bf8 15  16   CODE    ascii   \vEInOutErrorPl@
316  0x00006050 0x00406c50 10  11   CODE    ascii   \tEExternal
317  0x000060a9 0x00406ca9 18  19   CODE    ascii   EExternalException
318  0x00006108 0x00406d08 10  11   CODE    ascii   \tEIntError
319  0x00006160 0x00406d60 11  12   CODE    ascii   \nEDivByZero
320  0x000061b8 0x00406db8 12  13   CODE    ascii   \vERangeError
