[Strings]
nth   paddr      vaddr       len  size section    type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d  44   45              ascii   !This program cannot be run in DOS mode.\r\r\n$
276   0x00003e15 0x140004a15 5    6    .text      ascii   D$0H#
277   0x00003e20 0x140004a20 4    5    .text      ascii   D$0H
278   0x00003e3f 0x140004a3f 4    5    .text      ascii   D$(H
279   0x00003e44 0x140004a44 4    5    .text      ascii   T$ H
280   0x00003e5d 0x140004a5d 4    5    .text      ascii   C\bH#
281   0x00003e6b 0x140004a6b 5    6    .text      ascii   D$ H;
282   0x00003e88 0x140004a88 5    6    .text      ascii   L$8H3
283   0x00003e95 0x140004a95 4    5    .text      ascii   \$XH
284   0x00003eab 0x140004aab 5    6    .text      ascii   )|$PH
285   0x00003ebb 0x140004abb 4    5    .text      ascii   D$@H
286   0x00003ec4 0x140004ac4 4    5    .text      ascii   L$ H
287   0x00003ec9 0x140004ac9 4    5    .text      ascii   L$ A
288   0x00003ef5 0x140004af5 4    5    .text      ascii   D$ f
289   0x00003efa 0x140004afa 4    5    .text      ascii   D$.H
290   0x00003f0c 0x140004b0c 4    5    .text      ascii   D$0H
291   0x00003f11 0x140004b11 4    5    .text      ascii   D$8H
292   0x00003f51 0x140004b51 5    6    .text      ascii   L$@H3
293   0x00003f65 0x140004b65 5    6    .text      ascii   (|$PH
294   0x00003f70 0x140004b70 12   13   .text      ascii   @SUVWATAVAWH
295   0x00003f94 0x140004b94 4    5    .text      ascii   D$hM
296   0x00003fba 0x140004bba 4    5    .text      ascii   t$`D
297   0x00003fbf 0x140004bbf 4    5    .text      ascii   D$HL
298   0x00003fc4 0x140004bc4 4    5    .text      ascii   D$8D
299   0x00003fcc 0x140004bcc 4    5    .text      ascii   t$@D
300   0x00003fd1 0x140004bd1 4    5    .text      ascii   D$(M
301   0x00003ff2 0x140004bf2 4    5    .text      ascii   T$(I
302   0x00003ffb 0x140004bfb 5    6    .text      ascii   CT$(H
303   0x00004020 0x140004c20 4    5    .text      ascii   T$(H
304   0x0000402d 0x140004c2d 4    5    .text      ascii   D$8H
305   0x00004057 0x140004c57 4    5    .text      ascii   t$`2
306   0x00004068 0x140004c68 4    5    .text      ascii   L$(H
307   0x000040a2 0x140004ca2 4    5    .text      ascii   L$HH
308   0x000040d4 0x140004cd4 5    6    .text      ascii   L$hH3
309   0x000040e2 0x140004ce2 11   12   .text      ascii   pA_A^A\_^][
310   0x00004126 0x140004d26 5    6    .text      ascii   t.H9_
311   0x00004130 0x140004d30 4    5    .text      ascii   T$HH
312   0x00004144 0x140004d44 4    5    .text      ascii   D$HH
313   0x00004154 0x140004d54 5    6    .text      ascii   _\bH9_
314   0x0000415e 0x140004d5e 4    5    .text      ascii   T$(H
315   0x00004172 0x140004d72 4    5    .text      ascii   t$`L
316   0x00004181 0x140004d81 4    5    .text      ascii   D$(H
317   0x00004193 0x140004d93 4    5    .text      ascii   t$`L
318   0x0000423f 0x140004e3f 4    5    .text      ascii   t$0H
319   0x000042d3 0x140004ed3 4    5    .text      ascii   t$0H
320   0x000042d8 0x140004ed8 4    5    .text      ascii   \$8H
321   0x000042dd 0x140004edd 4    5    .text      ascii   l$@H
322   0x000042f7 0x140004ef7 5    6    .text      ascii   \$\bWH
323   0x00004318 0x140004f18 4    5    .text      ascii   \$0H
324   0x000043ba 0x140004fba 5    6    .text      ascii   VWAWH
325   0x00004439 0x140005039 5    6    .text      ascii   t$@H=
326   0x000044da 0x1400050da 4    5    .text      ascii   t$@H
327   0x000044df 0x1400050df 4    5    .text      ascii   l$PH
328   0x000044e7 0x1400050e7 4    5    .text      ascii   \$HH
329   0x000044ed 0x1400050ed 5    6    .text      ascii    A__^
330   0x00004525 0x140005125 4    5    .text      ascii   \$@H
331   0x00004554 0x140005154 4    5    .text      ascii   \$@H
332   0x00004559 0x140005159 4    5    .text      ascii   t$HH
333   0x00004567 0x140005167 4    5    .text      ascii   t$ H
334   0x00004577 0x140005177 4    5    .text      ascii   t$HH
335   0x000045c3 0x1400051c3 4    5    .text      ascii   UVWH
336   0x00004641 0x140005241 5    6    .text      ascii   M\bH;y
337   0x0000465c 0x14000525c 4    6    .text      utf8    3ۀy$ blocks=Basic Latin,Arabic
338   0x00004755 0x140005355 12   13   .text      ascii   SVWATAUAVAWH
339   0x0000477e 0x14000537e 4    5    .text      ascii   A\bH+
340   0x000047db 0x1400053db 4    5    .text      ascii   L$ H
341   0x00004804 0x140005404 4    5    .text      ascii   J'H;
342   0x00004866 0x140005466 4    5    .text      ascii   D$(H
343   0x0000488e 0x14000548e 4    5    .text      ascii   uSL;
344   0x000048ec 0x1400054ec 4    6    .text      utf8    L+ǐH blocks=Basic Latin,Latin Extended-B
345   0x00004941 0x140005541 4    5    .text      ascii   O8M+
346   0x000049a2 0x1400055a2 4    5    .text      ascii   v\bI;
347   0x00004a08 0x140005608 4    5    .text      ascii   D$ H
348   0x00004a1b 0x14000561b 12   13   .text      ascii   @A_A^A]A\_^[
349   0x00004a40 0x140005640 8    9    .text      ascii   @SVAUAVH
350   0x00004a70 0x140005670 4    5    .text      ascii   l$PH
351   0x00004a79 0x140005679 4    5    .text      ascii   |$ M
352   0x00004ab1 0x1400056b1 4    5    .text      ascii   |$XL
353   0x00004ab6 0x1400056b6 5    6    .text      ascii   d$`H=
354   0x00004b05 0x140005705 4    5    .text      ascii   d$pM
355   0x00004b90 0x140005790 4    5    .text      ascii   d$`H
356   0x00004b95 0x140005795 4    5    .text      ascii   |$XH
357   0x00004b9a 0x14000579a 4    5    .text      ascii   l$PL
358   0x00004b9f 0x14000579f 4    5    .text      ascii   |$ H
359   0x00004ba5 0x1400057a5 7    8    .text      ascii   (A^A]^[
360   0x00004bc7 0x1400057c7 9    10   .text      ascii   t$ WAVAWH
361   0x00004c02 0x140005802 4    5    .text      ascii   l$@A
362   0x00004c0c 0x14000580c 4    5    .text      ascii   d$HA
363   0x00004c61 0x140005861 4    5    .text      ascii   O\bI#
364   0x00004c72 0x140005872 4    5    .text      ascii   S\bI#
365   0x00004c93 0x140005893 4    5    .text      ascii   l$@H
366   0x00004c9b 0x14000589b 4    5    .text      ascii   d$HH
367   0x00004ca0 0x1400058a0 4    5    .text      ascii   \$PH
368   0x00004ca5 0x1400058a5 4    5    .text      ascii   t$XH
369   0x00004cab 0x1400058ab 6    7    .text      ascii    A_A^_
370   0x00004dd1 0x1400059d1 4    5    .text      ascii   |$0H
371   0x00004e1f 0x140005a1f 4    5    .text      ascii   \$PH
372   0x00004e55 0x140005a55 12   13   .text      ascii   H\bWATAUAVAWH
373   0x00004e84 0x140005a84 5    6    .text      ascii   |$ E2
374   0x00004ea2 0x140005aa2 4    5    .text      ascii   L\tHH
375   0x00004ee6 0x140005ae6 4    5    .text      ascii   L1HH
376   0x00004f38 0x140005b38 4    5    .text      ascii   L1HH
377   0x00004fd7 0x140005bd7 4    5    .text      ascii   |$ D
378   0x00004fe5 0x140005be5 4    5    .text      ascii   d$0E
379   0x0000501c 0x140005c1c 4    5    .text      ascii   $HcH
380   0x00005023 0x140005c23 4    5    .text      ascii   L!HH
381   0x00005048 0x140005c48 10   12   .text      utf8    A_A^A]A\_è blocks=Basic Latin,Latin-1 Supplement
382   0x000051c2 0x140005dc2 4    5    .text      ascii   L\bPH
383   0x0000527c 0x140005e7c 4    5    .text      ascii   APHc
384   0x00005330 0x140005f30 4    5    .text      ascii   T$(H
385   0x00005402 0x140006002 5    6    .text      ascii   L$\bWH
386   0x00005415 0x140006015 4    5    .text      ascii   \$HH
387   0x00005451 0x140006051 4    5    .text      ascii   t\rH;
388   0x0000546b 0x14000606b 4    6    .text      utf8    \bG\bH
389   0x00005474 0x140006074 4    5    .text      ascii   \$HH
390   0x000054a9 0x1400060a9 4    5    .text      ascii   L\nHH
391   0x00005532 0x140006132 8    9    .text      ascii   \$ UVATH
392   0x00005564 0x140006164 4    5    .text      ascii   t$HL
393   0x0000556d 0x14000616d 4    5    .text      ascii   |$PL
394   0x000055a5 0x1400061a5 5    6    .text      ascii   |$@H=
395   0x00005662 0x140006262 4    5    .text      ascii   |$@L
396   0x00005667 0x140006267 4    5    .text      ascii   t$HL
397   0x0000566c 0x14000626c 4    5    .text      ascii   |$PH
398   0x00005671 0x140006271 4    5    .text      ascii   \$XH
399   0x00005677 0x140006277 5    6    .text      ascii    A\^]
400   0x00005767 0x140006367 4    5    .text      ascii   o%#a
401   0x00005773 0x140006373 4    5    .text      ascii   o-'a
402   0x00005788 0x140006388 4    5    .text      ascii   o5"a
403   0x00005824 0x140006424 4    5    .text      ascii   H9A\b
404   0x00005932 0x140006532 5    6    .text      ascii   \$\bWH
405   0x00005958 0x140006558 4    5    .text      ascii   \$0H
406   0x00005995 0x140006595 4    5    .text      ascii   t$0H
407   0x000059dd 0x1400065dd 5    6    .text      ascii   t$0H+
408   0x00005a35 0x140006635 4    5    .text      ascii   \$8H
