[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
263  0x0000bb0b 0x1000c70b 4   6    .text   utf8    W\v:f
264  0x0000bb5a 0x1000c75a 4   5    .text   ascii   Y_^[
265  0x0000bb83 0x1000c783 4   5    .text   ascii   $SVW
266  0x0000bba6 0x1000c7a6 4   7    .text   utf8    M܋ȉE blocks=Basic Latin,Syriac,Latin Extended-B
267  0x0000bd20 0x1000c920 4   5    .text   ascii   Y_^[
268  0x0000bd73 0x1000c973 4   5    .text   ascii   $SVW
269  0x0000bd94 0x1000c994 5   8    .text   utf8    ]؉E܃x blocks=Basic Latin,Arabic,Syriac
270  0x0000bdfd 0x1000c9fd 4   5    .text   ascii   Y_^[
271  0x0000be08 0x1000ca08 5   6    .text   ascii   ~\b333
272  0x0000be38 0x1000ca38 4   6    .text   utf8    u܍s\b blocks=Basic Latin,Syriac
273  0x0000bf8d 0x1000cb8d 4   5    .text   ascii   Y_^[
274  0x0000c033 0x1000cc33 4   5    .text   ascii    SVW
275  0x0000c07d 0x1000cc7d 4   7    .text   utf8    i7m۶ blocks=Basic Latin,Arabic
276  0x0000c13b 0x1000cd3b 4   7    .text   utf8    i7m۶ blocks=Basic Latin,Arabic
277  0x0000c15a 0x1000cd5a 4   6    .text   utf8    #+ȉE blocks=Basic Latin,Latin Extended-B
278  0x0000c185 0x1000cd85 5   8    .text   utf8    +ʍ\fˉN blocks=Basic Latin,IPA Extensions,Spacing Modifier Letters
279  0x0000c194 0x1000cd94 6   9    .text   utf8    +ύ\fˉN\b blocks=Basic Latin,Greek and Coptic,Spacing Modifier Letters
280  0x0000c1a6 0x1000cda6 4   5    .text   ascii   Y_^[
281  0x0000c1f3 0x1000cdf3 4   5    .text   ascii   $SVW
282  0x0000c37b 0x1000cf7b 4   7    .text   utf8    ȋÉO\b blocks=Latin Extended-B,Latin-1 Supplement,Basic Latin
283  0x0000c38b 0x1000cf8b 4   5    .text   ascii   Y_^[
284  0x0000c54e 0x1000d14e 4   5    .text   ascii   SVWP
285  0x0000c55c 0x1000d15c 4   7    .text   utf8    ى]؉] blocks=Arabic,Basic Latin
286  0x0000c6b8 0x1000d2b8 4   5    .text   ascii   Y_^[
287  0x0000c6f8 0x1000d2f8 5   6    .text   ascii   t\vjPP
288  0x0000c7c4 0x1000d3c4 4   5    .text   ascii   E\b=.
289  0x0000c8b3 0x1000d4b3 4   5    .text   ascii   _^[]
290  0x0000c945 0x1000d545 5   6    .text   ascii   t\vjPP
291  0x0000ca1e 0x1000d61e 4   5    .text   ascii   90u\n
292  0x0000ca68 0x1000d668 5   6    .text   ascii   f;;u>
293  0x0000caae 0x1000d6ae 4   5    .text   ascii   9\at\
294  0x0000cae3 0x1000d6e3 5   7    .text   utf8    t_+߉] blocks=Basic Latin,NKo
295  0x0000cb87 0x1000d787 4   5    .text   ascii   E\bSV
296  0x0000cc76 0x1000d876 4   7    .text   utf8    QWP蒶 blocks=Basic Latin,CJK Unified Ideographs
297  0x0000cd1d 0x1000d91d 6   9    .text   utf8    ڋ\b+ً}\b blocks=Arabic,Basic Latin
298  0x0000ce67 0x1000da67 4   5    .text   ascii   f;\bu
299  0x0000ce86 0x1000da86 4   5    .text   ascii   U\f;}
300  0x0000ce90 0x1000da90 5   8    .text   utf8    뮋E\b^[ blocks=Hangul Syllables,Basic Latin
301  0x0000cf23 0x1000db23 5   7    .text   utf8    ߍQ\bV+ blocks=NKo,Basic Latin
302  0x0000cffb 0x1000dbfb 5   8    .text   utf8    FċV̋N blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
303  0x0000d019 0x1000dc19 5   7    .text   utf8    L3ȉG( blocks=Basic Latin,Latin Extended-B
304  0x0000d020 0x1000dc20 4   6    .text   utf8    FԉW0 blocks=Basic Latin,Cyrillic Supplement
305  0x0000d067 0x1000dc67 4   6    .text   utf8    ߍQ,V blocks=NKo,Basic Latin
306  0x0000d2de 0x1000dede 4   5    .text   ascii   f9:u
307  0x0000d342 0x1000df42 4   5    .text   ascii   6t3h
308  0x0000d515 0x1000e115 4   5    .text   ascii   VWPR
309  0x0000d555 0x1000e155 7   8    .text   ascii   D$ PVVV
310  0x0000d56a 0x1000e16a 5   6    .text   ascii   D$<PV
311  0x0000d581 0x1000e181 4   5    .text   ascii   D$(P
312  0x0000d5a0 0x1000e1a0 4   5    .text   ascii   PVVV
313  0x0000d5a5 0x1000e1a5 4   5    .text   ascii   D$,P
314  0x0000d5aa 0x1000e1aa 5   6    .text   ascii   D$<PV
315  0x0000d5b7 0x1000e1b7 4   6    .text   utf8    tǋD$ blocks=Basic Latin,Latin Extended-B
316  0x0000d62e 0x1000e22e 4   5    .text   ascii   SVWP
317  0x0000d73a 0x1000e33a 4   6    .text   utf8    C\b3Ƀ blocks=Basic Latin,Latin Extended-B
318  0x0000d75b 0x1000e35b 4   6    .text   utf8    3ɋC\b blocks=Basic Latin,Latin Extended-B
319  0x0000d7c7 0x1000e3c7 4   5    .text   ascii   Y_^[
320  0x0000d805 0x1000e405 5   6    .text   ascii   ;w\b}N
321  0x0000d94f 0x1000e54f 4   7    .text   utf8    WSP蹩 blocks=Basic Latin,CJK Unified Ideographs
322  0x0000d992 0x1000e592 4   6    .text   utf8    3ҋF\b blocks=Basic Latin,Cyrillic
323  0x0000db71 0x1000e771 4   5    .text   ascii   SVWP
324  0x0000dd4a 0x1000e94a 4   5    .text   ascii   Y_^[
325  0x0000dde5 0x1000e9e5 4   5    .text   ascii   \bSVW
326  0x0000de0c 0x1000ea0c 4   5    .text   ascii   u\bf;
327  0x0000de52 0x1000ea52 5   6    .text   ascii   f;\bus
328  0x0000de5e 0x1000ea5e 6   7    .text   ascii   f;\au\vW
329  0x0000dfc6 0x1000ebc6 4   5    .text   ascii   SVWP
330  0x0000e390 0x1000ef90 5   6    .text   ascii   80u\f3
331  0x0000e3f1 0x1000eff1 5   6    .text   ascii   SVj\aj
332  0x0000e461 0x1000f061 4   5    .text   ascii   Y_^[
333  0x0000e4f0 0x1000f0f0 5   6    .text   ascii   ?=u/W
334  0x0000e55e 0x1000f15e 4   5    .text   ascii   SVWP
335  0x0000e6b0 0x1000f2b0 5   6    .text   ascii   f;0u4
336  0x0000e6c2 0x1000f2c2 8   10   .text   utf8    f;0t\a2\bE
337  0x0000e755 0x1000f355 4   5    .text   ascii   %u9j
338  0x0000e7a3 0x1000f3a3 4   5    .text   ascii   %t$W
339  0x0000e7fd 0x1000f3fd 4   5    .text   ascii   9p\f~
340  0x0000e819 0x1000f419 5   6    .text   ascii   F;p\f|
341  0x0000e8fa 0x1000f4fa 4   5    .text   ascii   Y_^[
342  0x0000e967 0x1000f567 6   7    .text   ascii   f;\btJW
343  0x0000eae5 0x1000f6e5 4   5    .text   ascii   SVWP
344  0x0000eafe 0x1000f6fe 5   7    .text   utf8    W\v]\bf
