Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
164 0x00011cf0 0x00411cf0 4   5    .rodata ascii Hl$$
165 0x00011d50 0x00411d50 4   5    .rodata ascii nY77
166 0x00011dd0 0x00411dd0 4   5    .rodata ascii Jo%%
167 0x00011dd8 0x00411dd8 4   5    .rodata ascii \r..
168 0x00011e48 0x00411e48 4   5    .rodata ascii |B>>
169 0x00011e88 0x00411e88 4   5    .rodata ascii j_55
170 0x00011f30 0x00411f30 4   5    .rodata ascii Px((
171 0x00011f90 0x00411f90 4   5    .rodata ascii Zw--
0   0x00014518 0x00614518 4   5    .data   ascii \W[^
arch     x86
baddr    0x400000
binsz    84410
bintype  elf
bits     64
canary   false
class    ELF64
compiler GCC: (GNU) 4.4.7 20120313 (Red Hat 4.4.7-4)
crypto   false
endian   little
havecode true
intrp    /lib64/ld-linux-x86-64.so.2
laddr    0x0
lang     c
linenum  false
lsyms    false
machine  AMD x86-64 architecture
nx       true
os       linux
pic      false
relocs   false
relro    no
rpath    NONE
sanitize false
static   false
stripped true
subsys   linux
va       true
0x00000000  ELF64       0x464c457f
0x00000010  Type        0x0002
0x00000012  Machine     0x003e
0x00000014  Version     0x00000001
0x00000018  Entrypoint  0x00401cd0
0x00000020  PhOff       0x00000040
0x00000028  ShOff       0x000149c0
0x00000030  Flags       0x00000000
0x00000034  EhSize      64
0x00000036  PhentSize   56
0x00000038  PhNum       8
0x0000003a  ShentSize   64
0x0000003c  ShNum       28
0x0000003e  ShrStrndx   27
[Linked libraries]
libutil.so.1
librt.so.1
libpthread.so.0
libc.so.6

4 libraries
[Relocations]

vaddr      paddr      type   name
―――――――――――――――――――――――――――――――――
0x006141e8 0x000141e8 SET_64 __gmon_start__
0x00614208 0x00014208 SET_64 daemon
0x00614210 0x00014210 SET_64 chmod
0x00614218 0x00014218 SET_64 dup2
0x00614220 0x00014220 SET_64 execv
0x00614228 0x00014228 SET_64 memset
0x00614230 0x00014230 SET_64 setsid
0x00614238 0x00014238 SET_64 shutdown
0x00614240 0x00014240 SET_64 close
0x00614248 0x00014248 SET_64 ioctl
0x00614250 0x00014250 SET_64 ttyname
0x00614258 0x00014258 SET_64 gethostbyname
0x00614260 0x00014260 SET_64 pthread_cond_signal
0x00614268 0x00014268 SET_64 select
0x00614270 0x00014270 SET_64 exit
0x00614278 0x00014278 SET_64 gettimeofday
0x00614280 0x00014280 SET_64 execl
0x00614288 0x00014288 SET_64 read
0x00614290 0x00014290 SET_64 malloc
0x00614298 0x00014298 SET_64 fopen
0x006142a0 0x000142a0 SET_64 __libc_start_main
0x006142a8 0x000142a8 SET_64 recv
0x006142b0 0x000142b0 SET_64 pthread_cond_timedwait
0x006142b8 0x000142b8 SET_64 setsockopt
0x006142c0 0x000142c0 SET_64 getpid
0x006142c8 0x000142c8 SET_64 pthread_mutex_init
0x006142d0 0x000142d0 SET_64 fgets
0x006142d8 0x000142d8 SET_64 free
0x006142e0 0x000142e0 SET_64 pthread_create
0x006142e8 0x000142e8 SET_64 opendir
