Metadata Signature: 0x5a70 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1648
Stream name: #~ 4
DirectoryAddress: 16b4 Size: 1a14
Stream name: #Strings 12
DirectoryAddress: 30c8 Size: f08
Stream name: #US 4
DirectoryAddress: 3fd0 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3fe0 Size: 9c0
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
339 0x000078aa 0x004096aa 16  17   .text   ascii   DelegateCallback
340 0x000078bb 0x004096bb 18  19   .text   ascii   DelegateAsyncState
341 0x000078ce 0x004096ce 9   10   .text   ascii   EndInvoke
342 0x000078d8 0x004096d8 19  20   .text   ascii   DelegateAsyncResult
343 0x000078ec 0x004096ec 6   7    .text   ascii   Invoke
344 0x000078f3 0x004096f3 21  22   .text   ascii   System.ComponentModel
345 0x00007909 0x00409709 24  25   .text   ascii   EditorBrowsableAttribute
346 0x00007922 0x00409722 20  21   .text   ascii   EditorBrowsableState
347 0x00007937 0x00409737 23  24   .text   ascii   System.CodeDom.Compiler
348 0x0000794f 0x0040974f 22  23   .text   ascii   GeneratedCodeAttribute
349 0x00007966 0x00409766 23  24   .text   ascii   DebuggerHiddenAttribute
350 0x0000797e 0x0040977e 38  39   .text   ascii   Microsoft.VisualBasic.CompilerServices
351 0x000079a5 0x004097a5 23  24   .text   ascii   StandardModuleAttribute
352 0x000079bd 0x004097bd 23  24   .text   ascii   HideModuleNameAttribute
353 0x000079d5 0x004097d5 28  29   .text   ascii   System.ComponentModel.Design
354 0x000079f2 0x004097f2 20  21   .text   ascii   HelpKeywordAttribute
355 0x00007a07 0x00409807 31  32   .text   ascii   System.Runtime.CompilerServices
356 0x00007a27 0x00409827 14  15   .text   ascii   RuntimeHelpers
357 0x00007a36 0x00409836 14  15   .text   ascii   GetObjectValue
358 0x00007a45 0x00409845 17  18   .text   ascii   RuntimeTypeHandle
359 0x00007a57 0x00409857 17  18   .text   ascii   GetTypeFromHandle
360 0x00007a69 0x00409869 9   10   .text   ascii   Activator
361 0x00007a73 0x00409873 14  15   .text   ascii   CreateInstance
362 0x00007a82 0x00409882 26  27   .text   ascii   MyGroupCollectionAttribute
363 0x00007a9d 0x0040989d 30  31   .text   ascii   System.Runtime.InteropServices
364 0x00007abc 0x004098bc 19  20   .text   ascii   ComVisibleAttribute
365 0x00007ad0 0x004098d0 21  22   .text   ascii   ThreadStaticAttribute
366 0x00007ae6 0x004098e6 26  27   .text   ascii   CompilerGeneratedAttribute
367 0x00007b01 0x00409901 20  21   .text   ascii   System.Windows.Forms
368 0x00007b16 0x00409916 18  19   .text   ascii   get_ExecutablePath
369 0x00007b29 0x00409929 9   10   .text   ascii   Exception
370 0x00007b33 0x00409933 5   6    .text   ascii   Sleep
371 0x00007b39 0x00409939 11  12   .text   ascii   ProjectData
372 0x00007b45 0x00409945 6   7    .text   ascii   EndApp
373 0x00007b4c 0x0040994c 11  12   .text   ascii   Interaction
374 0x00007b58 0x00409958 7   8    .text   ascii   Environ
375 0x00007b60 0x00409960 14  15   .text   ascii   ServerComputer
376 0x00007b6f 0x0040996f 32  33   .text   ascii   Microsoft.VisualBasic.MyServices
377 0x00007b90 0x00409990 13  14   .text   ascii   RegistryProxy
378 0x00007b9e 0x0040999e 12  13   .text   ascii   get_Registry
379 0x00007bab 0x004099ab 15  16   .text   ascii   Microsoft.Win32
380 0x00007bbb 0x004099bb 11  12   .text   ascii   RegistryKey
