[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
293   0x0000613e 0x00406d3e 4   5    .text   ascii   WXj@
294   0x00006152 0x00406d52 4   5    .text   ascii   \f_^[
295   0x00006182 0x00406d82 4   5    .text   ascii   FHj@
296   0x0000618c 0x00406d8c 4   5    .text   ascii   FH_+
297   0x000061f3 0x00406df3 5   6    .text   ascii   \f_^[]
298   0x0000620a 0x00406e0a 4   5    .text   ascii   wDj\b
299   0x0000621a 0x00406e1a 6   7    .text   ascii   Yj8Yjx
300   0x00006290 0x00406e90 4   5    .text   ascii   M\bh4
301   0x0000629d 0x00406e9d 4   5    .text   ascii   6VW3
302   0x000062a7 0x00406ea7 6   7    .text   ascii   D3\Ph8
303   0x0000632d 0x00406f2d 4   5    .text   ascii   s\vj\r
304   0x000063a3 0x00406fa3 4   5    .text   ascii   E\fVj
305   0x000063ed 0x00406fed 4   5    .text   ascii   u\fPV
306   0x00006419 0x00407019 4   5    .text   ascii   @_^[
307   0x0000642d 0x0040702d 4   5    .text   ascii   B$@t
308   0x00006475 0x00407075 9   11   .text   utf8    Y89X8t\n3ҋ blocks=Basic Latin,Cyrillic
309   0x000064fb 0x004070fb 4   6    .text   utf8    ЋA8H blocks=Cyrillic,Basic Latin
310   0x00006501 0x00407101 6   9    .text   utf8    ЋZ\b#É] blocks=Cyrillic,Basic Latin,Latin-1 Supplement
311   0x00006587 0x00407187 4   7    .text   utf8    EЋƉE blocks=Basic Latin,Cyrillic,Latin Extended-B
312   0x0000662b 0x0040722b 4   5    .text   ascii   tbVW
313   0x000067af 0x004073af 5   6    .text   ascii   V,YYj
314   0x000067c4 0x004073c4 5   6    .text   ascii   V,YYj
315   0x00006889 0x00407489 4   6    .text   utf8    ߁;PE blocks=NKo,Basic Latin
316   0x0000693f 0x0040753f 4   5    .text   ascii   j<j\b
317   0x0000698b 0x0040758b 5   6    .text   ascii   G$\nt@
318   0x00006999 0x00407599 5   6    .text   ascii   G,)t@
319   0x000069a0 0x004075a0 4   6    .text   utf8    EԉG8 blocks=Basic Latin,Cyrillic Supplement
320   0x000069ff 0x004075ff 7   8    .text   ascii   P4+S4t\f
321   0x00006a80 0x00407680 4   5    .text   ascii   u\ehZ
322   0x00006ac2 0x004076c2 5   6    .text   ascii   9~|tb
323   0x00006acf 0x004076cf 4   5    .text   ascii   tX9~
324   0x00006ae6 0x004076e6 4   5    .text   ascii   rA+N
325   0x00006b57 0x00407757 4   5    .text   ascii   tnS3
326   0x00006b70 0x00407770 6   7    .text   ascii   9^\bt+W
327   0x00006b78 0x00407778 4   5    .text   ascii   9^\f~
328   0x00006b8c 0x0040778c 9   10   .text   ascii   V,YYG;~\f|
329   0x00006b9e 0x0040779e 4   5    .text   ascii   Y_9^
330   0x00006bd1 0x004077d1 4   5    .text   ascii   ]\fVW
331   0x00006c6d 0x0040786d 4   5    .text   ascii   E\bVW
332   0x00006ca2 0x004078a2 5   6    .text   ascii   P\b_^]
333   0x00006ce0 0x004078e0 8   13   .text   utf8    EЉU̍}إ3% blocks=Basic Latin,Cyrillic,Combining Diacritical Marks,Arabic
334   0x00006d25 0x00407925 5   8    .text   utf8    U؉u܉] blocks=Basic Latin,Arabic,Syriac
335   0x00006da3 0x004079a3 5   6    .text   ascii   QQSVW
336   0x00006db7 0x004079b7 5   6    .text   ascii   s=jd[
337   0x00006f5f 0x00407b5f 5   6    .text   ascii   s=jd^
338   0x0000716d 0x00407d6d 4   5    .text   ascii   \vTr\n
339   0x00007200 0x00407e00 5   6    .text   ascii   SQPVW
340   0x000072ec 0x00407eec 4   6    .text   utf8    E܈\b@ blocks=Basic Latin,Syriac
341   0x000073c4 0x00407fc4 4   5    .text   ascii   } st
342   0x00007416 0x00408016 4   5    .text   ascii   r(w\b
343   0x000074b3 0x004080b3 4   7    .text   utf8    #ƉMо blocks=Basic Latin,Latin Extended-B,Cyrillic
344   0x000075bb 0x004081bb 5   6    .text   ascii   w\t;E\b
