[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
236  0x00005a91 0x00406691 5   8    .text   utf8    EkE^䴲 blocks=Basic Latin,CJK Unified Ideographs Extension A
237  0x00005a9a 0x0040669a 5   6    .text   ascii   Z&&';
238  0x00005abf 0x004066bf 5   6    .text   ascii   Cu\rnj
239  0x00005acd 0x004066cd 7   8    .text   ascii   AWjq_JG
240  0x00005ad6 0x004066d6 4   6    .text   utf8    _Qƫ4 blocks=Basic Latin,Latin Extended-B
241  0x00005b03 0x00406703 5   7    .text   utf8    *Io~˒ blocks=Basic Latin,Spacing Modifier Letters
242  0x00005b1a 0x0040671a 5   6    .text   ascii   \b(crP
243  0x00005b52 0x00406752 5   7    .text   utf8    !֞r2g blocks=Basic Latin,Hebrew
244  0x00005b61 0x00406761 6   7    .text   ascii   \nN8n5k
245  0x00005b7e 0x0040677e 4   6    .text   utf8    ֔\nN. blocks=Hebrew,Basic Latin
246  0x00005bba 0x004067ba 4   5    .text   ascii   b0@+
247  0x00005bc1 0x004067c1 4   5    .text   ascii   96+ 
248  0x00005bf0 0x004067f0 4   5    .text   ascii   Tk6-
249  0x00005bf8 0x004067f8 6   10   .text   utf8    \p{ݪY blocks=Basic Latin,Arabic Supplement,Private Use Area
250  0x00005c62 0x00406862 4   5    .text   ascii   D\M\a
251  0x00005c78 0x00406878 4   5    .text   ascii   AYa(
252  0x00005d50 0x00406950 4   5    .text   ascii   F++h
253  0x00005d55 0x00406955 4   5    .text   ascii   Z<Z?
254  0x00005d72 0x00406972 5   8    .text   utf8    峎20(< blocks=CJK Unified Ideographs,Basic Latin
255  0x00005d94 0x00406994 4   5    .text   ascii   \rHc7
256  0x00005daf 0x004069af 6   7    .text   ascii   93}gqd
257  0x00005e30 0x00406a30 5   6    .text   ascii   \\k$8
258  0x00005e38 0x00406a38 5   6    .text   ascii   ~Ct~\r
259  0x00005e51 0x00406a51 4   5    .text   ascii   \r\ftw
260  0x00005e86 0x00406a86 5   6    .text   ascii   \e,271
261  0x00005ef9 0x00406af9 4   5    .text   ascii   *8\v=
262  0x00005f06 0x00406b06 4   5    .text   ascii   77n\
263  0x00005f12 0x00406b12 4   5    .text   ascii   \vw<[
264  0x00005f28 0x00406b28 4   5    .text   ascii   \vqC
265  0x00005f98 0x00406b98 4   5    .text   ascii   pz7C
266  0x0000600c 0x00406c0c 4   5    .text   ascii   '\aR@
267  0x00006068 0x00406c68 4   6    .text   utf8    [OdӺ blocks=Basic Latin,Cyrillic
268  0x000060d6 0x00406cd6 4   5    .text   ascii   =gsh
269  0x00006158 0x00406d58 5   7    .text   utf8    3#ǽFS blocks=Basic Latin,Latin Extended-B
270  0x0000617b 0x00406d7b 4   6    .text   utf8    x֯^I blocks=Basic Latin,Hebrew
271  0x000061ba 0x00406dba 5   6    .text   ascii   *?`8}
272  0x000061f7 0x00406df7 4   5    .text   ascii   fBw_
273  0x00006216 0x00406e16 4   5    .text   ascii   ISCW
274  0x00006238 0x00406e38 4   5    .text   ascii   AQ@W
275  0x0000625d 0x00406e5d 5   7    .text   utf8    Z2t{ך blocks=Basic Latin,Hebrew
276  0x00006271 0x00406e71 4   6    .text   utf8    SO,ܱ blocks=Basic Latin,Syriac
277  0x0000629c 0x00406e9c 9   11   .text   utf8    l2WobLX}/
278  0x000062d1 0x00406ed1 4   5    .text   ascii   Kn`i
279  0x00006311 0x00406f11 4   5    .text   ascii    _21
280  0x00006334 0x00406f34 6   9    .text   utf8    Y9:ʪŋY blocks=Basic Latin,IPA Extensions,Latin Extended-A
281  0x0000634c 0x00406f4c 5   6    .text   ascii   1H+1\v
282  0x0000639d 0x00406f9d 7   8    .text   ascii   +G3+h8X
283  0x000063f2 0x00406ff2 4   5    .text   ascii   kW3V
284  0x00006434 0x00407034 5   6    .text   ascii   UxE$P
285  0x00006454 0x00407054 4   5    .text   ascii   IZS8
286  0x00006497 0x00407097 7   9    .text   utf8    <=gӓkW~ blocks=Basic Latin,Cyrillic
287  0x000064ce 0x004070ce 5   6    .text   ascii   d3\vI7
288  0x000064f6 0x004070f6 9   13   .text   utf8    ? ZЀ/$\bⴠE blocks=Basic Latin,Cyrillic,Georgian Supplement
289  0x00006505 0x00407105 4   5    .text   ascii   Rd#\n
290  0x00006523 0x00407123 5   7    .text   utf8    w2\݇V blocks=Basic Latin,Syriac
291  0x00006547 0x00407147 4   5    .text   ascii   _\t.k
292  0x00006558 0x00407158 5   7    .text   utf8    NV݄q\r blocks=Basic Latin,Syriac
293  0x0000656e 0x0040716e 7   8    .text   ascii   J\b\nQ:L#
294  0x0000659f 0x0040719f 4   5    .text   ascii   w`j:
295  0x000065bd 0x004071bd 4   5    .text   ascii   GZw]
296  0x00006622 0x00407222 6   7    .text   ascii   "A%\b(\e
297  0x0000662c 0x0040722c 5   7    .text   utf8    )Í qU blocks=Basic Latin,Latin-1 Supplement
298  0x00006650 0x00407250 5   6    .text   ascii   NOQ<r
299  0x000066c9 0x004072c9 6   7    .text   ascii   p)8K}r
300  0x00006710 0x00407310 4   5    .text   ascii   U^Zz
301  0x0000672f 0x0040732f 4   6    .text   utf8    Rhcګ blocks=Basic Latin,Arabic
302  0x0000679b 0x0040739b 6   8    .text   utf8    =/Û~pu blocks=Basic Latin,Latin-1 Supplement
303  0x000067b2 0x004073b2 4   5    .text   ascii   WLF$
304  0x000067b7 0x004073b7 5   6    .text   ascii   .8/!\v
305  0x000067d4 0x004073d4 5   6    .text   ascii   YfZM\f
306  0x000067f9 0x004073f9 7   8    .text   ascii   y62q${}
307  0x00006811 0x00407411 6   8    .text   utf8    4ىUe{A blocks=Basic Latin,Arabic
308  0x0000684d 0x0040744d 5   6    .text   ascii   \bD1So
309  0x000068d3 0x004074d3 4   5    .text   ascii   G\fht
310  0x0000691d 0x0040751d 4   5    .text   ascii   $T\nH
311  0x00006947 0x00407547 5   6    .text   ascii   (V__H
312  0x00006953 0x00407553 4   6    .text   utf8    \vֱdd blocks=Basic Latin,Hebrew
313  0x0000697e 0x0040757e 7   8    .text   ascii   }dYNn]l
314  0x00006987 0x00407587 5   6    .text   ascii   -515\r
315  0x000069b6 0x004075b6 5   8    .text   utf8    -Cw0 blocks=Private Use Area,Basic Latin
316  0x00006a13 0x00407613 6   7    .text   ascii   IDAT\<
317  0x00006a77 0x00407677 4   5    .text   ascii   oZ:6
318  0x00006b08 0x00407708 6   7    .text   ascii   `ngHlL
319  0x00006b4f 0x0040774f 7   10   .text   utf8    ooSn'X룣 blocks=Basic Latin,Hangul Syllables
320  0x00006b7e 0x0040777e 4   6    .text   utf8    \t\aՔ} blocks=Basic Latin,Armenian
321  0x00006bb9 0x004077b9 6   9    .text   utf8    \v%?`=ˎ blocks=Basic Latin,Spacing Modifier Letters
322  0x00006bdb 0x004077db 6   7    .text   ascii   \rl?y\vi
323  0x00006c3b 0x0040783b 7   8    .text   ascii   Pn\ne\fJ'
324  0x00006c47 0x00407847 5   7    .text   utf8    ^G~ߨv blocks=Basic Latin,NKo
325  0x00006c7d 0x0040787d 5   6    .text   ascii   O|Pf:
326  0x00006cd7 0x004078d7 4   5    .text   ascii   A3{Z
327  0x00006d3a 0x0040793a 4   5    .text   ascii   (1A\f
328  0x00006db7 0x004079b7 4   5    .text   ascii   (|\n%
329  0x00006dec 0x004079ec 6   7    .text   ascii   \awGaW,
330  0x00006e29 0x00407a29 4   5    .text   ascii   *#'-
331  0x00006e30 0x00407a30 7   8    .text   ascii   /l>}1Pm
332  0x00006e8f 0x00407a8f 7   8    .text   ascii   PMF"u `
333  0x00006e9a 0x00407a9a 5   6    .text   ascii   R<|%2
334  0x00006ec6 0x00407ac6 4   5    .text   ascii   xUi;
335  0x00006ed7 0x00407ad7 4   5    .text   ascii   JJ#t
336  0x00006edd 0x00407add 5   6    .text   ascii   /-o"-
337  0x00006ef0 0x00407af0 4   6    .text   utf8    {ז\vK blocks=Basic Latin,Hebrew
338  0x00006ef9 0x00407af9 4   5    .text   ascii   8(\n]
339  0x00006fc5 0x00407bc5 4   5    .text   ascii   =+0,
340  0x00006ffe 0x00407bfe 6   7    .text   ascii   ;A+W&;
341  0x0000701f 0x00407c1f 6   7    .text   ascii   \q%b\t1
342  0x0000702e 0x00407c2e 4   5    .text   ascii   !\b%I
343  0x000070a6 0x00407ca6 4   6    .text   utf8    f~ޫq blocks=Basic Latin,Thaana
344  0x000070eb 0x00407ceb 5   6    .text   ascii   \r_K$8
345  0x000070f3 0x00407cf3 4   5    .text   ascii   yBom
346  0x0000719c 0x00407d9c 7   8    .text   ascii   >{5~j.F
347  0x000071a4 0x00407da4 4   5    .text   ascii   "F9G
348  0x000071c1 0x00407dc1 6   7    .text   ascii   'Z_6}F
349  0x000071d3 0x00407dd3 4   6    .text   utf8    ǟ8B} blocks=Latin Extended-B,Basic Latin
350  0x00007216 0x00407e16 5   6    .text   ascii   iGE]|
351  0x00007262 0x00407e62 7   9    .text   utf8    \a}VǶZAK blocks=Basic Latin,Latin Extended-B
352  0x000072a7 0x00407ea7 5   6    .text   ascii   H'zo;
353  0x000072b7 0x00407eb7 5   6    .text   ascii   Vx"#A
354  0x000072bd 0x00407ebd 5   6    .text   ascii   o!>6 
355  0x000072e4 0x00407ee4 4   6    .text   utf8    drlٲ blocks=Basic Latin,Arabic
356  0x00007343 0x00407f43 4   5    .text   ascii   FVIX
357  0x00007366 0x00407f66 6   8    .text   utf8    yPAԣll blocks=Basic Latin,Cyrillic Supplement
358  0x0000736e 0x00407f6e 5   6    .text   ascii   UPXEj
