[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
267   0x00002be9 0x0072a9e9 9   11   UPX1    utf8    c/"։\$xQx blocks=Basic Latin,Armenian
268   0x00002bfb 0x0072a9fb 4   5    UPX1    ascii   }l\$
269   0x00002c0c 0x0072aa0c 4   6    UPX1    utf8    +=شE blocks=Basic Latin,Arabic
270   0x00002c22 0x0072aa22 4   5    UPX1    ascii   B\b\b>
271   0x00002c39 0x0072aa39 6   9    UPX1    utf8    bA/5뻽4 blocks=Basic Latin,Hangul Syllables
272   0x00002c4d 0x0072aa4d 5   6    UPX1    ascii   Sm\f=\a
273   0x00002c71 0x0072aa71 4   5    UPX1    ascii   l]nx
274   0x00002c8c 0x0072aa8c 7   8    UPX1    ascii   5VKjO%M
275   0x00002cac 0x0072aaac 4   5    UPX1    ascii   )$\ad
276   0x00002cbe 0x0072aabe 5   6    UPX1    ascii   !8\bb<
277   0x00002cc4 0x0072aac4 4   5    UPX1    ascii   <a~L
278   0x00002cc9 0x0072aac9 6   8    UPX1    utf8    #ӈ%5%H blocks=Basic Latin,Cyrillic
279   0x00002cd2 0x0072aad2 4   6    UPX1    utf8     Ȧ\ne blocks=Basic Latin,Latin Extended-B
280   0x00002cfb 0x0072aafb 5   6    UPX1    ascii   m`9hi
281   0x00002d5f 0x0072ab5f 6   7    UPX1    ascii   uz8tP0
282   0x00002d77 0x0072ab77 4   6    UPX1    utf8    ׀/V0 blocks=Hebrew,Basic Latin
283   0x00002d85 0x0072ab85 4   5    UPX1    ascii   *\bnG
284   0x00002d98 0x0072ab98 8   9    UPX1    ascii   5|"pI\rpO
285   0x00002dbe 0x0072abbe 5   6    UPX1    ascii   G!]^(
286   0x00002e4a 0x0072ac4a 4   5    UPX1    ascii   ).u*
287   0x00002e5b 0x0072ac5b 6   7    UPX1    ascii   .()r:N
288   0x00002e78 0x0072ac78 9   10   UPX1    ascii   .)\sTp&V\
289   0x00002eb9 0x0072acb9 4   5    UPX1    ascii   JN.9
290   0x00002ebf 0x0072acbf 4   5    UPX1    ascii   \t\tB^
291   0x00002ed8 0x0072acd8 4   5    UPX1    ascii   CEC8
292   0x00002f3b 0x0072ad3b 4   5    UPX1    ascii   x};H
293   0x00002f76 0x0072ad76 4   7    UPX1    utf8    5F-い blocks=Basic Latin,Hiragana
294   0x00002fc5 0x0072adc5 5   6    UPX1    ascii   }J\bVs
295   0x00002fd0 0x0072add0 7   10   UPX1    utf8    ԁ*av?wI blocks=Cyrillic Supplement,Basic Latin
296   0x00002fe1 0x0072ade1 4   5    UPX1    ascii   !Ka:
297   0x00003014 0x0072ae14 4   5    UPX1    ascii   \\eH%
