Error parsing resource directory
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
241   0x00002bcc 0x0072f9cc 5   6    UPX1    ascii   QyX!V
242   0x00002bee 0x0072f9ee 5   8    UPX1    utf8    pC\v䓚[ blocks=Basic Latin,CJK Unified Ideographs Extension A
243   0x00002c03 0x0072fa03 5   6    UPX1    ascii   f~T]U
244   0x00002c18 0x0072fa18 4   6    UPX1    utf8    @ьp\n blocks=Basic Latin,Cyrillic
245   0x00002c3e 0x0072fa3e 4   6    UPX1    utf8    IІAM blocks=Basic Latin,Cyrillic
246   0x00002c72 0x0072fa72 4   5    UPX1    ascii   0B(!
247   0x00002c8d 0x0072fa8d 4   5    UPX1    ascii   LC  
248   0x00002c97 0x0072fa97 4   5    UPX1    ascii   @@@.
249   0x00002c9d 0x0072fa9d 4   5    UPX1    ascii   9 X\v
250   0x00002cc0 0x0072fac0 4   6    UPX1    utf8    إ_\: blocks=Arabic,Basic Latin
251   0x00002ccb 0x0072facb 4   5    UPX1    ascii   *]Jw
252   0x00002cd3 0x0072fad3 4   5    UPX1    ascii   NE?O
253   0x00002d40 0x0072fb40 5   6    UPX1    ascii   ;\tc\rg
254   0x00002d97 0x0072fb97 5   6    UPX1    ascii   Nvj_`
255   0x00002d9d 0x0072fb9d 7   8    UPX1    ascii   F;9\nsv\b
256   0x00002da8 0x0072fba8 4   5    UPX1    ascii   J\brp
257   0x00002e3a 0x0072fc3a 8   9    UPX1    ascii   debugCal
258   0x00002e4c 0x0072fc4c 5   6    UPX1    ascii   x\bl3u
259   0x00002e63 0x0072fc63 4   5    UPX1    ascii   cBG6
260   0x00002e7a 0x0072fc7a 4   5    UPX1    ascii   u12&
261   0x00002e85 0x0072fc85 9   10   UPX1    ascii   256>'\f]6
262   0x00002e8f 0x0072fc8f 4   5    UPX1    ascii   /5T+
263   0x00002e96 0x0072fc96 5   7    UPX1    utf8    vÿ\r%b blocks=Basic Latin,Latin-1 Supplement
264   0x00002ea8 0x0072fca8 4   5    UPX1    ascii   T\f84
265   0x00002ec5 0x0072fcc5 4   5    UPX1    ascii   \t655
266   0x00002eca 0x0072fcca 4   5    UPX1    ascii   #Y36
267   0x00002ee2 0x0072fce2 6   7    UPX1    ascii   \QpN]~
268   0x00002ee9 0x0072fce9 5   6    UPX1    ascii   "4EGp
269   0x00002ef1 0x0072fcf1 4   5    UPX1    ascii   02u\v
270   0x00002ef7 0x0072fcf7 6   7    UPX1    ascii   4tZ-Z+
271   0x00002eff 0x0072fcff 10  11   UPX1    ascii   w1204uQ8tA
272   0x00002f10 0x0072fd10 5   6    UPX1    ascii   4096t
273   0x00002f17 0x0072fd17 4   5    UPX1    ascii   181S
274   0x00002f25 0x0072fd25 6   7    UPX1    ascii   zzt~PT
275   0x00002f31 0x0072fd31 6   8    UPX1    utf8    ڹ\b{?A^ blocks=Arabic,Basic Latin
276   0x00002fa1 0x0072fda1 4   5    UPX1    ascii   B9j(
277   0x00002fa8 0x0072fda8 4   5    UPX1    ascii   D:R8
278   0x00002fda 0x0072fdda 4   5    UPX1    ascii   H0Z\f
279   0x00002fe4 0x0072fde4 6   10   UPX1    utf8    \n`o쁐ˁ8 blocks=Basic Latin,Hangul Syllables,Spacing Modifier Letters
280   0x00002ffc 0x0072fdfc 6   7    UPX1    ascii   "i:>HP
281   0x00003041 0x0072fe41 7   8    UPX1    ascii   @u"$,;\f
282   0x00003053 0x0072fe53 4   6    UPX1    utf8    PJvƘ blocks=Basic Latin,Latin Extended-B
283   0x00003078 0x0072fe78 5   7    UPX1    utf8    y8|g܆ blocks=Basic Latin,Syriac
284   0x000030b9 0x0072feb9 4   5    UPX1    ascii   ~PX8
285   0x000030fd 0x0072fefd 6   8    UPX1    utf8    3N\a~\e߃ blocks=Basic Latin,NKo
286   0x0000318d 0x0072ff8d 10  11   UPX1    ascii   \rUiOf~iO}[
287   0x000031ae 0x0072ffae 4   5    UPX1    ascii   h\f;A
288   0x000031d2 0x0072ffd2 4   5    UPX1    ascii   9v\\f
289   0x00003204 0x00730004 4   5    UPX1    ascii   n$66
290   0x00003270 0x00730070 5   6    UPX1    ascii   Q\b?)l
291   0x0000327c 0x0073007c 5   6    UPX1    ascii   aRi+|
292   0x00003344 0x00730144 4   5    UPX1    ascii   V=QT
293   0x00003367 0x00730167 6   7    UPX1    ascii   bJ^1Y\n
294   0x0000337f 0x0073017f 7   8    UPX1    ascii   /Xl-~pq
295   0x0000338d 0x0073018d 4   5    UPX1    ascii   *VY}
296   0x000033c2 0x007301c2 6   7    UPX1    ascii   RW67B\a
297   0x000033fb 0x007301fb 5   6    UPX1    ascii   tRH@h
298   0x0000342f 0x0073022f 4   5    UPX1    ascii   }#A.
299   0x00003443 0x00730243 4   5    UPX1    ascii   \bL.0
300   0x00003467 0x00730267 8   9    UPX1    ascii   runtime 
301   0x00003476 0x00730276 7   8    UPX1    ascii    error:
302   0x00003480 0x00730280 8   11   UPX1    utf8    Ed]oAdٍυ blocks=Basic Latin,Arabic,Greek and Coptic
303   0x000034c4 0x007302c4 5   7    UPX1    utf8    ЊYNc  blocks=Cyrillic,Basic Latin
