[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
230  0x0000ea93 0x0040f693 4   5    .text   ascii   Y_^[
231  0x0000ec25 0x0040f825 4   5    .text   ascii   ;M\bs
232  0x0000eca4 0x0040f8a4 8   9    .text   ascii   +A\b;E\bs\b
233  0x0000eccd 0x0040f8cd 4   5    .text   ascii   M\b;M
234  0x0000ece2 0x0040f8e2 4   5    .text   ascii   9B\bw
235  0x0000ed50 0x0040f950 5   6    .text   ascii   ;M\bwa
236  0x0000ed89 0x0040f989 4   5    .text   ascii   U\b+U
237  0x0000efe4 0x0040fbe4 4   5    .text   ascii   \fSVW
238  0x0000f007 0x0040fc07 5   6    .text   ascii   ;E\bs\r
239  0x0000f10e 0x0040fd0e 4   5    .text   ascii   Y_^[
240  0x0000f1d5 0x0040fdd5 4   5    .text   ascii   ;M\bs
241  0x0000f48e 0x0041008e 5   6    .text   ascii   E\f+E\b
242  0x0000f5d3 0x004101d3 5   8    .text   utf8    E܋E܉E blocks=Basic Latin,Syriac
243  0x0000f66c 0x0041026c 4   5    .text   ascii   Y_^[
244  0x0000f695 0x00410295 4   5    .text   ascii   9E\br
245  0x0000f6aa 0x004102aa 5   6    .text   ascii   P;E\bw
246  0x0000f963 0x00410563 4   5    .text   ascii   ;\bu\v
247  0x000102c1 0x00410ec1 4   5    .text   ascii   B\b;E
248  0x00010315 0x00410f15 4   5    .text   ascii   h8xB
249  0x00010537 0x00411137 5   6    .text   ascii   M\b;\bu
250  0x00010687 0x00411287 5   6    .text   ascii   M\b;\bu
251  0x00010723 0x00411323 4   6    .text   utf8    ϋE\b] blocks=Greek and Coptic,Basic Latin
252  0x00010763 0x00411363 4   6    .text   utf8    ϋE\b] blocks=Greek and Coptic,Basic Latin
253  0x000108c9 0x004114c9 5   6    .text   ascii   \n;\bu\n
254  0x00010b74 0x00411774 4   5    .text   ascii   \SVW
255  0x00010c29 0x00411829 5   7    .text   utf8    U܋E\bP blocks=Basic Latin,Syriac
256  0x00010c8a 0x0041188a 5   8    .text   utf8    M؉U܃} blocks=Basic Latin,Arabic,Syriac
257  0x00010d63 0x00411963 5   8    .text   utf8    M؉U܃} blocks=Basic Latin,Arabic,Syriac
258  0x00010e51 0x00411a51 4   5    .text   ascii   Y_^[
259  0x0001165f 0x0041225f 5   6    .text   ascii   ;M\bw5
260  0x0001166a 0x0041226a 5   6    .text   ascii   ;E\bt*
261  0x00011ce5 0x004128e5 4   5    .text   ascii   hq~B
262  0x00011d09 0x00412909 4   5    .text   ascii   E\bPj
263  0x00011d9a 0x0041299a 4   5    .text   ascii   E\bPj
264  0x00011e05 0x00412a05 4   5    .text   ascii   hKyB
265  0x00011e3c 0x00412a3c 4   5    .text   ascii   uzj\b
266  0x00011e6a 0x00412a6a 4   7    .text   utf8    E\vMă blocks=Basic Latin,Latin Extended-A
267  0x00011eda 0x00412ada 5   6    .text   ascii   E\bPj\b
268  0x00011f5c 0x00412b5c 4   5    .text   ascii   ;E\bu
269  0x00012087 0x00412c87 5   6    .text   ascii   ;M\fw\b
270  0x00012127 0x00412d27 5   7    .text   utf8    MȋE\fP blocks=Basic Latin,Latin Extended-B
271  0x000121f7 0x00412df7 5   8    .text   utf8    UċEĉE blocks=Basic Latin,Latin Extended-A
272  0x00012378 0x00412f78 5   6    .text   ascii   ;A\bw@
273  0x00012851 0x00413451 5   6    .text   ascii   ;E\fs\b
274  0x00012b58 0x00413758 4   5    .text   ascii   M\f;M
275  0x00012b84 0x00413784 4   5    .text   ascii   E\b^]
276  0x00012b95 0x00413795 4   5    .text   ascii   hq~B
