[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
174  0x00006070 0x10006c70 7   8    .text   ascii   u\v;_tr.
175  0x00006094 0x10006c94 4   5    .text   ascii   WVj\t
176  0x000060ee 0x10006cee 4   5    .text   ascii   D$\f3
177  0x000060f6 0x10006cf6 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
178  0x0000613f 0x10006d3f 7   8    .text   ascii   ;T$\fw\br
179  0x00006147 0x10006d47 10  11   .text   ascii   ;D$\bv\tN+D$
180  0x00006158 0x10006d58 8   9    .text   ascii   +D$\b\eT$\f
181  0x00006168 0x10006d68 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
182  0x0000634e 0x10006f4e 4   5    .text   ascii   _^[]
183  0x00006378 0x10006f78 4   5    .text   ascii   \bSVW
184  0x000063e1 0x10006fe1 4   5    .text   ascii   Y_^[
185  0x00006412 0x10007012 4   5    .text   ascii   Y_^[
186  0x0000642b 0x1000702b 4   5    .text   ascii   f9\bt
187  0x00006432 0x10007032 4   6    .text   utf8    ]ËH< blocks=Basic Latin,Latin-1 Supplement
188  0x00006476 0x10007076 4   6    .text   utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
189  0x0000651b 0x1000711b 4   5    .text   ascii   r\rPS
190  0x0000652f 0x1000712f 4   5    .text   ascii   r>PS
191  0x00006613 0x10007213 4   5    .text   ascii   j$h 
192  0x00006627 0x10007227 4   6    .text   utf8    }؋u\b blocks=Basic Latin,Arabic
193  0x0000668b 0x1000728b 4   5    .text   ascii   t#Ht
194  0x00006711 0x10007311 4   6    .text   utf8    EЃg` blocks=Basic Latin,Cyrillic
195  0x000067b0 0x100073b0 4   6    .text   utf8    EЉG` blocks=Basic Latin,Cyrillic
196  0x000067bb 0x100073bb 5   7    .text   utf8    ẺGd3 blocks=Basic Latin,Combining Diacritical Marks
197  0x000067d6 0x100073d6 4   5    .text   ascii   u\b9q
198  0x000067f4 0x100073f4 4   5    .text   ascii   s\t9q
199  0x00006834 0x10007434 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
200  0x00006a5d 0x1000765d 4   5    .text   ascii   tO95
201  0x00006b1f 0x1000771f 6   7    .text   ascii   URPQQh
202  0x00006b35 0x10007735 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
203  0x00006b4a 0x1000774a 4   5    .text   ascii   L$,3
204  0x00006b9c 0x1000779c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
205  0x00006c02 0x10007802 4   5    .text   ascii   UVWS
206  0x00006c14 0x10007814 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
207  0x00006c35 0x10007835 4   5    .text   ascii   SVWj
208  0x00006c3a 0x1000783a 4   5    .text   ascii   RhFx
209  0x00006c46 0x10007846 4   5    .text   ascii   _^[]
210  0x00006c4d 0x1000784d 5   6    .text   ascii   l$\bRQ
211  0x00006ce0 0x100078e0 4   5    .text   ascii   ;E\fs
212  0x00006d75 0x10007975 4   5    .text   ascii   \at0f
213  0x00006ef9 0x10007af9 7   9    .text   utf8    u\b3ۋF\f$ blocks=Basic Latin,Arabic
214  0x00006f11 0x10007b11 4   5    .text   ascii   >+~\b
215  0x00006fa3 0x10007ba3 4   5    .text   ascii   tWPV
216  0x00006ff0 0x10007bf0 4   6    .text   utf8    \tE܃e blocks=Basic Latin,Syriac
217  0x00006ffc 0x10007bfc 4   7    .text   utf8    F녋]\b blocks=Basic Latin,Hangul Syllables
218  0x0000706b 0x10007c6b 4   5    .text   ascii   u0j\n
219  0x000070c3 0x10007cc3 5   7    .text   utf8    Ë}\bj\n blocks=Latin-1 Supplement,Basic Latin
220  0x000070d4 0x10007cd4 4   5    .text   ascii   E\bVW
221  0x00007114 0x10007d14 5   6    .text   ascii   Ht\bHu
222  0x00007182 0x10007d82 5   6    .text   ascii   x&;5(
223  0x0000721b 0x10007e1b 4   5    .text   ascii   M\bQP
224  0x00007297 0x10007e97 4   7    .text   utf8    t\aP赣 blocks=Basic Latin,CJK Unified Ideographs
225  0x000072a9 0x10007ea9 4   7    .text   utf8    t\aP裣 blocks=Basic Latin,CJK Unified Ideographs
226  0x000072bb 0x10007ebb 4   7    .text   utf8    t\aP董 blocks=Basic Latin,CJK Unified Ideographs
227  0x0000738e 0x10007f8e 4   7    .text   utf8    t\aP辢 blocks=Basic Latin,CJK Unified Ideographs
228  0x000073a0 0x10007fa0 4   7    .text   utf8    t\aP謢 blocks=Basic Latin,CJK Unified Ideographs
229  0x000073b2 0x10007fb2 4   7    .text   utf8    t\aP蚢 blocks=Basic Latin,CJK Unified Ideographs
230  0x0000776e 0x1000836e 4   6    .text   utf8    H;ƍp blocks=Basic Latin,Latin Extended-B
231  0x00007790 0x10008390 4   5    .text   ascii   9E(j
232  0x000078ca 0x100084ca 4   5    .text   ascii   t@WV
233  0x000078e6 0x100084e6 6   7    .text   ascii   PP9E u
234  0x0000799a 0x1000859a 4   5    .text   ascii   SVW3
235  0x000079b2 0x100085b2 5   6    .text   ascii   9E WW
236  0x00007a27 0x10008627 4   5    .text   ascii   \ePWV
237  0x00007b27 0x10008727 5   6    .text   ascii   t\vWVS
238  0x00007b72 0x10008772 8   10   .text   utf8    ӍM\fQVWSj blocks=Cyrillic,Basic Latin
239  0x00007b93 0x10008793 4   5    .text   ascii   9u\fu
240  0x00007bb4 0x100087b4 5   6    .text   ascii   t\vWVS
