[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
325  0x00008192 0x10008192 5   6    .text   ascii   \f7_^[
326  0x000081b1 0x100081b1 5   6    .text   ascii   QQSVW
327  0x000081c3 0x100081c3 6   7    .text   ascii   u\b;u\ft
328  0x00008260 0x10008260 4   5    .text   ascii   j Y+
329  0x000082de 0x100082de 6   8    .text   utf8    3Ë-$-\a blocks=Basic Latin,Latin-1 Supplement
330  0x000082fc 0x100082fc 4   6    .text   utf8    3ǉt$ blocks=Basic Latin,Latin Extended-B
331  0x00008312 0x10008312 6   8    .text   utf8    3͋-<-\a blocks=Basic Latin,Combining Diacritical Marks
332  0x0000831c 0x1000831c 5   6    .text   ascii   3-4-\a
333  0x00008322 0x10008322 5   7    .text   utf8    3Σ -\a blocks=Basic Latin,Greek and Coptic
334  0x0000833c 0x1000833c 5   7    .text   utf8    3ȣ(-\a blocks=Basic Latin,Latin Extended-B
335  0x00008349 0x10008349 4   5    .text   ascii   \r,-\a
336  0x00008362 0x10008362 5   6    .text   ascii   #\r4-\a
337  0x0000836c 0x1000836c 5   6    .text   ascii   \v\r<-\a
338  0x0000837a 0x1000837a 5   6    .text   ascii   \v\r<-\a
339  0x00008386 0x10008386 6   8    .text   utf8    3Ή5<-\a blocks=Basic Latin,Greek and Coptic
340  0x0000838e 0x1000838e 6   8    .text   utf8    3ʋ5@-\a blocks=Basic Latin,IPA Extensions
341  0x00008399 0x10008399 5   7    .text   utf8    ։=0-\a blocks=Armenian,Basic Latin
342  0x000083a0 0x100083a0 5   6    .text   ascii   35D-\a
343  0x000083bc 0x100083bc 5   6    .text   ascii   \v=L-\a
344  0x000083c4 0x100083c4 5   6    .text   ascii   3-L-\a
345  0x000083ca 0x100083ca 5   6    .text   ascii   3=D-\a
346  0x000083d1 0x100083d1 4   5    .text   ascii   \r4-\a
347  0x000083e4 0x100083e4 6   8    .text   utf8    #I-H-\a
348  0x000083ed 0x100083ed 4   5    .text   ascii   \rP-\a
349  0x000083f2 0x100083f2 6   8    .text   utf8    3Ë-\-\a blocks=Basic Latin,Latin-1 Supplement
350  0x000083fc 0x100083fc 5   7    .text   utf8    3٣@-\a blocks=Basic Latin,Arabic
351  0x0000841f 0x1000841f 5   6    .text   ascii   35T-\a
352  0x0000842f 0x1000842f 5   7    .text   utf8    ˉ-\-\a blocks=Spacing Modifier Letters,Basic Latin
353  0x00008445 0x10008445 5   7    .text   utf8    ҋ5h-\a blocks=Cyrillic,Basic Latin
354  0x0000845f 0x1000845f 4   6    .text   utf8    ΣP-\a blocks=Greek and Coptic,Basic Latin
355  0x00008478 0x10008478 5   6    .text   ascii   #=l-\a
356  0x0000847e 0x1000847e 5   6    .text   ascii   3\rl-\a
357  0x00008488 0x10008488 5   6    .text   ascii   #\r`-\a
358  0x000084c7 0x100084c7 4   5    .text   ascii   \rh-\a
359  0x000084cd 0x100084cd 4   5    .text   ascii   \r|-\a
360  0x000084d3 0x100084d3 4   5    .text   ascii   -`-\a
361  0x000084d9 0x100084d9 4   5    .text   ascii   -p-\a
