[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
412   0x00004174 0x00408174 5   6            ascii   .file
413   0x00004186 0x00408186 4   5            ascii   fake
414   0x00004198 0x00408198 5   6            ascii   .text
415   0x000041bc 0x004081bc 5   6            ascii   .data
416   0x000041e0 0x004081e0 4   5            ascii   .bss
417   0x00004204 0x00408204 9   10           ascii   .idata$4D
418   0x00004228 0x00408228 9   10           ascii   .idata$54
419   0x0000424c 0x0040824c 8   9            ascii   .idata$7
420   0x00004270 0x00408270 5   6            ascii   .text
421   0x00004282 0x00408282 5   6            ascii   .data
422   0x00004294 0x00408294 4   5            ascii   .bss
423   0x000042a6 0x004082a6 8   9            ascii   .idata$7
424   0x000042b8 0x004082b8 9   10           ascii   .idata$5H
425   0x000042ca 0x004082ca 9   10           ascii   .idata$4X
426   0x000042dc 0x004082dc 8   9            ascii   .idata$6
427   0x000042ee 0x004082ee 5   6            ascii   .text
428   0x00004300 0x00408300 5   6            ascii   .data
429   0x00004312 0x00408312 4   5            ascii   .bss
430   0x00004324 0x00408324 9   10           ascii   .idata$7$
431   0x00004336 0x00408336 9   10           ascii   .idata$5P
432   0x00004348 0x00408348 9   10           ascii   .idata$4`
433   0x0000435a 0x0040835a 8   9            ascii   .idata$6
434   0x0000436c 0x0040836c 5   6            ascii   .text
435   0x0000437e 0x0040837e 5   6            ascii   .data
436   0x00004390 0x00408390 4   5            ascii   .bss
437   0x000043a2 0x004083a2 9   10           ascii   .idata$7 
