[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
269   0x0000417e 0x00426b7e 4   6    .UPX1   utf8    yl5ك blocks=Basic Latin,Arabic
270   0x00004198 0x00426b98 4   5    .UPX1   ascii   OS)>
271   0x0000419f 0x00426b9f 4   5    .UPX1   ascii   g\e0D
272   0x00004247 0x00426c47 4   5    .UPX1   ascii   #>JG
273   0x0000429b 0x00426c9b 4   5    .UPX1   ascii   ~IKd
274   0x000042b0 0x00426cb0 6   7    .UPX1   ascii   )\aG'N0
275   0x000042ca 0x00426cca 5   6    .UPX1   ascii   n8[uf
276   0x000042f1 0x00426cf1 4   7    .UPX1   utf8    9}\ݴ blocks=Basic Latin,Arabic Supplement
277   0x00004340 0x00426d40 4   5    .UPX1   ascii   ?fWS
278   0x00004346 0x00426d46 4   6    .UPX1   utf8    Xmʑ` blocks=Basic Latin,IPA Extensions
279   0x0000436e 0x00426d6e 4   7    .UPX1   utf8    Ҳɪ0} blocks=Cyrillic,IPA Extensions,Basic Latin
280   0x000043c7 0x00426dc7 4   5    .UPX1   ascii   .dms
281   0x00004459 0x00426e59 4   5    .UPX1   ascii   Le<5
282   0x000044a3 0x00426ea3 4   5    .UPX1   ascii   ~s\b2
283   0x00004523 0x00426f23 6   7    .UPX1   ascii   Ub*G]O
284   0x00004544 0x00426f44 4   5    .UPX1   ascii   ?4sk
285   0x00004580 0x00426f80 4   5    .UPX1   ascii   K8)*
286   0x00004586 0x00426f86 5   6    .UPX1   ascii   x|B1>
287   0x000045a3 0x00426fa3 4   5    .UPX1   ascii   A !"
288   0x00004611 0x00427011 4   5    .UPX1   ascii   l"O!
289   0x00004636 0x00427036 4   5    .UPX1   ascii   .s)\e
290   0x00004665 0x00427065 4   5    .UPX1   ascii   (\r./
291   0x00004688 0x00427088 4   5    .UPX1   ascii   )_Jt
292   0x00004692 0x00427092 5   6    .UPX1   ascii   %UjQ~
293   0x000046af 0x004270af 5   6    .UPX1   ascii   yZ/,R
294   0x000046ba 0x004270ba 4   5    .UPX1   ascii   \t/li
295   0x000047b5 0x004271b5 4   5    .UPX1   ascii   D$$\b
