[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
263  0x00003bf2 0x004047f2 4   5    .text   ascii   G\fUP
264  0x00003c3c 0x0040483c 4   5    .text   ascii   Y^][
265  0x00003cbb 0x004048bb 4   5    .text   ascii   t.UP
266  0x00003d0c 0x0040490c 5   6    .text   ascii   D$\bPQ
267  0x00003e38 0x00404a38 8   10   .text   utf8    3ĉD$XSUW blocks=Basic Latin,Latin Extended-A
268  0x00003e50 0x00404a50 4   6    .text   utf8    3\tD$
269  0x00003e89 0x00404a89 5   6    .text   ascii   L$*Qf
270  0x00003efd 0x00404afd 4   5    .text   ascii   D$0P
271  0x00003f02 0x00404b02 4   5    .text   ascii   D$8P
272  0x00003f76 0x00404b76 7   8    .text   ascii   L$d_][3
273  0x00003f92 0x00404b92 4   5    .text   ascii   h[FA
274  0x00003fb2 0x00404bb2 4   5    .text   ascii   SUVW
275  0x00004062 0x00404c62 4   6    .text   utf8    RhЄA blocks=Basic Latin,Cyrillic
276  0x00004086 0x00404c86 6   7    .text   ascii   |Dz\t 
277  0x000040b3 0x00404cb3 5   7    .text   utf8    RUh܄A blocks=Basic Latin,Syriac
278  0x000040ff 0x00404cff 7   8    .text   ascii   T$ RPSV
279  0x00004116 0x00404d16 6   7    .text   ascii   D$0`lA
280  0x00004142 0x00404d42 6   9    .text   utf8    T$<UR脠 blocks=Basic Latin,CJK Unified Ideographs
281  0x00004150 0x00404d50 4   5    .text   ascii   L$ Q
282  0x00004155 0x00404d55 8   9    .text   ascii   T$8RUUU3
283  0x00004169 0x00404d69 4   5    .text   ascii   D$Hf
284  0x00004183 0x00404d83 4   5    .text   ascii   D$\D
285  0x00004195 0x00404d95 4   5    .text   ascii   L$ Q
286  0x0000419c 0x00404d9c 4   5    .text   ascii   T$$R
287  0x000041c0 0x00404dc0 5   6    .text   ascii   Y_^][
288  0x000042b4 0x00404eb4 6   7    .text   ascii   L$\fQPS
289  0x0000430c 0x00404f0c 4   5    .text   ascii   T$$R
290  0x0000432a 0x00404f2a 4   5    .text   ascii   t$$i
291  0x00004357 0x00404f57 4   5    .text   ascii   D$ P
292  0x0000435c 0x00404f5c 4   5    .text   ascii   D$,P
293  0x00004463 0x00405063 4   5    .text   ascii   %HPA
294  0x00004469 0x00405069 4   5    .text   ascii   %,PA
295  0x0000446f 0x0040506f 4   5    .text   ascii   % PA
296  0x00004475 0x00405075 4   5    .text   ascii   %(PA
297  0x0000447b 0x0040507b 4   5    .text   ascii   %$PA
298  0x0000449a 0x0040509a 4   5    .text   ascii   9]\fu
299  0x000044a4 0x004050a4 5   6    .text   ascii   SSSSS
300  0x0000452a 0x0040512a 4   5    .text   ascii   j\fhH
301  0x0000455e 0x0040515e 4   5    .text   ascii   t\tVP
302  0x000045e5 0x004051e5 4   5    .text   ascii   j\fhh
303  0x000045f6 0x004051f6 5   6    .text   ascii   u\b;5 
304  0x00004649 0x00405249 4   5    .text   ascii   =8QA
305  0x000046b1 0x004052b1 6   7    .text   ascii   u.j\f^9
306  0x000046ff 0x004052ff 7   9    .text   utf8    ̋L$\bWSV blocks=Combining Diacritical Marks,Basic Latin
307  0x00004738 0x00405338 4   5    .text   ascii   ^[_3
308  0x0000477c 0x0040537c 4   6    .text   utf8    ^[_Ë blocks=Basic Latin,Latin-1 Supplement
309  0x0000478f 0x0040538f 5   7    .text   utf8    ̋L$\fW blocks=Combining Diacritical Marks,Basic Latin
310  0x00004830 0x00405430 5   7    .text   utf8    D$\b_É blocks=Basic Latin,Latin-1 Supplement
311  0x00004895 0x00405495 5   7    .text   utf8    t\f3\t\a
312  0x000048b0 0x004054b0 4   6    .text   utf8    [^_Ë blocks=Basic Latin,Latin-1 Supplement
313  0x000048f0 0x004054f0 4   5    .text   ascii   |\b;5
314  0x00004906 0x00405506 5   6    .text   ascii   SSSSS
315  0x00004970 0x00405570 5   6    .text   ascii   9]\ft7
316  0x000049be 0x004055be 5   6    .text   ascii   SSSSS
317  0x00004a34 0x00405634 5   6    .text   ascii   \ntl9]
318  0x00004a5d 0x0040565d 5   6    .text   ascii   \ntC9]
319  0x00004a7b 0x0040567b 4   5    .text   ascii   %\nu$
320  0x00004b26 0x00405726 4   5    .text   ascii   <\rt\f
321  0x00004b42 0x00405742 6   7    .text   ascii   8\nu\nAA
322  0x00004c5d 0x0040585d 4   5    .text   ascii   Ht$C
323  0x00004cce 0x004058ce 6   7    .text   ascii   ;E\ft\aP
324  0x00004d48 0x00405948 5   6    .text   ascii   \vCC@@
325  0x00004d64 0x00405964 4   5    .text   ascii   9\nu\r
326  0x00004db2 0x004059b2 4   5    .text   ascii   Ht(f
327  0x00004dbc 0x004059bc 4   5    .text   ascii   j\rXf
328  0x00004dfe 0x004059fe 7   8    .text   ascii   \nt\bj\rXf
329  0x00004e2d 0x00405a2d 4   5    .text   ascii   CC+]
330  0x00004ec5 0x00405ac5 5   6    .text   ascii   VVVVV
331  0x00004f79 0x00405b79 4   5    .text   ascii   M\bS3
332  0x00004f94 0x00405b94 6   7    .text   ascii   0SSSSS
333  0x00004fd6 0x00405bd6 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
334  0x000050e1 0x00405ce1 5   6    .text   ascii   WWWWW
335  0x00005188 0x00405d88 4   5    .text   ascii   E\fV3
336  0x000051bb 0x00405dbb 5   6    .text   ascii   VVVVV
337  0x00005226 0x00405e26 5   6    .text   ascii   VVVVV
338  0x000054ab 0x004060ab 6   7    .text   ascii   t)j\rXP
339  0x0000564e 0x0040624e 4   5    .text   ascii   j\r[f
340  0x00005712 0x00406312 4   5    .text   ascii   j\r[f
341  0x00005739 0x00406339 5   6    .text   ascii   VVhU\r
