Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
216  0x00003a94 0x00404694 5   6    UPX1    ascii   $vTf_
217  0x00003acf 0x004046cf 4   5    UPX1    ascii   W}'>
218  0x00003ae2 0x004046e2 4   7    UPX1    utf8    qPOO
219  0x00003afb 0x004046fb 4   6    UPX1    utf8    ٫b-] blocks=Arabic,Basic Latin
220  0x00003b09 0x00404709 5   6    UPX1    ascii   Q>@;\r
221  0x00003b29 0x00404729 4   5    UPX1    ascii   4Cj$
222  0x00003b4c 0x0040474c 4   5    UPX1    ascii   @iVP
223  0x00003b51 0x00404751 4   6    UPX1    utf8    fYN$
224  0x00003c4c 0x0040484c 5   7    UPX1    utf8    ̹_8}e blocks=Combining Diacritical Marks,Basic Latin
225  0x00003c96 0x00404896 4   6    UPX1    utf8    \vޠXA blocks=Basic Latin,Thaana
226  0x00003d2b 0x0040492b 4   6    UPX1    utf8    Oi'ņ blocks=Basic Latin,Latin Extended-A
227  0x00003d7e 0x0040497e 6   7    UPX1    ascii   G%&u:\b
228  0x00003da1 0x004049a1 5   6    UPX1    ascii   mVH _
229  0x00003e6e 0x00404a6e 5   6    UPX1    ascii   7fT?6
230  0x00003e74 0x00404a74 5   6    UPX1    ascii   xX"!P
231  0x00003ea7 0x00404aa7 5   6    UPX1    ascii   _~4SC
232  0x00003ee9 0x00404ae9 4   5    UPX1    ascii   Eh\e\b
233  0x00003f51 0x00404b51 5   6    UPX1    ascii   BCV]\f
234  0x00003f75 0x00404b75 4   5    UPX1    ascii   Z/wH
235  0x00003f9b 0x00404b9b 4   5    UPX1    ascii   ^\e~$
236  0x00003fd1 0x00404bd1 4   5    UPX1    ascii   >6U6
237  0x00003ffa 0x00404bfa 4   6    UPX1    utf8    qB\vȾ blocks=Basic Latin,Latin Extended-B
238  0x0000402d 0x00404c2d 4   5    UPX1    ascii   hSg>
239  0x00004032 0x00404c32 5   7    UPX1    utf8    pUҞ\t\e blocks=Basic Latin,Cyrillic
240  0x000040ab 0x00404cab 4   5    UPX1    ascii   z\b^\t
241  0x000040c1 0x00404cc1 4   6    UPX1    utf8    N_[е blocks=Basic Latin,Cyrillic
242  0x00004120 0x00404d20 6   8    UPX1    utf8    iJʸFD0 blocks=Basic Latin,Spacing Modifier Letters
243  0x00004135 0x00404d35 4   5    UPX1    ascii   }mXh
244  0x000041a5 0x00404da5 4   6    UPX1    utf8    f\a~ب blocks=Basic Latin,Arabic
245  0x000041b3 0x00404db3 6   7    UPX1    ascii   YH_\v\!
246  0x000041bc 0x00404dbc 4   5    UPX1    ascii   ~j3\n
247  0x000041de 0x00404dde 4   5    UPX1    ascii   @(u!
248  0x00004259 0x00404e59 5   7    UPX1    utf8    >һ%`M blocks=Basic Latin,Cyrillic
249  0x00004301 0x00404f01 4   5    UPX1    ascii   H]X?
250  0x0000434b 0x00404f4b 6   8    UPX1    utf8    qH\rp_ƫ blocks=Basic Latin,Latin Extended-B
251  0x000043dc 0x00404fdc 4   5    UPX1    ascii   ~ub`
252  0x0000445d 0x0040505d 4   5    UPX1    ascii   7\n\a8
253  0x00004485 0x00405085 4   5    UPX1    ascii   >^@_
254  0x000044e1 0x004050e1 4   5    UPX1    ascii   *po^
255  0x00004507 0x00405107 5   6    UPX1    ascii   W~RPK
256  0x000045c4 0x004051c4 4   6    UPX1    utf8    8PzЯ blocks=Basic Latin,Cyrillic
257  0x000045df 0x004051df 5   7    UPX1    utf8    TިM~D blocks=Basic Latin,Thaana
258  0x00004656 0x00405256 4   5    UPX1    ascii   4W~\a
259  0x00004743 0x00405343 4   5    UPX1    ascii   ~4$>
260  0x0000474d 0x0040534d 4   5    UPX1    ascii   G^wp
261  0x00004752 0x00405352 4   5    UPX1    ascii   cnTx
262  0x00004777 0x00405377 6   7    UPX1    ascii   f|%zD\t
263  0x0000480b 0x0040540b 4   6    UPX1    utf8    _K:ۀ blocks=Basic Latin,Arabic
264  0x00004814 0x00405414 5   6    UPX1    ascii   UHA~d
265  0x00004829 0x00405429 4   5    UPX1    ascii   sc[9
266  0x0000490d 0x0040550d 4   6    UPX1    utf8    Dg~Ӳ blocks=Basic Latin,Cyrillic
267  0x00004928 0x00405528 4   5    UPX1    ascii   +~op
