[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
318  0x0000363c 0x0040443c 6   7    .text   ascii   \f2\b0PH
319  0x0000364e 0x0040444e 6   7    .text   ascii   \fB\b0\a`
320  0x00004ea9 0x00405ca9 4   5    .text   ascii   +\t)T
321  0x00004f07 0x00405d07 4   5    .text   ascii   +\tPH
322  0x00004f26 0x00405d26 6   7    .text   ascii   +\t)TPH
323  0x00004f2d 0x00405d2d 4   5    .text   ascii   6\b@[
324  0x00004f32 0x00405d32 5   6    .text   ascii   \b%\PH
325  0x00004f7a 0x00405d7a 4   5    .text   ascii   +\t)T
326  0x00004f95 0x00405d95 5   6    .text   ascii   6\[PH
327  0x00004f9f 0x00405d9f 6   7    .text   ascii   \b\b\b\bPH
328  0x00004fa6 0x00405da6 4   5    .text   ascii   %\\[
329  0x00004ff9 0x00405df9 4   5    .text   ascii   +\tPH
330  0x00005060 0x00405e60 6   7    .text   ascii   +\t)TPH
331  0x000050db 0x00405edb 4   5    .text   ascii   +\tPH
332  0x000050ef 0x00405eef 6   7    .text   ascii   66\b@PH
333  0x0000511d 0x00405f1d 4   5    .text   ascii   +\tPH
334  0x0000517f 0x00405f7f 5   6    .text   ascii   \b"\PH
335  0x00005189 0x00405f89 6   7    .text   ascii   \b@\[PH
336  0x000051e3 0x00405fe3 4   5    .text   ascii   +\tPH
337  0x0000520f 0x0040600f 4   5    .text   ascii   66PH
338  0x00005219 0x00406019 5   6    .text   ascii   6\b\bPH
339  0x0000523b 0x0040603b 4   5    .text   ascii   \[PH
340  0x00005251 0x00406051 4   5    .text   ascii   \b[PH
341  0x0000528d 0x0040608d 4   5    .text   ascii   \v[\e\a
342  0x00005357 0x00406157 6   7    .text   ascii   6\b\b\bPH
343  0x000053b1 0x004061b1 4   5    .text   ascii   @6PH
344  0x000053d8 0x004061d8 4   5    .text   ascii   \b%\!
345  0x000053e7 0x004061e7 5   6    .text   ascii   \b%\PH
346  0x000053f2 0x004061f2 5   6    .text   ascii   \b%\PH
347  0x000053fd 0x004061fd 5   6    .text   ascii   \b%\PH
348  0x00005409 0x00406209 4   5    .text   ascii   @[PH
349  0x00005419 0x00406219 7   8    .text   ascii   666\b\b\bL
350  0x00005428 0x00406228 6   7    .text   ascii   6666PH
351  0x0000545a 0x0040625a 6   7    .text   ascii   \b@6[PH
352  0x00005485 0x00406285 4   5    .text   ascii   \b%\!
353  0x0000548d 0x0040628d 6   7    .text   ascii   \b@66\[
354  0x000054bd 0x004062bd 6   7    .text   ascii   6\b@[PH
355  0x000054c4 0x004062c4 10  11   .text   ascii   \b\b\b@6\b\b\bPH
356  0x00005529 0x00406329 4   5    .text   ascii   6\b@L
357  0x00005553 0x00406353 4   5    .text   ascii   @66[
358  0x00005596 0x00406396 6   7    .text   ascii   \v\[\e\a(
359  0x000055a2 0x004063a2 4   5    .text   ascii   \b@\vL
360  0x000055c1 0x004063c1 4   5    .text   ascii   6\b@L
361  0x000055d7 0x004063d7 4   5    .text   ascii   @6\[
362  0x0000561f 0x0040641f 4   5    .text   ascii   \b@PH
363  0x00005635 0x00406435 4   5    .text   ascii   @6PH
364  0x0000566a 0x0040646a 6   7    .text   ascii   @6\[PH
365  0x000056c4 0x004064c4 5   6    .text   ascii   \[\e\a 
366  0x000056d5 0x004064d5 4   5    .text   ascii   \v\vPH
367  0x00005741 0x00406541 6   7    .text   ascii   @6\[PH
368  0x00005759 0x00406559 4   5    .text   ascii   \[PH
369  0x0000578c 0x0040658c 4   5    .text   ascii   @6\[
370  0x000057ce 0x004065ce 4   5    .text   ascii   \v\v\v[
371  0x00005962 0x00406762 4   5    .text   ascii   0@PH
372  0x00005a94 0x00406894 4   5    .text   ascii   0@PH
373  0x00005ae1 0x004068e1 4   5    .text   ascii   0@PH
374  0x00005b2e 0x0040692e 4   5    .text   ascii   0@PH
375  0x00005b7c 0x0040697c 4   5    .text   ascii   0@PH
376  0x00005c1d 0x00406a1d 4   5    .text   ascii   \n\aPH
377  0x00005cf8 0x00406af8 4   5    .text   ascii   H`PH
378  0x00005d53 0x00406b53 4   5    .text   ascii   TP 3
379  0x000063a6 0x004071a6 10  11   .text   ascii   printf_sPH
380  0x000063b7 0x004071b7 4   5    .text   ascii   vsPH
381  0x000063bc 0x004071bc 4   9    .text   utf16le rt.d
382  0x000063c7 0x004071c7 4   9    .text   utf16le msvc
383  0x000063d2 0x004071d2 7   8    .text   ascii   ctime_s
384  0x000063e3 0x004071e3 4   5    .text   ascii   asPH
385  0x000063e8 0x004071e8 4   9    .text   utf16le rt.d
386  0x000063f3 0x004071f3 4   9    .text   utf16le msvc
387  0x00006403 0x00407203 6   7    .text   ascii   64_sPH
388  0x0000640a 0x0040720a 10  11   .text   ascii   ocaltimePH
