[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
259  0x00003eb9 0x00404ab9 5   8    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
260  0x00003ee8 0x00404ae8 11  12   CODE    ascii   t-Rf;\nt f;J
261  0x00003f77 0x00404b77 4   5    CODE    ascii   uAJt
262  0x00003fc9 0x00404bc9 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
263  0x00004012 0x00404c12 4   5    CODE    ascii   _^[]
264  0x0000405f 0x00404c5f 5   7    CODE    utf8    Z^[Ð1 blocks=Basic Latin,Latin-1 Supplement
265  0x0000408f 0x00404c8f 4   6    CODE    utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
266  0x000040ae 0x00404cae 7   8    CODE    ascii   <\nt"<\vt
267  0x000040b6 0x00404cb6 9   10   CODE    ascii   <\ft$<\rt3<
268  0x000040f3 0x00404cf3 4   6    CODE    utf8    ՋT.\n blocks=Armenian,Basic Latin
269  0x00004122 0x00404d22 5   7    CODE    utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
270  0x00004161 0x00404d61 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
271  0x00004189 0x00404d89 4   5    CODE    ascii   PSVW
272  0x0000419a 0x00404d9a 17  18   CODE    ascii   <\nt%<\vt><\ftQ<\rt\<
273  0x00004208 0x00404e08 4   6    CODE    utf8    ՋT.\n blocks=Armenian,Basic Latin
274  0x00004259 0x00404e59 5   6    CODE    ascii   \v_^[X
275  0x00004265 0x00404e65 6   9    CODE    utf8    _^[XË9 blocks=Basic Latin,Latin-1 Supplement
276  0x00004290 0x00404e90 4   5    CODE    ascii   SVWU
277  0x000042f2 0x00404ef2 4   5    CODE    ascii   ]_^[
278  0x0000432d 0x00404f2d 4   6    CODE    utf8    [1ɊJ blocks=Basic Latin,Latin Extended-B
279  0x0000434d 0x00404f4d 4   6    CODE    utf8    ;1ɊJ blocks=Basic Latin,Latin Extended-B
280  0x000043a5 0x00404fa5 5   7    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
281  0x000043ac 0x00404fac 4   5    CODE    ascii   SVWU
282  0x000043b1 0x00404fb1 5   9    CODE    utf8    É։ϋl$ blocks=Latin-1 Supplement,Armenian,Greek and Coptic,Basic Latin
283  0x000043e9 0x00404fe9 4   5    CODE    ascii   ]_^[
284  0x00004430 0x00405030 4   6    CODE    utf8    f1ɊO blocks=Basic Latin,Latin Extended-B
285  0x00004497 0x00405097 4   5    CODE    ascii   ]_^[
286  0x000044ed 0x004050ed 5   7    CODE    utf8    Z^[Í@ blocks=Basic Latin,Latin-1 Supplement
287  0x00004511 0x00405111 5   7    CODE    utf8    $Z[Í@ blocks=Basic Latin,Latin-1 Supplement
288  0x00004544 0x00405144 4   5    CODE    ascii   SVWU
289  0x00004586 0x00405186 4   5    CODE    ascii   <-u\b
290  0x000045a9 0x004051a9 4   5    CODE    ascii   <Xt\e
291  0x0000465a 0x0040525a 5   6    CODE    ascii   T$\fE3
292  0x0000467e 0x0040527e 4   6    CODE    utf8    ډD$\b blocks=Arabic,Basic Latin
293  0x00004692 0x00405292 4   5    CODE    ascii   ,\ns_
294  0x000046ed 0x004052ed 5   6    CODE    ascii   T$\fE3
295  0x0000470a 0x0040530a 4   6    CODE    utf8    ډD$\b blocks=Arabic,Basic Latin
296  0x00004761 0x00405361 5   8    CODE    utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
297  0x00004a28 0x00405628 7   9    CODE    utf8    ^[ÐSVWQ blocks=Basic Latin,Latin-1 Supplement
298  0x00004a49 0x00405649 5   6    CODE    ascii   ;X\bt\a
299  0x00004a50 0x00405650 5   6    CODE    ascii   ;X\fu\v
300  0x00004a6f 0x0040566f 4   5    CODE    ascii   Z_^[
301  0x00004a9a 0x0040569a 6   8    CODE    utf8    ^[Y]ÐU blocks=Basic Latin,Latin-1 Supplement
302  0x00004ab8 0x004056b8 4   5    CODE    ascii   hTX@
303  0x00004ac6 0x004056c6 6   7    CODE    ascii   tDhdX@
304  0x00004b10 0x00405710 4   5    CODE    ascii   8\uA
305  0x00004c54 0x00405854 12  13   CODE    ascii   kernel32.dll
306  0x00004c64 0x00405864 16  17   CODE    ascii   GetLongPathNameA
307  0x00004cfc 0x004058fc 5   6    CODE    ascii   Uh|Y@
308  0x00004d67 0x00405967 4   5    CODE    ascii   ZYYd
309  0x00004dea 0x004059ea 4   5    CODE    ascii   8.t\v
310  0x00004ebc 0x00405abc 24  25   CODE    ascii   Software\Borland\Locales
311  0x00004ed8 0x00405ad8 31  32   CODE    ascii   Software\Borland\Delphi\Locales
312  0x00004f29 0x00405b29 5   7    CODE    utf8    [ÐSVW blocks=Basic Latin,Latin-1 Supplement
