[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
226   0x00002b62 0x00403762 4   5    sect_0  ascii   _gRL
227   0x00002b69 0x00403769 4   5    sect_0  ascii   (xIU
228   0x00002b92 0x00403792 7   10   sect_0  utf8    li?ca+煎 blocks=Basic Latin,CJK Unified Ideographs
229   0x00002ba5 0x004037a5 7   8    sect_0  ascii   k>w=E-\b
230   0x00002bca 0x004037ca 5   6    sect_0  ascii   !|.[N
231   0x00002be8 0x004037e8 7   8    sect_0  ascii   g70zArU
232   0x00002c58 0x00403858 6   7    sect_0  ascii   EkC w#
233   0x00002cc6 0x004038c6 4   6    sect_0  utf8    ;t͢7 blocks=Basic Latin,Combining Diacritical Marks
234   0x00002d02 0x00403902 4   6    sect_0  utf8    $@ٴA blocks=Basic Latin,Arabic
235   0x00002d67 0x00403967 6   7    sect_0  ascii   PZ((z\f
236   0x00002dda 0x004039da 4   5    sect_0  ascii   *ha-
237   0x00002deb 0x004039eb 5   6    sect_0  ascii   <8%e[
238   0x00002dfc 0x004039fc 5   6    sect_0  ascii   >Bkq?
239   0x00002e17 0x00403a17 6   7    sect_0  ascii   H&;\n*\a
240   0x00002e75 0x00403a75 5   7    sect_0  utf8    ¨.69C blocks=Latin-1 Supplement,Basic Latin
241   0x00002e7e 0x00403a7e 4   5    sect_0  ascii   [&@7
242   0x00002e8f 0x00403a8f 4   5    sect_0  ascii   VKOL
243   0x00002ead 0x00403aad 4   5    sect_0  ascii   x^]e
244   0x00002ee6 0x00403ae6 4   5    sect_0  ascii   s+--
245   0x00002ef4 0x00403af4 4   5    sect_0  ascii   A^8k
246   0x00002f98 0x00403b98 5   6    sect_0  ascii   \t\v k:
247   0x00002fa1 0x00403ba1 5   6    sect_0  ascii   Y3Tcv
248   0x00002fea 0x00403bea 4   5    sect_0  ascii   \v,ZS
249   0x00002ff3 0x00403bf3 4   5    sect_0  ascii   eL(Z
250   0x0000303a 0x00403c3a 4   7    sect_0  utf8    3~\nס blocks=Basic Latin,Hebrew
251   0x00003077 0x00403c77 4   6    sect_0  utf8    Qr?Ҭ blocks=Basic Latin,Cyrillic
