[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
281   0x0000481e 0x0040541e 5   6    .text   ascii   NHPWj
282   0x0000484a 0x0040544a 4   5    .text   ascii   FhQV
283   0x0000489f 0x0040549f 4   5    .text   ascii   F8^[
284   0x000048af 0x004054af 5   7    .text   utf8    ̋D$\bV blocks=Combining Diacritical Marks,Basic Latin
285   0x000048b6 0x004054b6 4   5    .text   ascii   t$\bP
286   0x000048f2 0x004054f2 5   6    .text   ascii   t$\bW3
287   0x000048fd 0x004054fd 5   6    .text   ascii   ~\ruK
288   0x00004903 0x00405503 5   6    .text   ascii   FDWWW
289   0x00004923 0x00405523 8   9    .text   ascii   FL9~Xu\tV
290   0x00004937 0x00405537 5   6    .text   ascii   V@WQR
291   0x00004969 0x00405569 4   5    .text   ascii   x\ru
292   0x0000497a 0x0040557a 4   6    .text   utf8    3Ƀx8 blocks=Basic Latin,Latin Extended-B
293   0x00004999 0x00405599 4   5    .text   ascii   x\ru
294   0x00004a2c 0x0040562c 8   10   .text   utf8    ^À~\wu(j blocks=Basic Latin,Latin-1 Supplement
295   0x00004a88 0x00405688 4   6    .text   utf8    [ËC8 blocks=Basic Latin,Latin-1 Supplement
296   0x00004b23 0x00405723 6   8    .text   utf8    ^][ËKT blocks=Basic Latin,Latin-1 Supplement
297   0x00004b5b 0x0040575b 4   6    .text   utf8    {P+K
298   0x00004b79 0x00405779 9   11   .text   utf8    CP_^][ËD$ blocks=Basic Latin,Latin-1 Supplement
299   0x00004bb2 0x004057b2 5   7    .text   utf8    XSU3ۃ blocks=Basic Latin,Arabic
300   0x00004bc9 0x004057c9 4   5    .text   ascii   9\$h
301   0x00004c78 0x00405878 4   5    .text   ascii   \a<wt
302   0x00004c86 0x00405886 7   8    .text   ascii   \a<0|\f<9
303   0x00004c96 0x00405896 5   6    .text   ascii   5<fu\n
304   0x00004ca4 0x004058a4 5   6    .text   ascii   '<hu\n
