[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
299  0x0000ad45 0x0040b945 5   9    .text   utf8    ԋu\bV菧 blocks=Cyrillic Supplement,Basic Latin,CJK Unified Ideographs
300  0x0000ad58 0x0040b958 4   5    .text   ascii   =4.A
301  0x0000ad7f 0x0040b97f 4   5    .text   ascii   M\bQP
302  0x0000ae11 0x0040ba11 4   5    .text   ascii   ~%9M
303  0x0000ae22 0x0040ba22 6   7    .text   ascii   u\bQVj\t
304  0x0000ae41 0x0040ba41 4   5    .text   ascii   r 8^
305  0x0000af4a 0x0040bb4a 4   5    .text   ascii   hh\fA
306  0x0000b071 0x0040bc71 4   5    .text   ascii   M\bS3
307  0x0000b07a 0x0040bc7a 5   6    .text   ascii   |[;\r\
308  0x0000b0a8 0x0040bca8 4   5    .text   ascii   =x A
309  0x0000b0b4 0x0040bcb4 5   6    .text   ascii   It\bIu
310  0x0000b0ec 0x0040bcec 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
311  0x0000b186 0x0040bd86 7   8    .text   ascii   9^\bu5j\n
312  0x0000b196 0x0040bd96 4   5    .text   ascii   9^\bu
313  0x0000b1d8 0x0040bdd8 4   5    .text   ascii   D8\fP
314  0x0000b1eb 0x0040bdeb 6   8    .text   utf8    3ۋ}\bj\n blocks=Basic Latin,Arabic
315  0x0000b26f 0x0040be6f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
316  0x0000b278 0x0040be78 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
317  0x0000b28d 0x0040be8d 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
318  0x0000b297 0x0040be97 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
319  0x0000b2d5 0x0040bed5 5   6    .text   ascii   9] SS
320  0x0000b305 0x0040bf05 4   5    .text   ascii   D?\b=
321  0x0000b757 0x0040c357 4   7    .text   utf8    t\aP藠 blocks=Basic Latin,CJK Unified Ideographs
322  0x0000b769 0x0040c369 4   7    .text   utf8    t\aP腠 blocks=Basic Latin,CJK Unified Ideographs
323  0x0000b797 0x0040c397 4   5    .text   ascii   v4;5
324  0x0000b7a7 0x0040c3a7 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
325  0x0000b831 0x0040c431 4   7    .text   utf8    t\aP轟 blocks=Basic Latin,CJK Unified Ideographs
326  0x0000b843 0x0040c443 4   7    .text   utf8    t\aP諟 blocks=Basic Latin,CJK Unified Ideographs
327  0x0000b855 0x0040c455 4   7    .text   utf8    t\aP號 blocks=Basic Latin,CJK Unified Ideographs
328  0x0000b867 0x0040c467 4   7    .text   utf8    t\aP臟 blocks=Basic Latin,CJK Unified Ideographs
329  0x0000b895 0x0040c495 4   5    .text   ascii   vL;5
330  0x0000b8b2 0x0040c4b2 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
331  0x0000b8c8 0x0040c4c8 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
332  0x0000b8e6 0x0040c4e6 8   9    .text   ascii   PPPPPPPP
333  0x0000b936 0x0040c536 8   9    .text   ascii   PPPPPPPP
334  0x0000ba43 0x0040c643 5   6    .text   ascii   SVWUj
335  0x0000ba58 0x0040c658 4   5    .text   ascii   ]_^[
336  0x0000ba5e 0x0040c65e 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
337  0x0000bae4 0x0040c6e4 6   7    .text   ascii   ;t$,v-
338  0x0000bb3f 0x0040c73f 6   7    .text   ascii   R\f9Q\bu
339  0x0000bb67 0x0040c767 10  11   .text   ascii   k\fUQPXY]Y[
340  0x0000bbb1 0x0040c7b1 4   5    .text   ascii   u\bWV
341  0x0000bcfe 0x0040c8fe 4   6    .text   utf8    Ë]\bS blocks=Latin-1 Supplement,Basic Latin
342  0x0000bd59 0x0040c959 4   6    .text   utf8    á4.A blocks=Latin-1 Supplement,Basic Latin
343  0x0000bda1 0x0040c9a1 4   5    .text   ascii   \at'\n
344  0x0000be26 0x0040ca26 6   7    .text   ascii   QQSVWd
