[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
220   0x00007f53 0x10008b53 5   6    .text   ascii   E\bPSh
221   0x00007f6c 0x10008b6c 7   8    .text   ascii   t[9]\bvV
222   0x0000804d 0x10008c4d 4   6    .text   utf8    ID$\b
223   0x00008053 0x10008c53 4   5    .text   ascii   D$\bP
224   0x00008081 0x10008c81 4   5    .text   ascii   SUW3
225   0x000080df 0x10008cdf 4   5    .text   ascii   D$<P
226   0x000080ec 0x10008cec 4   5    .text   ascii   D$4P
227   0x00008127 0x10008d27 4   5    .text   ascii   D$8P
228   0x0000815b 0x10008d5b 4   5    .text   ascii   D$<P
229   0x00008184 0x10008d84 4   5    .text   ascii   D$@P
230   0x00008195 0x10008d95 5   7    .text   utf8    3\r|$$
231   0x000081b0 0x10008db0 4   5    .text   ascii   D$8j
232   0x00008252 0x10008e52 4   5    .text   ascii   D$(P
233   0x00008298 0x10008e98 4   5    .text   ascii   D$8P
234   0x000082ca 0x10008eca 4   5    .text   ascii   D$4h
235   0x000082df 0x10008edf 5   8    .text   utf8    D$4P轖 blocks=Basic Latin,CJK Unified Ideographs
236   0x0000832b 0x10008f2b 4   5    .text   ascii   _][3
237   0x0000833d 0x10008f3d 4   5    .text   ascii   VVVh
238   0x0000834f 0x10008f4f 5   6    .text   ascii   VVVhP
239   0x000083a5 0x10008fa5 4   5    .text   ascii   D$$P
240   0x000083af 0x10008faf 6   7    .text   ascii   D$<PUh
241   0x000083c0 0x10008fc0 5   7    .text   utf8    ؍D$8h blocks=Arabic,Basic Latin
242   0x00008420 0x10009020 5   6    .text   ascii   D$(Pj
243   0x0000842e 0x1000902e 4   5    .text   ascii   D$(P
244   0x00008433 0x10009033 4   5    .text   ascii   D$8P
245   0x0000845c 0x1000905c 4   5    .text   ascii   D$$P
246   0x00008471 0x10009071 4   5    .text   ascii   Ph.N
247   0x0000847f 0x1000907f 6   7    .text   ascii   D$ PUh
248   0x0000850f 0x1000910f 4   5    .text   ascii    t%j
249   0x00008586 0x10009186 4   5    .text   ascii   \$\f9
250   0x00008638 0x10009238 4   5    .text   ascii   u\eWj
251   0x0000868f 0x1000928f 4   5    .text   ascii   FVVS
252   0x000086a5 0x100092a5 5   6    .text   ascii   t\vVVW
253   0x000086b1 0x100092b1 5   7    .text   utf8    \f_^[Á blocks=Basic Latin,Latin-1 Supplement
254   0x000086f5 0x100092f5 4   5    .text   ascii   C\bPj
255   0x00008764 0x10009364 5   6    .text   ascii   t29t$
256   0x000087f4 0x100093f4 4   5    .text   ascii   t}UV
257   0x000088ab 0x100094ab 4   6    .text   utf8    S3ۍF blocks=Basic Latin,Arabic
258   0x00008901 0x10009501 4   5    .text   ascii   Wh#'
259   0x00008918 0x10009518 4   5    .text   ascii   9]\ft
260   0x00008aab 0x100096ab 4   5    .text   ascii   t$\bj
261   0x00008ac0 0x100096c0 4   5    .text   ascii   t$\bj
262   0x00008ad5 0x100096d5 4   5    .text   ascii   t$\bj
263   0x00008aea 0x100096ea 4   5    .text   ascii   t$\bj
264   0x00008b56 0x10009756 5   6    .text   ascii   D$LPh
265   0x00008b76 0x10009776 6   7    .text   ascii   D$LVPP
266   0x00008b89 0x10009789 4   5    .text   ascii   D$LP
267   0x00008bb7 0x100097b7 4   5    .text   ascii   D$ j
268   0x00008be1 0x100097e1 4   5    .text   ascii   D$PP
269   0x00008bfa 0x100097fa 4   6    .text   utf8    tY3ۋ blocks=Basic Latin,Arabic
270   0x00008c18 0x10009818 5   6    .text   ascii   t;SSS
271   0x00008c1e 0x1000981e 5   6    .text   ascii   D$XVP
272   0x00008c3a 0x1000983a 5   6    .text   ascii   D$XPj
273   0x00008c54 0x10009854 4   5    .text   ascii   Y^_]
274   0x00008c73 0x10009873 6   8    .text   utf8    S2ۃ|$\f blocks=Basic Latin,Arabic
275   0x00008c7b 0x1000987b 4   5    .text   ascii   rlUV
276   0x00008cb7 0x100098b7 9   10   .text   ascii   VWU8\$(t\a
277   0x00008ce5 0x100098e5 4   5    .text   ascii   \f_^]
278   0x00008cf4 0x100098f4 8   9    .text   ascii   D$\bSUVW3
279   0x00008d59 0x10009959 5   6    .text   ascii   L$ QP
280   0x00008d88 0x10009988 4   5    .text   ascii   D$ P
281   0x00008d9d 0x1000999d 4   5    .text   ascii   D$ P
282   0x00008dd2 0x100099d2 4   7    .text   utf8    t$ 蚼 blocks=Basic Latin,CJK Unified Ideographs
283   0x00008e26 0x10009a26 4   5    .text   ascii   YY_f
284   0x00008f3d 0x10009b3d 8   9    .text   ascii   U@VW9D$$
285   0x00008f63 0x10009b63 6   7    .text   ascii   9L$$vp
286   0x00008f6a 0x10009b6a 4   5    .text   ascii   l$ j
287   0x00008f8c 0x10009b8c 4   5    .text   ascii   t$ t
288   0x00008fbd 0x10009bbd 7   8    .text   ascii   FY;t$$r
289   0x00009001 0x10009c01 5   6    .text   ascii   _^][Y
290   0x000090a7 0x10009ca7 5   6    .text   ascii   E\bPVh
291   0x00009233 0x10009e33 4   5    .text   ascii   D$ 3
292   0x00009242 0x10009e42 4   5    .text   ascii   L$,h
293   0x0000924b 0x10009e4b 4   5    .text   ascii   D$0Q
294   0x00009254 0x10009e54 4   5    .text   ascii   L$8P
295   0x00009266 0x10009e66 4   5    .text   ascii   D$@P
296   0x00009282 0x10009e82 4   5    .text   ascii   D$,P
297   0x00009291 0x10009e91 4   5    .text   ascii   D$,P
298   0x0000929c 0x10009e9c 4   5    .text   ascii   D$,P
299   0x000092b0 0x10009eb0 4   5    .text   ascii   ];\$
300   0x000092cc 0x10009ecc 4   5    .text   ascii   \bt\fU
301   0x00009330 0x10009f30 4   5    .text   ascii   Y[^3
302   0x000093f0 0x10009ff0 4   5    .text   ascii   uhj\n
303   0x000093fc 0x10009ffc 4   5    .text   ascii   \nu[9
304   0x00009405 0x1000a005 4   5    .text   ascii   uSj\f
305   0x00009450 0x1000a050 4   5    .text   ascii   \tj\vY
306   0x00009503 0x1000a103 4   5    .text   ascii   t@Vj
307   0x00009528 0x1000a128 4   5    .text   ascii   E\fPV
308   0x00009590 0x1000a190 4   5    .text   ascii   Wh6!
309   0x00009650 0x1000a250 5   6    .text   ascii   E\bYYP
310   0x00009691 0x1000a291 5   6    .text   ascii   u\fVSj
311   0x000096a6 0x1000a2a6 4   5    .text   ascii   PVSh
312   0x0000970c 0x1000a30c 4   5    .text   ascii   YY^[
313   0x00009769 0x1000a369 9   12   .text   utf8    +ЉV0tŋN,R blocks=Basic Latin,Cyrillic,Latin Extended-A
314   0x00009797 0x1000a397 4   5    .text   ascii   _^][
315   0x00009835 0x1000a435 5   6    .text   ascii   ~-)F\
316   0x0000988d 0x1000a48d 4   5    .text   ascii   ^Vh*
317   0x00009910 0x1000a510 5   6    .text   ascii   D$<VP
318   0x0000995c 0x1000a55c 5   6    .text   ascii   D$,PU
319   0x00009978 0x1000a578 4   5    .text   ascii   t!VP
320   0x0000999e 0x1000a59e 4   5    .text   ascii   8t\vC
321   0x000099b2 0x1000a5b2 4   5    .text   ascii   t#VV
322   0x00009a0c 0x1000a60c 5   6    .text   ascii   YY]_3
323   0x00009a80 0x1000a680 4   5    .text   ascii   D$$P
324   0x00009a98 0x1000a698 4   5    .text   ascii   D$$P
325   0x00009af3 0x1000a6f3 4   5    .text   ascii   ufhD
326   0x00009b04 0x1000a704 4   5    .text   ascii   uUhL
327   0x00009b15 0x1000a715 4   5    .text   ascii   uDhT
328   0x00009b26 0x1000a726 4   5    .text   ascii   u3h\
329   0x00009b37 0x1000a737 4   5    .text   ascii   t7hl
330   0x00009b48 0x1000a748 4   5    .text   ascii   u&ht
331   0x00009ba5 0x1000a7a5 4   5    .text   ascii   t\tUV
332   0x00009c1e 0x1000a81e 4   5    .text   ascii   _[^]
333   0x00009c41 0x1000a841 5   7    .text   utf8    \vF$YY
334   0x00009c7a 0x1000a87a 5   6    .text   ascii   D$ PW
335   0x00009ce8 0x1000a8e8 4   5    .text   ascii   L$PW
336   0x00009d38 0x1000a938 4   5    .text   ascii   u&jd
337   0x00009d8d 0x1000a98d 5   6    .text   ascii   L$`SV
338   0x00009dc6 0x1000a9c6 4   5    .text   ascii   D$dP
339   0x00009dfd 0x1000a9fd 4   5    .text   ascii   D$hP
340   0x00009e59 0x1000aa59 4   5    .text   ascii   D$`P
341   0x00009e76 0x1000aa76 4   5    .text   ascii   Y^][
342   0x00009ea3 0x1000aaa3 4   5    .text   ascii   SUVW
343   0x00009fc1 0x1000abc1 4   5    .text   ascii   _^][
344   0x0000a010 0x1000ac10 7   8    .text   ascii   t$\fWjPV
345   0x0000a091 0x1000ac91 4   5    .text   ascii   F(hT
346   0x0000a0e2 0x1000ace2 4   5    .text   ascii   G$YY
347   0x0000a0e7 0x1000ace7 4   5    .text   ascii   F0hh
348   0x0000a0fe 0x1000acfe 4   5    .text   ascii   F4Pj
