[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
299  0x00004b31 0x00405731 6   8    .text   utf8    f;4ݬgA blocks=Basic Latin,Arabic Supplement
300  0x00004b3f 0x0040573f 7   9    .text   utf8    !f;4ݬgA blocks=Basic Latin,Arabic Supplement
301  0x00004ba1 0x004057a1 5   8    .text   utf8    PjZS肻 blocks=Basic Latin,CJK Unified Ideographs
302  0x00004bc6 0x004057c6 4   5    .text   ascii   hPX@
303  0x00004be7 0x004057e7 4   5    .text   ascii   h`X@
304  0x00004c17 0x00405817 4   5    .text   ascii   ZYYd
305  0x00004c1d 0x0040581d 4   5    .text   ascii   h:X@
306  0x00004cc4 0x004058c4 6   8    .text   utf8    ^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
307  0x00004e87 0x00405a87 4   6    .text   utf8    ƺ\f[@ blocks=Latin Extended-B,Basic Latin
308  0x00004edd 0x00405add 4   5    .text   ascii   ZYYd
309  0x00004ef8 0x00405af8 4   5    .text   ascii   ^[Y]
310  0x00004f2e 0x00405b2e 4   6    .text   utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
311  0x00004fa7 0x00405ba7 4   5    .text   ascii   8\u;
312  0x00005095 0x00405c95 4   6    .text   utf8    ^fǄ] blocks=Basic Latin,Latin Extended-B
313  0x00005100 0x00405d00 12  26   .text   utf16le kernel32.dll
314  0x0000511c 0x00405d1c 16  17   .text   ascii   GetLongPathNameW
315  0x000051a8 0x00405da8 4   5    .text   ascii   h$_@
316  0x000051c6 0x00405dc6 4   5    .text   ascii   h$_@
317  0x000051e4 0x00405de4 4   5    .text   ascii   hX_@
318  0x000052d5 0x00405ed5 4   5    .text   ascii   ZYYd
319  0x00005301 0x00405f01 4   5    .text   ascii   ZYYd
320  0x00005324 0x00405f24 25  52   .text   utf16le Software\CodeGear\Locales
321  0x00005358 0x00405f58 24  50   .text   utf16le Software\Borland\Locales
322  0x0000538c 0x00405f8c 31  64   .text   utf16le Software\Borland\Delphi\Locales
323  0x000053d9 0x00405fd9 4   6    .text   utf8    SV3ɉ blocks=Basic Latin,Latin Extended-B
324  0x00005466 0x00406066 4   5    .text   ascii   ZYYd
