ii 592 64
[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
272   0x000039fc 0x000039bc 6    7            ascii   c3r\aSH
273   0x00003a4b 0x00003a0b 5    7            utf8    y9Aܒs blocks=Basic Latin,Syriac
274   0x00003a52 0x00003a12 5    7            utf8    ŏ`rN5 blocks=Latin Extended-A,Basic Latin
275   0x00003a61 0x00003a21 4    5            ascii   iN\r~
276   0x00003a8e 0x00003a4e 4    5            ascii   /9&J
277   0x00003a95 0x00003a55 8    9            ascii   ZX\f^]"k[
278   0x00003aa0 0x00003a60 4    5            ascii   hfMb
279   0x00003b01 0x00003ac1 8    10           utf8    iO©C>\t}L blocks=Basic Latin,Latin-1 Supplement
280   0x00003b30 0x00003af0 4    6            utf8    /mjˮ blocks=Basic Latin,Spacing Modifier Letters
281   0x00003b5b 0x00003b1b 4    6            utf8    j1 T
282   0x00003b66 0x00003b26 4    7            utf8    -,V럆 blocks=Basic Latin,Hangul Syllables
283   0x00003b6e 0x00003b2e 4    5            ascii   }\f6v
284   0x00003b76 0x00003b36 5    6            ascii   l4Y]:
285   0x00003b7c 0x00003b3c 4    5            ascii   fvr\v
286   0x00003bbb 0x00003b7b 9    11           utf8    ;NNѬ<U(*\b blocks=Basic Latin,Cyrillic
287   0x00003bca 0x00003b8a 5    7            utf8    6ɀxZ\v blocks=Basic Latin,Latin Extended-B
288   0x00003be3 0x00003ba3 4    5            ascii   E"$\
289   0x00003c35 0x00003bf5 5    6            ascii   iZJ6Z
290   0x00003c4b 0x00003c0b 5    7            utf8    ")6(ɾ blocks=Basic Latin,IPA Extensions
291   0x00003c6a 0x00003c2a 4    5            ascii   ""\b+
292   0x00003d0e 0x00003cce 4    5            ascii   ^!zj
293   0x00003d14 0x00003cd4 6    8            utf8    ^%o9ѥ( blocks=Basic Latin,Cyrillic
294   0x00003d75 0x00003d35 4    5            ascii   q3sf
295   0x00003d7a 0x00003d3a 4    6            utf8    ƹ<Jx blocks=Latin Extended-B,Basic Latin
296   0x00003d8e 0x00003d4e 6    7            ascii   kdbzNn
297   0x00003dc5 0x00003d85 4    5            ascii   U:*]
298   0x00003ddd 0x00003d9d 4    5            ascii   ti/<
299   0x00003e1c 0x00003ddc 4    5            ascii   -\tYC
300   0x00003e4c 0x00003e0c 6    7            ascii   '\fyU3\v
301   0x00003e80 0x00003e40 4    6            utf8    IYǪ\v blocks=Basic Latin,Latin Extended-B
