[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 4   5            ascii   Rich
2    0x000001f0 0x000001f0 5   6            ascii   .text
3    0x00000217 0x00000217 7   8            ascii   `.rdata
4    0x0000023f 0x0000023f 6   7            ascii   @.data
5    0x00000268 0x00000268 6   7            ascii   .idata
6    0x00000290 0x00000290 5   6            ascii   .rsrc
7    0x000002b7 0x000002b7 7   8            ascii   @.reloc
692  0x0001a037 0x1001a037 4   6    .text   utf8    U\b3\n
693  0x0001a05c 0x1001a05c 7   11   .text   utf8    E\b붋M\b3Ҋ blocks=Basic Latin,Hangul Syllables,Cyrillic
694  0x0001a086 0x1001a086 4   6    .text   utf8    U\b3\n
695  0x0001a0e0 0x1001a0e0 4   6    .text   utf8    T\bЉU blocks=Basic Latin,Cyrillic
696  0x0001a0e7 0x1001a0e7 5   7    .text   utf8    E\b3Ɋ\b blocks=Basic Latin,Latin Extended-B
697  0x0001a0f7 0x1001a0f7 4   7    .text   utf8    U\b뤃} blocks=Basic Latin,Hangul Syllables
698  0x0001a143 0x1001a143 6   8    .text   utf8    E\b3Ɋ\bQ blocks=Basic Latin,Latin Extended-B
699  0x0001a158 0x1001a158 4   6    .text   utf8    U\b3\n
700  0x0001a17d 0x1001a17d 7   11   .text   utf8    E\b붋M\b3Ҋ blocks=Basic Latin,Hangul Syllables,Cyrillic
701  0x0001a1a7 0x1001a1a7 4   6    .text   utf8    U\b3\n
702  0x0001a225 0x1001a225 4   6    .text   utf8    U\b3\n
703  0x0001a235 0x1001a235 4   7    .text   utf8    M\b뎃} blocks=Basic Latin,Hangul Syllables
704  0x0001a26a 0x1001a26a 4   5    .text   ascii   u/j\v
705  0x0001ad1f 0x1001ad1f 5   8    .text   utf8    3\re̋M blocks=Basic Latin,Combining Diacritical Marks
706  0x0001ae84 0x1001ae84 4   9    .text   utf16le jjjj
707  0x0001aecf 0x1001aecf 5   8    .text   utf8    3\re̋M blocks=Basic Latin,Combining Diacritical Marks
708  0x0001af0e 0x1001af0e 4   5    .text   ascii   }\bA|
709  0x0001afb0 0x1001afb0 4   5    .text   ascii   }\bA|
710  0x0001b0cf 0x1001b0cf 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
711  0x0001b0d8 0x1001b0d8 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
712  0x0001b0ed 0x1001b0ed 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
713  0x0001b0f7 0x1001b0f7 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
714  0x0001b231 0x1001b231 4   5    .text   ascii   M\bQj
715  0x0001b27a 0x1001b27a 4   9    .text   utf16le jjjj
716  0x0001b2a1 0x1001b2a1 4   5    .text   ascii   hj=h
717  0x0001b785 0x1001b785 4   5    .text   ascii   M\b;M
718  0x0001b891 0x1001b891 4   5    .text   ascii   +E\bP
719  0x0001b9c7 0x1001b9c7 4   7    .text   utf8    M\bQ衾 blocks=Basic Latin,CJK Unified Ideographs
720  0x0001bb29 0x1001bb29 4   5    .text   ascii   u\nj\t
721  0x0001bb41 0x1001bb41 4   5    .text   ascii   t[hO
722  0x0001bc20 0x1001bc20 5   7    .text   utf8    E\b3Ɋ\b blocks=Basic Latin,Latin Extended-B
723  0x0001bc45 0x1001bc45 6   8    .text   utf8    E\b3Ɋ\b\v blocks=Basic Latin,Latin Extended-B
724  0x0001bc4d 0x1001bc4d 4   5    .text   ascii   9U\fu
725  0x0001bc6f 0x1001bc6f 4   5    .text   ascii   9U\fu
726  0x0001bc8d 0x1001bc8d 4   5    .text   ascii   9E\fu
727  0x0003303c 0x1003303c 6   7    .rdata  ascii   p.o=y'
728  0x0003308c 0x1003308c 66  67   .rdata  ascii   c:\program files\microsoft visual studio\vc98\atl\include\atlcom.h
729  0x000330dc 0x100330dc 9   10   .rdata  ascii   *ppv == 0
730  0x00033118 0x10033118 14  15   .rdata  ascii   m_dwRef != -1L
731  0x0003312c 0x1003312c 11  12   .rdata  ascii   m_dwRef > 0
732  0x00033174 0x10033174 33  34   .rdata  ascii   pM->cbSize == sizeof(_ATL_MODULE)
733  0x0003319c 0x1003319c 67  68   .rdata  ascii   c:\program files\microsoft visual studio\vc98\atl\include\atlbase.h
734  0x000331f0 0x100331f0 7   8    .rdata  ascii   pM != 0
735  0x000331fc 0x100331fc 18  19   .rdata  ascii   pM->m_pObjMap != 0
736  0x00033214 0x10033214 16  17   .rdata  ascii   pM->m_hInst != 0
737  0x00033228 0x10033228 18  19   .rdata  ascii   pEntry->iType == 2
738  0x00033240 0x10033240 4   5    .rdata  ascii   p==0
739  0x00033248 0x10033248 4   5    .rdata  ascii   p!=0
740  0x00033250 0x10033250 8   18   .rdata  utf16le REGISTRY
741  0x00033268 0x10033268 24  25   .rdata  ascii   0 != pMapEntries->szData
742  0x00033288 0x10033288 6   14   .rdata  utf16le Module
743  0x00033298 0x10033298 8   9    .rdata  ascii   lpw != 0
744  0x000332a4 0x100332a4 67  68   .rdata  ascii   c:\program files\microsoft visual studio\vc98\atl\include\atlconv.h
745  0x000332f8 0x100332f8 8   9    .rdata  ascii   lpa != 0
746  0x00033304 0x10033304 17  18   .rdata  ascii   UnRegisterTypeLib
747  0x0003331c 0x1003331c 12  13   .rdata  ascii   oleaut32.dll
748  0x0003332c 0x1003332c 4   5    .rdata  ascii   .tlb
749  0x00033334 0x10033334 23  24   .rdata  ascii   pM->m_hInstTypeLib != 0
750  0x00033350 0x10033350 17  18   .rdata  ascii   lpszPathName != 0
751  0x00033368 0x10033368 44  45   .rdata  ascii   pEntries->pFunc == ((_ATL_CREATORARGFUNC*)1)
752  0x000333a0 0x100333a0 10  11   .rdata  ascii   pThis != 0
753  0x000333b0 0x100333b0 7   8    .rdata  ascii   !bBlind
754  0x000333bc 0x100333bc 12  13   .rdata  ascii   m_dwRef == 0
755  0x000333ec 0x100333ec 86  87   .rdata  ascii   CComClassFactory: asked for non IUnknown interface while creating an aggregated object
756  0x00033454 0x10033454 24  25   .rdata  ascii   m_pfnCreateInstance != 0
757  0x00033474 0x10033474 5   6    .rdata  ascii   ATL: 
758  0x0003347c 0x1003347c 23  24   .rdata  ascii   nBuf < sizeof(szBuffer)
759  0x00033518 0x10033518 4   5    .rdata  ascii   %s%s
760  0x00033520 0x10033520 11  12   .rdata  ascii   \Drives.txt
761  0x00033538 0x10033538 6   7    .rdata  ascii   ;File;
762  0x00033540 0x10033540 8   9    .rdata  ascii   ;Folder;
763  0x0003354c 0x1003354c 10  11   .rdata  ascii   \Files.txt
764  0x0003358f 0x1003358f 14  15   .rdata  ascii   Fi386\chkesp.c
765  0x000335a4 0x100335a4 219 220  .rdata  ascii   The value of ESP was not properly saved across a function call.  This is usually a result of calling a function declared with one calling convention with a function pointer declared with a different calling convention. 
766  0x00033680 0x10033680 16  17   .rdata  ascii   Assertion Failed
767  0x00033694 0x10033694 5   6    .rdata  ascii   Error
768  0x0003369c 0x1003369c 7   8    .rdata  ascii   Warning
769  0x000336a4 0x100336a4 11  12   .rdata  ascii   %s(%d) : %s
770  0x000336b4 0x100336b4 17  18   .rdata  ascii   Assertion failed!
771  0x000336c8 0x100336c8 18  19   .rdata  ascii   Assertion failed: 
772  0x000336dc 0x100336dc 42  43   .rdata  ascii   _CrtDbgReport: String too long or IO Error
773  0x00033708 0x10033708 49  50   .rdata  ascii   Second Chance Assertion Failed: File %s, Line %d\n
774  0x0003373c 0x1003373c 9   10   .rdata  ascii   wsprintfA
775  0x00033748 0x10033748 10  11   .rdata  ascii   user32.dll
776  0x00033754 0x10033754 34  35   .rdata  ascii   Microsoft Visual C++ Debug Library
777  0x00033778 0x10033778 82  83   .rdata  ascii   Debug %s!\n\nProgram: %s%s%s%s%s%s%s%s%s%s%s\n\n(Press Retry to debug the application)
778  0x000337cc 0x100337cc 9   10   .rdata  ascii   \nModule: 
779  0x000337d8 0x100337d8 7   8    .rdata  ascii   \nFile: 
780  0x000337e0 0x100337e0 7   8    .rdata  ascii   \nLine: 
781  0x000337ec 0x100337ec 12  13   .rdata  ascii   Expression: 
782  0x000337fc 0x100337fc 114 115  .rdata  ascii   \n\nFor information on how your program can cause an assertion\nfailure, see the Visual C++ documentation on asserts.
783  0x00033874 0x10033874 22  23   .rdata  ascii   <program name unknown>
784  0x0003388c 0x1003388c 8   9    .rdata  ascii   dbgrpt.c
785  0x00033898 0x10033898 21  22   .rdata  ascii   szUserMessage != NULL
786  0x000338b0 0x100338b0 10  11   .rdata  ascii   dbgdel.cpp
787  0x000338bc 0x100338bc 38  39   .rdata  ascii   _BLOCK_TYPE_IS_VALID(pHead->nBlockUse)
788  0x000338e4 0x100338e4 14  15   .rdata  ascii   format != NULL
789  0x000338f4 0x100338f4 10  11   .rdata  ascii   vsprintf.c
790  0x00033900 0x10033900 14  15   .rdata  ascii   string != NULL
791  0x00033910 0x10033910 8   9    .rdata  ascii   fclose.c
792  0x0003391c 0x1003391c 14  15   .rdata  ascii   stream != NULL
793  0x0003392c 0x1003392c 11  12   .rdata  ascii   str != NULL
794  0x00033938 0x10033938 17  18   .rdata  ascii   *mode != _T('\0')
795  0x0003394c 0x1003394c 12  13   .rdata  ascii   mode != NULL
796  0x0003395c 0x1003395c 17  18   .rdata  ascii   *file != _T('\0')
797  0x00033970 0x10033970 7   8    .rdata  ascii   fopen.c
798  0x00033978 0x10033978 12  13   .rdata  ascii   file != NULL
799  0x00033988 0x10033988 6   7    .rdata  ascii   Client
800  0x00033990 0x10033990 6   7    .rdata  ascii   Ignore
801  0x0003399c 0x1003399c 6   7    .rdata  ascii   Normal
802  0x000339a4 0x100339a4 4   5    .rdata  ascii   Free
803  0x000339bc 0x100339bc 49  50   .rdata  ascii   Error: memory allocation: bad memory block type.\n
804  0x000339f0 0x100339f0 35  36   .rdata  ascii   Invalid allocation size: %u bytes.\n
805  0x00033a18 0x10033a18 32  33   .rdata  ascii   Client hook allocation failure.\n
806  0x00033a3c 0x10033a3c 52  53   .rdata  ascii   Client hook allocation failure at file %hs line %d.\n
807  0x00033a74 0x10033a74 9   10   .rdata  ascii   dbgheap.c
808  0x00033a80 0x10033a80 17  18   .rdata  ascii   _CrtCheckMemory()
809  0x00033aa4 0x10033aa4 25  26   .rdata  ascii   _pFirstBlock == pOldBlock
810  0x00033ac0 0x10033ac0 24  25   .rdata  ascii   _pLastBlock == pOldBlock
811  0x00033adc 0x10033adc 49  50   .rdata  ascii   fRealloc || (!fRealloc && pNewBlock == pOldBlock)
812  0x00033b10 0x10033b10 57  58   .rdata  ascii   _BLOCK_TYPE(pOldBlock->nBlockUse)==_BLOCK_TYPE(nBlockUse)
813  0x00033b4c 0x10033b4c 68  69   .rdata  ascii   pOldBlock->nLine == IGNORE_LINE && pOldBlock->lRequest == IGNORE_REQ
814  0x00033b94 0x10033b94 33  34   .rdata  ascii   _CrtIsValidHeapPointer(pUserData)
815  0x00033bb8 0x10033bb8 44  45   .rdata  ascii   Allocation too large or negative: %u bytes.\n
816  0x00033be8 0x10033be8 35  36   .rdata  ascii   Client hook re-allocation failure.\n
817  0x00033c0c 0x10033c0c 55  56   .rdata  ascii   Client hook re-allocation failure at file %hs line %d.\n
818  0x00033c64 0x10033c64 21  22   .rdata  ascii   _pFirstBlock == pHead
819  0x00033c7c 0x10033c7c 20  21   .rdata  ascii   _pLastBlock == pHead
820  0x00033c94 0x10033c94 29  30   .rdata  ascii   pHead->nBlockUse == nBlockUse
821  0x00033cb4 0x10033cb4 60  61   .rdata  ascii   pHead->nLine == IGNORE_LINE && pHead->lRequest == IGNORE_REQ
822  0x00033cf4 0x10033cf4 41  42   .rdata  ascii   DAMAGE: after %hs block (#%d) at 0x%08X.\n
823  0x00033d20 0x10033d20 42  43   .rdata  ascii   DAMAGE: before %hs block (#%d) at 0x%08X.\n
824  0x00033d4c 0x10033d4c 26  27   .rdata  ascii   Client hook free failure.\n
825  0x00033d84 0x10033d84 57  58   .rdata  ascii   memory check error at 0x%08X = 0x%02X, should be 0x%02X.\n
826  0x00033dc0 0x10033dc0 40  41   .rdata  ascii   %hs located at 0x%08X is %u bytes long.\n
827  0x00033dec 0x10033dec 31  32   .rdata  ascii   %hs allocated at file %hs(%d).\n
828  0x00033e0c 0x10033e0c 40  41   .rdata  ascii   DAMAGE: on top of Free block at 0x%08X.\n
829  0x00033e38 0x10033e38 7   8    .rdata  ascii   DAMAGED
830  0x00033e40 0x10033e40 42  43   .rdata  ascii   _heapchk fails with unknown return value!\n
831  0x00033e6c 0x10033e6c 33  34   .rdata  ascii   _heapchk fails with _HEAPBADPTR.\n
832  0x00033e90 0x10033e90 33  34   .rdata  ascii   _heapchk fails with _HEAPBADEND.\n
833  0x00033eb4 0x10033eb4 34  35   .rdata  ascii   _heapchk fails with _HEAPBADNODE.\n
834  0x00033ed8 0x10033ed8 35  36   .rdata  ascii   _heapchk fails with _HEAPBADBEGIN.\n
835  0x00033f2c 0x10033f2c 34  35   .rdata  ascii   Bad memory block found at 0x%08X.\n
836  0x00033f50 0x10033f50 39  40   .rdata  ascii   _CrtMemCheckPoint: NULL state pointer.\n
837  0x00033f84 0x10033f84 39  40   .rdata  ascii   _CrtMemDifference: NULL state pointer.\n
838  0x00033fac 0x10033fac 22  23   .rdata  ascii   Object dump complete.\n
839  0x00033fc4 0x10033fc4 48  49   .rdata  ascii   crt block at 0x%08X, subtype %x, %u bytes long.\n
840  0x00033ff8 0x10033ff8 39  40   .rdata  ascii   normal block at 0x%08X, %u bytes long.\n
841  0x00034020 0x10034020 51  52   .rdata  ascii   client block at 0x%08X, subtype %x, %u bytes long.\n
842  0x00034054 0x10034054 6   7    .rdata  ascii   {%ld} 
843  0x0003405c 0x1003405c 10  11   .rdata  ascii   %hs(%d) : 
844  0x00034068 0x10034068 19  20   .rdata  ascii   #File Error#(%d) : 
845  0x0003407c 0x1003407c 19  20   .rdata  ascii   Dumping objects ->\n
846  0x0003409c 0x1003409c 15  16   .rdata  ascii    Data: <%s> %s\n
847  0x000340ac 0x100340ac 5   6    .rdata  ascii   %.2X 
848  0x000340b4 0x100340b4 23  24   .rdata  ascii   Detected memory leaks!\n
849  0x000340cc 0x100340cc 30  31   .rdata  ascii   Total allocations: %ld bytes.\n
850  0x000340ec 0x100340ec 32  33   .rdata  ascii   Largest number used: %ld bytes.\n
851  0x00034110 0x10034110 29  30   .rdata  ascii   %ld bytes in %ld %hs Blocks.\n
852  0x00034130 0x10034130 9   10   .rdata  ascii   sprintf.c
853  0x0003413c 0x1003413c 8   9    .rdata  ascii   winsig.c
854  0x00034148 0x10034148 18  19   .rdata  ascii   GetLastActivePopup
855  0x0003415c 0x1003415c 15  16   .rdata  ascii   GetActiveWindow
856  0x0003416c 0x1003416c 11  12   .rdata  ascii   MessageBoxA
857  0x00034178 0x10034178 7   8    .rdata  ascii   mlock.c
858  0x00034180 0x10034180 62  63   .rdata  ascii   ("inconsistent IOB fields", stream->_ptr - stream->_base >= 0)
859  0x000341c0 0x100341c0 9   10   .rdata  ascii   _flsbuf.c
860  0x000341ed 0x100341ed 7   8    .rdata  ascii    (8PX\a\b
861  0x000341f5 0x100341f5 6   7    .rdata  ascii   700WP\a
862  0x00034204 0x10034204 7   8    .rdata  ascii   \b`h````
863  0x0003420d 0x1003420d 9   10   .rdata  ascii   ppxxxx\b\a\b
864  0x0003422c 0x1003422c 4   10   .rdata  utf16le ull)
865  0x00034238 0x10034238 6   7    .rdata  ascii   (null)
866  0x00034240 0x10034240 8   9    .rdata  ascii   output.c
867  0x0003424c 0x1003424c 14  15   .rdata  ascii   ch != _T('\0')
868  0x0003425c 0x1003425c 7   8    .rdata  ascii   _file.c
869  0x00034264 0x10034264 10  11   .rdata  ascii   _freebuf.c
870  0x00034270 0x10034270 7   8    .rdata  ascii   _open.c
871  0x00034278 0x10034278 16  17   .rdata  ascii   filename != NULL
872  0x0003428c 0x1003428c 8   9    .rdata  ascii   stream.c
873  0x00034298 0x10034298 10  11   .rdata  ascii   tidtable.c
874  0x000342a4 0x100342a4 8   9    .rdata  ascii   ioinit.c
875  0x000342b0 0x100342b0 9   10   .rdata  ascii   stdenvp.c
876  0x000342bc 0x100342bc 9   10   .rdata  ascii   stdargv.c
877  0x000342c8 0x100342c8 7   8    .rdata  ascii   a_env.c
878  0x000342d0 0x100342d0 22  23   .rdata  ascii   __GLOBAL_HEAP_SELECTED
879  0x000342e8 0x100342e8 20  21   .rdata  ascii   __MSVCRT_HEAP_SELECT
880  0x00034300 0x10034300 14  15   .rdata  ascii   runtime error 
881  0x00034314 0x10034314 13  14   .rdata  ascii   TLOSS error\r\n
882  0x00034324 0x10034324 12  13   .rdata  ascii   SING error\r\n
883  0x00034334 0x10034334 14  15   .rdata  ascii   DOMAIN error\r\n
884  0x00034344 0x10034344 36  37   .rdata  ascii   R6028\r\n- unable to initialize heap\r\n
885  0x0003436c 0x1003436c 52  53   .rdata  ascii   R6027\r\n- not enough space for lowio initialization\r\n
886  0x000343a4 0x100343a4 52  53   .rdata  ascii   R6026\r\n- not enough space for stdio initialization\r\n
887  0x000343dc 0x100343dc 37  38   .rdata  ascii   R6025\r\n- pure virtual function call\r\n
888  0x00034404 0x10034404 52  53   .rdata  ascii   R6024\r\n- not enough space for _onexit/atexit table\r\n
889  0x0003443c 0x1003443c 40  41   .rdata  ascii   R6019\r\n- unable to open console device\r\n
890  0x00034468 0x10034468 32  33   .rdata  ascii   R6018\r\n- unexpected heap error\r\n
891  0x0003448c 0x1003448c 44  45   .rdata  ascii   R6017\r\n- unexpected multithread lock error\r\n
892  0x000344bc 0x100344bc 43  44   .rdata  ascii   R6016\r\n- not enough space for thread data\r\n
893  0x000344e8 0x100344e8 32  33   .rdata  ascii   \r\nabnormal program termination\r\n
894  0x0003450c 0x1003450c 43  44   .rdata  ascii   R6009\r\n- not enough space for environment\r\n
895  0x00034538 0x10034538 41  42   .rdata  ascii   R6008\r\n- not enough space for arguments\r\n
896  0x00034564 0x10034564 36  37   .rdata  ascii   R6002\r\n- floating point not loaded\r\n
897  0x0003458c 0x1003458c 36  37   .rdata  ascii   Microsoft Visual C++ Runtime Library
898  0x000345b4 0x100345b4 25  26   .rdata  ascii   Runtime Error!\n\nProgram: 
899  0x00034648 0x10034648 9   10   .rdata  ascii   _getbuf.c
900  0x00034654 0x10034654 9   10   .rdata  ascii   osfinfo.c
901  0x00034674 0x10034674 7   8    .rdata  ascii   LC_TIME
902  0x0003467c 0x1003467c 10  11   .rdata  ascii   LC_NUMERIC
903  0x00034688 0x10034688 11  12   .rdata  ascii   LC_MONETARY
904  0x00034694 0x10034694 8   9    .rdata  ascii   LC_CTYPE
905  0x000346a0 0x100346a0 10  11   .rdata  ascii   LC_COLLATE
906  0x000346ac 0x100346ac 6   7    .rdata  ascii   LC_ALL
907  0x000346b8 0x100346b8 10  11   .rdata  ascii   setlocal.c
908  0x000346d4 0x100346d4 8   9    .rdata  ascii   chsize.c
909  0x000346e0 0x100346e0 9   10   .rdata  ascii   size >= 0
910  0x00034708 0x10034708 10  11   .rdata  ascii   inittime.c
911  0x00034714 0x10034714 9   10   .rdata  ascii   initnum.c
912  0x00034720 0x10034720 9   10   .rdata  ascii   initmon.c
913  0x0003472c 0x1003472c 10  11   .rdata  ascii   initctyp.c
914  0x00034738 0x10034738 8   9    .rdata  ascii   Paraguay
915  0x00034744 0x10034744 7   8    .rdata  ascii   Uruguay
916  0x0003474c 0x1003474c 5   6    .rdata  ascii   Chile
917  0x00034754 0x10034754 7   8    .rdata  ascii   Ecuador
918  0x0003475c 0x1003475c 9   10   .rdata  ascii   Argentina
919  0x00034768 0x10034768 4   5    .rdata  ascii   Peru
920  0x00034770 0x10034770 8   9    .rdata  ascii   Colombia
921  0x0003477c 0x1003477c 9   10   .rdata  ascii   Venezuela
922  0x00034788 0x10034788 18  19   .rdata  ascii   Dominican Republic
923  0x0003479c 0x1003479c 12  13   .rdata  ascii   South Africa
924  0x000347ac 0x100347ac 6   7    .rdata  ascii   Panama
925  0x000347b4 0x100347b4 10  11   .rdata  ascii   Luxembourg
926  0x000347c0 0x100347c0 10  11   .rdata  ascii   Costa Rica
927  0x000347cc 0x100347cc 11  12   .rdata  ascii   Switzerland
928  0x000347d8 0x100347d8 9   10   .rdata  ascii   Guatemala
929  0x000347e4 0x100347e4 6   7    .rdata  ascii   Canada
930  0x000347ec 0x100347ec 21  22   .rdata  ascii   Spanish - Modern Sort
931  0x00034804 0x10034804 9   10   .rdata  ascii   Australia
932  0x00034810 0x10034810 7   8    .rdata  ascii   English
933  0x00034818 0x10034818 7   8    .rdata  ascii   Austria
934  0x00034820 0x10034820 6   7    .rdata  ascii   German
935  0x00034828 0x10034828 7   8    .rdata  ascii   Belgium
936  0x00034830 0x10034830 6   7    .rdata  ascii   Mexico
937  0x00034838 0x10034838 7   8    .rdata  ascii   Spanish
938  0x00034840 0x10034840 6   7    .rdata  ascii   Basque
939  0x00034848 0x10034848 6   7    .rdata  ascii   Sweden
940  0x00034850 0x10034850 7   8    .rdata  ascii   Swedish
941  0x00034858 0x10034858 7   8    .rdata  ascii   Iceland
942  0x00034860 0x10034860 9   10   .rdata  ascii   Icelandic
943  0x0003486c 0x1003486c 6   7    .rdata  ascii   France
944  0x00034874 0x10034874 6   7    .rdata  ascii   French
945  0x0003487c 0x1003487c 7   8    .rdata  ascii   Finland
946  0x00034884 0x10034884 7   8    .rdata  ascii   Finnish
947  0x0003488c 0x1003488c 5   6    .rdata  ascii   Spain
948  0x00034894 0x10034894 26  27   .rdata  ascii   Spanish - Traditional Sort
949  0x000348b0 0x100348b0 13  14   .rdata  ascii   united-states
950  0x000348c0 0x100348c0 14  15   .rdata  ascii   united-kingdom
951  0x000348d0 0x100348d0 17  18   .rdata  ascii   trinidad & tobago
952  0x000348e4 0x100348e4 11  12   .rdata  ascii   south-korea
953  0x000348f0 0x100348f0 12  13   .rdata  ascii   south-africa
954  0x00034900 0x10034900 11  12   .rdata  ascii   south korea
955  0x0003490c 0x1003490c 12  13   .rdata  ascii   south africa
956  0x0003491c 0x1003491c 6   7    .rdata  ascii   slovak
957  0x00034924 0x10034924 11  12   .rdata  ascii   puerto-rico
958  0x00034930 0x10034930 8   9    .rdata  ascii   pr-china
959  0x0003493c 0x1003493c 8   9    .rdata  ascii   pr china
960  0x0003494c 0x1003494c 11  12   .rdata  ascii   new-zealand
961  0x00034958 0x10034958 9   10   .rdata  ascii   hong-kong
962  0x00034964 0x10034964 7   8    .rdata  ascii   holland
963  0x0003496c 0x1003496c 13  14   .rdata  ascii   great britain
964  0x0003497c 0x1003497c 7   8    .rdata  ascii   england
965  0x00034984 0x10034984 5   6    .rdata  ascii   czech
966  0x0003498c 0x1003498c 5   6    .rdata  ascii   china
967  0x00034994 0x10034994 7   8    .rdata  ascii   britain
968  0x0003499c 0x1003499c 7   8    .rdata  ascii   america
969  0x000349b0 0x100349b0 5   6    .rdata  ascii   swiss
970  0x000349b8 0x100349b8 15  16   .rdata  ascii   swedish-finland
971  0x000349c8 0x100349c8 17  18   .rdata  ascii   spanish-venezuela
972  0x000349dc 0x100349dc 15  16   .rdata  ascii   spanish-uruguay
973  0x000349ec 0x100349ec 19  20   .rdata  ascii   spanish-puerto rico
974  0x00034a00 0x10034a00 12  13   .rdata  ascii   spanish-peru
975  0x00034a10 0x10034a10 16  17   .rdata  ascii   spanish-paraguay
976  0x00034a24 0x10034a24 14  15   .rdata  ascii   spanish-panama
977  0x00034a34 0x10034a34 17  18   .rdata  ascii   spanish-nicaragua
978  0x00034a48 0x10034a48 14  15   .rdata  ascii   spanish-modern
979  0x00034a58 0x10034a58 15  16   .rdata  ascii   spanish-mexican
980  0x00034a68 0x10034a68 16  17   .rdata  ascii   spanish-honduras
981  0x00034a7c 0x10034a7c 17  18   .rdata  ascii   spanish-guatemala
982  0x00034a90 0x10034a90 19  20   .rdata  ascii   spanish-el salvador
983  0x00034aa4 0x10034aa4 15  16   .rdata  ascii   spanish-ecuador
984  0x00034ab4 0x10034ab4 26  27   .rdata  ascii   spanish-dominican republic
985  0x00034ad0 0x10034ad0 18  19   .rdata  ascii   spanish-costa rica
986  0x00034ae4 0x10034ae4 16  17   .rdata  ascii   spanish-colombia
987  0x00034af8 0x10034af8 13  14   .rdata  ascii   spanish-chile
988  0x00034b08 0x10034b08 15  16   .rdata  ascii   spanish-bolivia
989  0x00034b18 0x10034b18 17  18   .rdata  ascii   spanish-argentina
990  0x00034b2c 0x10034b2c 20  21   .rdata  ascii   portuguese-brazilian
991  0x00034b44 0x10034b44 17  18   .rdata  ascii   norwegian-nynorsk
992  0x00034b58 0x10034b58 16  17   .rdata  ascii   norwegian-bokmal
993  0x00034b6c 0x10034b6c 9   10   .rdata  ascii   norwegian
994  0x00034b78 0x10034b78 13  14   .rdata  ascii   italian-swiss
995  0x00034b88 0x10034b88 13  14   .rdata  ascii   irish-english
996  0x00034b98 0x10034b98 12  13   .rdata  ascii   german-swiss
997  0x00034ba8 0x10034ba8 17  18   .rdata  ascii   german-luxembourg
998  0x00034bbc 0x10034bbc 19  20   .rdata  ascii   german-lichtenstein
999  0x00034bd0 0x10034bd0 15  16   .rdata  ascii   german-austrian
1000 0x00034be0 0x10034be0 12  13   .rdata  ascii   french-swiss
1001 0x00034bf0 0x10034bf0 17  18   .rdata  ascii   french-luxembourg
1002 0x00034c04 0x10034c04 15  16   .rdata  ascii   french-canadian
1003 0x00034c14 0x10034c14 14  15   .rdata  ascii   french-belgian
1004 0x00034c24 0x10034c24 11  12   .rdata  ascii   english-usa
1005 0x00034c30 0x10034c30 10  11   .rdata  ascii   english-us
1006 0x00034c3c 0x10034c3c 10  11   .rdata  ascii   english-uk
1007 0x00034c48 0x10034c48 25  26   .rdata  ascii   english-trinidad y tobago
1008 0x00034c64 0x10034c64 20  21   .rdata  ascii   english-south africa
1009 0x00034c7c 0x10034c7c 10  11   .rdata  ascii   english-nz
1010 0x00034c88 0x10034c88 15  16   .rdata  ascii   english-jamaica
1011 0x00034c98 0x10034c98 11  12   .rdata  ascii   english-ire
1012 0x00034ca4 0x10034ca4 17  18   .rdata  ascii   english-caribbean
1013 0x00034cb8 0x10034cb8 11  12   .rdata  ascii   english-can
1014 0x00034cc4 0x10034cc4 14  15   .rdata  ascii   english-belize
1015 0x00034cd4 0x10034cd4 11  12   .rdata  ascii   english-aus
1016 0x00034ce0 0x10034ce0 16  17   .rdata  ascii   english-american
1017 0x00034cf4 0x10034cf4 13  14   .rdata  ascii   dutch-belgian
1018 0x00034d04 0x10034d04 19  20   .rdata  ascii   chinese-traditional
1019 0x00034d18 0x10034d18 17  18   .rdata  ascii   chinese-singapore
1020 0x00034d2c 0x10034d2c 18  19   .rdata  ascii   chinese-simplified
1021 0x00034d40 0x10034d40 16  17   .rdata  ascii   chinese-hongkong
1022 0x00034d54 0x10034d54 7   8    .rdata  ascii   chinese
1023 0x00034d64 0x10034d64 8   9    .rdata  ascii   canadian
1024 0x00034d70 0x10034d70 7   8    .rdata  ascii   belgian
1025 0x00034d78 0x10034d78 10  11   .rdata  ascii   australian
1026 0x00034d84 0x10034d84 16  17   .rdata  ascii   american-english
1027 0x00034d98 0x10034d98 16  17   .rdata  ascii   american english
1028 0x00034dac 0x10034dac 8   9    .rdata  ascii   american
1029 0x00034dc0 0x10034dc0 7   8    .rdata  ascii   H:mm:ss
1030 0x00034dc8 0x10034dc8 19  20   .rdata  ascii   dddd, MMMM dd, yyyy
1031 0x00034ddc 0x10034ddc 6   7    .rdata  ascii   M/d/yy
