[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
315  0x00016bac 0x004177ac 4   5    .text   ascii   h`*I
316  0x00016c64 0x00417864 4   5    .text   ascii   \b\b\t\t
317  0x00016d33 0x00417933 7   11   .text   utf8    \n\t3\bEꍍT blocks=Basic Latin,Yi Syllables
318  0x00016df5 0x004179f5 4   5    .text   ascii   h@*I
319  0x00016fb6 0x00417bb6 4   5    .text   ascii   hT*I
320  0x00016fce 0x00417bce 4   5    .text   ascii   h`*I
321  0x0001716a 0x00417d6a 7   11   .text   utf8    \r\n3\bE荍T blocks=Basic Latin,CJK Unified Ideographs
322  0x0001722c 0x00417e2c 4   5    .text   ascii   hD*I
323  0x00017330 0x00417f30 4   5    .text   ascii   \v\v\a\b
324  0x000173e9 0x00417fe9 4   5    .text   ascii   \f\t\b\v
325  0x000173f5 0x00417ff5 4   5    .text   ascii   \v\ah/
326  0x0001747d 0x0041807d 4   5    .text   ascii   h0*I
327  0x000174e9 0x004180e9 4   5    .text   ascii   h4*I
328  0x000176a8 0x004182a8 4   5    .text   ascii   \t\b\t\b
329  0x000176e4 0x004182e4 6   8    .text   utf8    \t\b\b3\bE
330  0x000176ec 0x004182ec 4   8    .text   utf8    3\bE卍 blocks=Basic Latin,CJK Unified Ideographs
331  0x00017772 0x00418372 5   6    .text   ascii   "hh*I
332  0x0001789c 0x0041849c 4   5    .text   ascii   \b\t\f\n
333  0x000178cd 0x004184cd 4   5    .text   ascii   \a\f\a\t
334  0x00017955 0x00418555 4   5    .text   ascii   \r\t\b\a
335  0x00017986 0x00418586 4   5    .text   ascii   \t\r\b\v
336  0x00017baf 0x004187af 4   5    .text   ascii   ~@h,
337  0x00017d9f 0x0041899f 4   5    .text   ascii   ~@h\b
338  0x00017e47 0x00418a47 4   5    .text   ascii   ~@hl
339  0x00017ef7 0x00418af7 4   5    .text   ascii   ~@h0
340  0x0001803d 0x00418c3d 4   5    .text   ascii   \r\n\n\v
341  0x00018114 0x00418d14 4   5    .text   ascii   \v\f\v\f
342  0x00018606 0x00419206 6   7    .text   ascii   \v\f\f\nh/
343  0x00018683 0x00419283 4   5    .text   ascii   \a\t\n\n
344  0x000186d1 0x004192d1 4   5    .text   ascii   \f\v\a\b
345  0x00018743 0x00419343 4   6    .text   utf8    \a3\bE
346  0x0001877b 0x0041937b 4   5    .text   ascii   \r\n\b\t
347  0x000187e7 0x004193e7 4   5    .text   ascii   \f\v\n\b
348  0x00018886 0x00419486 4   6    .text   utf8    \v3\bE
349  0x0001895d 0x0041955d 5   6    .text   ascii   \th@*I
350  0x00018ac6 0x004196c6 4   5    .text   ascii   \t\t\f\f
351  0x00018adb 0x004196db 6   8    .text   utf8    \t\a\a3\bE
352  0x00018bfc 0x004197fc 5   6    .text   ascii   \fh@*I
353  0x00018d7b 0x0041997b 5   7    .text   utf8    \r\b3\bE
354  0x00018e9c 0x00419a9c 4   5    .text   ascii   h@*I
355  0x00018f24 0x00419b24 4   5    .text   ascii   \t\f\t\f
356  0x00019077 0x00419c77 5   8    .text   utf8    3\bEߍM blocks=Basic Latin,NKo
357  0x00019165 0x00419d65 4   5    .text   ascii   hD*I
358  0x000192cd 0x00419ecd 4   5    .text   ascii   \t\b\n\t
