[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
381  0x0000668d 0x1000728d 4   5    .text   ascii   L$HL
382  0x00006692 0x10007292 4   5    .text   ascii   D$pH
383  0x00006697 0x10007297 4   5    .text   ascii   T$8H
384  0x000066a6 0x100072a6 4   5    .text   ascii   T$8H
385  0x000066c6 0x100072c6 4   5    .text   ascii   T$0H
386  0x00006768 0x10007368 9   10   .text   ascii   @SVWATAUH
387  0x00006790 0x10007390 4   5    .text   ascii   T$(H
388  0x000067a0 0x100073a0 4   6    .text   utf8    ؉D$$ blocks=Arabic,Basic Latin
389  0x000067cc 0x100073cc 4   6    .text   utf8    t/3ۅ blocks=Basic Latin,Arabic
390  0x000067e7 0x100073e7 4   5    .text   ascii   T$(3
391  0x00006802 0x10007402 8   9    .text   ascii   0A]A\_^[
392  0x00006818 0x10007418 5   6    .text   ascii   @SUWH
393  0x0000685b 0x1000745b 4   5    .text   ascii    _][
394  0x00006860 0x10007460 4   5    .text   ascii   @SWH
395  0x000068c0 0x100074c0 6   7    .text   ascii   @SUVWH
396  0x000069aa 0x100075aa 5   6    .text   ascii   (_^][
397  0x000069b0 0x100075b0 12  13   .text   ascii   @SUVWATAUAWH
398  0x000069e9 0x100075e9 4   5    .text   ascii   T$(3
399  0x000069f3 0x100075f3 6   7    .text   ascii   H;D$(L
400  0x00006a0f 0x1000760f 4   5    .text   ascii   T$ I
401  0x00006a17 0x10007617 4   6    .text   utf8    ݉l$  blocks=Syriac,Basic Latin
402  0x00006a2d 0x1000762d 5   6    .text   ascii   9D$ u
403  0x00006a36 0x10007636 4   6    .text   utf8    E3:v
404  0x00006a68 0x10007668 4   5    .text   ascii   +t\tA
405  0x00006a98 0x10007698 6   7    .text   ascii   L$0t\fH
406  0x00006ab1 0x100076b1 4   5    .text   ascii   T$0H
