[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1375 0x0000ca5b 0x0042d65b 4   5    UPX1    ascii   @ked
1376 0x0000ca74 0x0042d674 6   7    UPX1    ascii   Addr#&
1377 0x0000ca7b 0x0042d67b 4   6    UPX1    utf8    ߆P1; blocks=NKo,Basic Latin
1378 0x0000ca81 0x0042d681 8   9    UPX1    ascii   RtlUnwhd
1379 0x0000ca97 0x0042d697 6   7    UPX1    ascii   RaisJb
1380 0x0000cac6 0x0042d6c6 10  11   UPX1    ascii   loINInbVal
1381 0x0000cad7 0x0042d6d7 10  11   UPX1    ascii   ag:A?\aOEMp
1382 0x0000caf1 0x0042d6f1 4   5    UPX1    ascii   _T?I
1383 0x0000caf9 0x0042d6f9 5   6    UPX1    ascii   _EeCY
1384 0x0000caff 0x0042d6ff 4   5    UPX1    ascii   W.1e
1385 0x0000cb22 0x0042d722 5   6    UPX1    ascii   lt=Xh
1386 0x0000cb37 0x0042d737 4   6    UPX1    utf8    s/\tA
1387 0x0000cb41 0x0042d741 6   8    UPX1    utf8    \fS%cٌj blocks=Basic Latin,Arabic
1388 0x0000cb5b 0x0042d75b 6   7    UPX1    ascii   p$W#!M
1389 0x0000cb6a 0x0042d76a 4   5    UPX1    ascii   C.zW
1390 0x0000cc03 0x0042d803 4   5    UPX1    ascii   46$\b
1391 0x0000cc0b 0x0042d80b 4   5    UPX1    ascii   \b'\n9
1392 0x0000cc1c 0x0042d81c 4   5    UPX1    ascii   8I&\r
1393 0x0000cc24 0x0042d824 4   5    UPX1    ascii   I.&\e
1394 0x0000cc5c 0x0042d85c 4   5    UPX1    ascii   \a0\n\r
1395 0x0000cc71 0x0042d871 4   5    UPX1    ascii   \e &\a
1396 0x0000cc7c 0x0042d87c 7   8    UPX1    ascii   lo_.&\b\r
1397 0x0000cca4 0x0042d8a4 4   5    UPX1    ascii   \b)+'
1398 0x0000ccac 0x0042d8ac 9   10   UPX1    ascii   )\v vw{{\bZ
1399 0x0000ccba 0x0042d8ba 5   6    UPX1    ascii   #\f&\v!
1400 0x0000ccd1 0x0042d8d1 5   6    UPX1    ascii   j53C[
1401 0x0000cce3 0x0042d8e3 4   5    UPX1    ascii   -@J*
1402 0x0000ccf4 0x0042d8f4 5   6    UPX1    ascii   \eP>:\n
1403 0x0000cd0b 0x0042d90b 10  11   UPX1    ascii   GA7:>A+\r!A
1404 0x0000cd22 0x0042d922 8   9    UPX1    ascii   )&2\n&\t\t=
1405 0x0000cd37 0x0042d937 5   6    UPX1    ascii   /`SgO
1406 0x0000cd3d 0x0042d93d 4   5    UPX1    ascii   >[\aN
1407 0x0000cd45 0x0042d945 4   5    UPX1    ascii   `,wG
1408 0x0000cd50 0x0042d950 5   6    UPX1    ascii   7\a484
1409 0x0000cd62 0x0042d962 8   9    UPX1    ascii   '-9)\n\u\v
1410 0x0000cd75 0x0042d975 4   5    UPX1    ascii   \nB#'
1411 0x0000cd7b 0x0042d97b 4   5    UPX1    ascii   \e\f\n\f
1412 0x0000cd9d 0x0042d99d 4   5    UPX1    ascii   %1\t}
1413 0x0000cdd2 0x0042d9d2 4   5    UPX1    ascii   f\v\e\a
1414 0x0000cdf4 0x0042d9f4 4   5    UPX1    ascii   \f D\b
1415 0x0000ce38 0x0042da38 4   5    UPX1    ascii   Ca1%
1416 0x0000ce4a 0x0042da4a 5   6    UPX1    ascii   0\b\f"w
1417 0x0000ce65 0x0042da65 4   5    UPX1    ascii   OL\a_
1418 0x0000ceb9 0x0042dab9 4   5    UPX1    ascii   3jCH
1419 0x0000cec7 0x0042dac7 6   8    UPX1    utf8    ִ\r%S:\e blocks=Hebrew,Basic Latin
1420 0x0000ced5 0x0042dad5 4   5    UPX1    ascii   \t\n!{
1421 0x0000cee9 0x0042dae9 5   6    UPX1    ascii   \a'+:6
1422 0x0000cefb 0x0042dafb 5   6    UPX1    ascii   %\n8\ba
1423 0x0000cf2c 0x0042db2c 7   8    UPX1    ascii   \t\f\v%3F.
1424 0x0000cf5a 0x0042db5a 4   6    UPX1    utf8    o\ض@ blocks=Basic Latin,Arabic
1425 0x0000cf67 0x0042db67 4   6    UPX1    utf8    \f\r\bߕ blocks=Basic Latin,NKo
1426 0x0000cfb8 0x0042dbb8 4   5    UPX1    ascii   3-44
1427 0x0000cfbe 0x0042dbbe 4   5    UPX1    ascii   #&P9
1428 0x0000cfc5 0x0042dbc5 4   5    UPX1    ascii   9u2c
1429 0x0000cfd1 0x0042dbd1 5   6    UPX1    ascii   9\nD\ts
1430 0x0000cfe0 0x0042dbe0 4   5    UPX1    ascii   \t\r/\b
1431 0x0000cfee 0x0042dbee 7   8    UPX1    ascii   #YW+l=\f
1432 0x0000d01b 0x0042dc1b 4   5    UPX1    ascii   6$-W
1433 0x0000d02d 0x0042dc2d 4   5    UPX1    ascii   )\tS\t
1434 0x0000d03c 0x0042dc3c 4   5    UPX1    ascii   J\t(S
1435 0x0000d073 0x0042dc73 5   6    UPX1    ascii   "Sbs\v
1436 0x0000d08d 0x0042dc8d 4   5    UPX1    ascii   '!\f'
1437 0x0000d0c2 0x0042dcc2 4   5    UPX1    ascii   eohU
1438 0x0000d0cb 0x0042dccb 4   5    UPX1    ascii   @!a5
1439 0x0000d0eb 0x0042dceb 5   7    UPX1    utf8    \e̕t<< blocks=Basic Latin,Combining Diacritical Marks
1440 0x0000d148 0x0042dd48 4   5    UPX1    ascii   $\f\b,
1441 0x0000d152 0x0042dd52 5   6    UPX1    ascii   !\ns;"
1442 0x0000d19d 0x0042dd9d 4   5    UPX1    ascii   <W`|
1443 0x0000d1a8 0x0042dda8 7   8    UPX1    ascii   u\fuE\a!(
1444 0x0000d24f 0x0042de4f 5   6    UPX1    ascii   Xw@.&
1445 0x0000d25d 0x0042de5d 4   5    UPX1    ascii   p6{x
1446 0x0000d263 0x0042de63 6   7    UPX1    ascii   Osrc&-
1447 0x0000d272 0x0042de72 5   6    UPX1    ascii   c4Ms3
1448 0x0000d349 0x0042df49 4   5    UPX1    ascii   \aGIu
1449 0x0000d3ec 0x0042dfec 5   7    UPX1    utf8    1\n\aG\t
1450 0x0000d43d 0x0042e03d 6   7    UPX1    ascii   XPTPSW
1451 0x0000d95a 0x0042f35a 6   14   .rsrc   utf16le BINARY
1452 0x0000d9ff 0x0042f3ff 10  11   .rsrc   ascii   wwwwwwwwww
1453 0x0000da0f 0x0042f40f 10  11   .rsrc   ascii   wwwwwwwwww
1454 0x0000da1f 0x0042f41f 10  11   .rsrc   ascii   wwwwwwwwww
1455 0x0000da8f 0x0042f48f 10  11   .rsrc   ascii   wwwwwwwwww
1456 0x0000da9f 0x0042f49f 10  11   .rsrc   ascii   wwwwwwwwww
1457 0x0000daaf 0x0042f4af 10  11   .rsrc   ascii   wwwwwwwwww
1458 0x0000db1f 0x0042f51f 10  11   .rsrc   ascii   wwwwwwwwww
1459 0x0000db2f 0x0042f52f 10  11   .rsrc   ascii   wwwwwwwwww
1460 0x0000db3f 0x0042f53f 10  11   .rsrc   ascii   wwwwwwwwww
1461 0x0000db51 0x0042f551 6   7    .rsrc   ascii   wwwwww
1462 0x0000db60 0x0042f560 8   9    .rsrc   ascii   wwwwwwww
1463 0x0000db70 0x0042f570 9   10   .rsrc   ascii   wwwwwwwwx
1464 0x0000db7f 0x0042f57f 5   6    .rsrc   ascii   wwwwx
1465 0x0000db85 0x0042f585 4   5    .rsrc   ascii   wwww
1466 0x0000db8f 0x0042f58f 4   5    .rsrc   ascii   wwww
1467 0x0000db95 0x0042f595 4   5    .rsrc   ascii   wwww
1468 0x0000e534 0x0042ff34 381 382  .rsrc   ascii   <?xml version='1.0' encoding='UTF-8' standalone='yes'?>\r\n<assembly xmlns='urn:schemas-microsoft-com:asm.v1' manifestVersion='1.0'>\r\n  <trustInfo xmlns="urn:schemas-microsoft-com:asm.v3">\r\n    <security>\r\n      <requestedPrivileges>\r\n        <requestedExecutionLevel level='asInvoker' uiAccess='false' />\r\n      </requestedPrivileges>\r\n    </security>\r\n  </trustInfo>\r\n</assembly>\r\n
1469 0x0000e77c 0x0043017c 12  13   .rsrc   ascii   ADVAPI32.dll
1470 0x0000e789 0x00430189 12  13   .rsrc   ascii   KERNEL32.DLL
1471 0x0000e796 0x00430196 11  12   .rsrc   ascii   SHELL32.dll
1472 0x0000e7a2 0x004301a2 11  12   .rsrc   ascii   SHLWAPI.dll
1473 0x0000e7ae 0x004301ae 10  11   .rsrc   ascii   USER32.dll
1474 0x0000e7b9 0x004301b9 11  12   .rsrc   ascii   VERSION.dll
1475 0x0000e7c8 0x004301c8 12  13   .rsrc   ascii   GetUserNameA
1476 0x0000e7d6 0x004301d6 11  12   .rsrc   ascii   ExitProcess
1477 0x0000e7e4 0x004301e4 14  15   .rsrc   ascii   GetProcAddress
1478 0x0000e7f4 0x004301f4 12  13   .rsrc   ascii   LoadLibraryA
1479 0x0000e802 0x00430202 14  15   .rsrc   ascii   VirtualProtect
1480 0x0000e812 0x00430212 23  24   .rsrc   ascii   SHGetSpecialFolderPathA
1481 0x0000e82c 0x0043022c 8   9    .rsrc   ascii   StrStrIA
1482 0x0000e836 0x00430236 9   10   .rsrc   ascii   wsprintfA
1483 0x0000e842 0x00430242 14  15   .rsrc   ascii   VerQueryValueA
1484 0x0000ea22 0x00430422 4   5            ascii   1\v0\t
1485 0x0000ea3e 0x0043043e 4   5            ascii   >0<0
1486 0x0000ea5a 0x0043045a 4   5            ascii   0!0\t
1487 0x0000eaaf 0x004304af 6   7            ascii   0L1\v0\t
1488 0x0000eac8 0x004304c8 17  18           ascii   \fthawte, Inc.1&0$
1489 0x0000eae0 0x004304e0 30  31           ascii   thawte SHA256 Code Signing CA0
1490 0x0000eb00 0x00430500 14  15           ascii   \r150428000000Z
1491 0x0000eb0f 0x0043050f 20  21           ascii   \r170626235959Z0`1\v0\t
1492 0x0000eb37 0x00430537 6   7            ascii   Daegu1
1493 0x0000eb47 0x00430547 7   8            ascii   Nam-gu1
1494 0x0000eb58 0x00430558 15  16           ascii   EGIS Co., Ltd.1
1495 0x0000eb71 0x00430571 15  16           ascii   EGIS Co., Ltd.0
1496 0x0000ebea 0x004305ea 5   6            ascii   C9I\tO
1497 0x0000ec22 0x00430622 5   6            ascii   _qRz4
1498 0x0000ec28 0x00430628 6   7            ascii   ~>_e9,
1499 0x0000ed00 0x00430700 5   6            ascii   $0"0 
1500 0x0000ed0b 0x0043070b 27  28           ascii   http://tl.symcb.com/tl.crl0
1501 0x0000ed52 0x00430752 5   6            ascii   l0j0h
1502 0x0000ed64 0x00430764 4   5            ascii   0Y0&
1503 0x0000ed74 0x00430774 28  29           ascii   https://www.thawte.com/cps0/
1504 0x0000ed9a 0x0043079a 38  39           ascii   0#\f!https://www.thawte.com/repository0
1505 0x0000edeb 0x004307eb 4   5            ascii   K0I0
1506 0x0000edfc 0x004307fc 21  22           ascii   http://tl.symcd.com0&
1507 0x0000ee1d 0x0043081d 27  28           ascii   http://tl.symcb.com/tl.crt0
1508 0x0000eea4 0x004308a4 5   7            utf8    +qi]۠ blocks=Basic Latin,Arabic
1509 0x0000eeb0 0x004308b0 5   6            ascii   _vu\b9
1510 0x0000ef23 0x00430923 4   5            ascii   7n[o
1511 0x0000ef2d 0x0043092d 4   6            utf8    "<܍j blocks=Basic Latin,Syriac
1512 0x0000ef69 0x00430969 8   9            ascii   0`0L1\v0\t
1513 0x0000ef84 0x00430984 17  18           ascii   \fthawte, Inc.1&0$
1514 0x0000ef9c 0x0043099c 29  30           ascii   thawte SHA256 Code Signing CA
1515 0x0000f044 0x00430a44 5   6            ascii   \f1V0T
1516 0x0000f04c 0x00430a4c 26  53           utf16le 4Microsoft Defender Spywar
1517 0x0000f085 0x00430a85 26  27           ascii   http://www.egiskorea.com0\r
1518 0x0000f0b7 0x00430ab7 6   8            utf8    ^$ΦJ;K blocks=Basic Latin,Greek and Coptic
1519 0x0000f0f9 0x00430af9 4   5            ascii   x\nCp
1520 0x0000f10d 0x00430b0d 4   5            ascii   k%TW
1521 0x0000f123 0x00430b23 4   6            utf8    #ɨ/O blocks=Basic Latin,IPA Extensions
1522 0x0000f134 0x00430b34 4   5            ascii   \e1U4
1523 0x0000f13c 0x00430b3c 4   6            utf8    G\aW֤ blocks=Basic Latin,Hebrew
1524 0x0000f144 0x00430b44 5   8            utf8    ?H,Sⴿ blocks=Basic Latin,Tifinagh
1525 0x0000f1a2 0x00430ba2 4   5            ascii   <jlt

