[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
249  0x00004e73 0x00406873 5   9    .data   utf8    嚍8[˙1 blocks=CJK Unified Ideographs,Basic Latin,Spacing Modifier Letters
250  0x00004ecb 0x004068cb 7   9    .data   utf8    ZYl8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
251  0x00004ee8 0x004068e8 6   8    .data   utf8    Yh8Zߩ( blocks=Basic Latin,NKo
252  0x00004ef0 0x004068f0 4   5    .data   ascii   Yc8Y
253  0x00004f04 0x00406904 4   5    .data   ascii   YhrE
254  0x00004f5f 0x0040695f 5   6    .data   ascii   [Yi8Z
255  0x00004f90 0x00406990 6   8    .data   utf8    YI8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
256  0x00004fb8 0x004069b8 4   5    .data   ascii   Yi8Z
257  0x00004fdc 0x004069dc 4   5    .data   ascii   Yk8Z
258  0x00004ff1 0x004069f1 4   6    .data   utf8    `eɗ! blocks=Basic Latin,IPA Extensions
259  0x00005074 0x00406a74 6   8    .data   utf8    Yf8Zߙ) blocks=Basic Latin,NKo
260  0x00005088 0x00406a88 6   8    .data   utf8    Yo8ZЙ) blocks=Basic Latin,Cyrillic
261  0x000050a4 0x00406aa4 6   8    .data   utf8    Yi8Zٙ1 blocks=Basic Latin,Arabic
262  0x000050bc 0x00406abc 4   5    .data   ascii   Y]8Z
263  0x000050d2 0x00406ad2 4   6    .data   utf8    8\ĩ( blocks=Basic Latin,Latin Extended-A
264  0x000050d8 0x00406ad8 4   5    .data   ascii   Yg8Z
265  0x0000517b 0x00406b7b 7   9    .data   utf8    VYT8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
266  0x000051e0 0x00406be0 4   5    .data   ascii   YorM
267  0x00005234 0x00406c34 6   8    .data   utf8    Yq8[˙1 blocks=Basic Latin,Spacing Modifier Letters
268  0x00005242 0x00406c42 4   6    .data   utf8    8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
269  0x00005278 0x00406c78 4   5    .data   ascii   Yl8Z
270  0x00005281 0x00406c81 4   5    .data   ascii   !*S\e
271  0x00005497 0x00406e97 4   5    .data   ascii   m-/9
272  0x000054a8 0x00406ea8 4   5    .data   ascii   Qo9y
273  0x000054c8 0x00406ec8 6   7    .data   ascii   YmrM:Y
274  0x00005517 0x00406f17 4   6    .data   utf8    ӌi5^ blocks=Cyrillic,Basic Latin
275  0x0000556d 0x00406f6d 5   6    .data   ascii   !2zBO
276  0x00005639 0x00407039 5   6    .data   ascii   B3o-U
277  0x00005641 0x00407041 4   6    .data   utf8    B7eӪ blocks=Basic Latin,Cyrillic
278  0x0000573a 0x0040713a 5   7    .data   utf8    rZ:!̒ blocks=Basic Latin,Combining Diacritical Marks
279  0x00005741 0x00407141 5   6    .data   ascii   !1zFU
280  0x00005747 0x00407147 5   6    .data   ascii   mYr|R
281  0x000057bb 0x004071bb 4   5    .data   ascii   m-/9
282  0x00005811 0x00407211 4   5    .data   ascii   f5^Y
283  0x00005822 0x00407222 4   5    .data   ascii   rBQb
284  0x00005869 0x00407269 5   7    .data   utf8    f5^;\t
285  0x000058af 0x004072af 4   6    .data   utf8    m;Yʒ blocks=Basic Latin,IPA Extensions
286  0x000059ab 0x004073ab 5   6    .data   ascii   o-U|R
287  0x00005a5f 0x0040745f 7   8    .data   ascii   n-UrJWj
288  0x00005ad9 0x004074d9 5   6    .data   ascii   !1z.Q
289  0x00005ae4 0x004074e4 4   6    .data   utf8    ӥmS[ blocks=Cyrillic,Basic Latin
290  0x00005b24 0x00407524 4   6    .data   utf8    љ9Qj blocks=Cyrillic,Basic Latin
291  0x00005b2d 0x0040752d 5   6    .data   ascii   i5^QS
292  0x00005baf 0x004075af 4   5    .data   ascii   m-/9
293  0x00005bda 0x004075da 4   7    .data   utf8    rb:ᢓ blocks=Basic Latin,Mongolian
294  0x00005c00 0x00407600 4   5    .data   ascii   Yr|R
295  0x00005c8c 0x0040768c 4   5    .data   ascii   Yr|R
296  0x00005cbd 0x004076bd 4   6    .data   utf8    !wzҪ blocks=Basic Latin,Cyrillic
297  0x00005cea 0x004076ea 4   5    .data   ascii   r_:Q
298  0x00005d2f 0x0040772f 5   8    .data   utf8    Қ!\bڱ@ blocks=Cyrillic,Basic Latin,Arabic
299  0x00005d75 0x00407775 4   5    .data   ascii   !5zb
300  0x00005d8e 0x0040778e 4   5    .data   ascii   r^:=
301  0x00005e19 0x00407819 5   6    .data   ascii   erB:e
302  0x00005e9e 0x0040789e 4   5    .data   ascii   :^QS
303  0x00005ebc 0x004078bc 4   6    .data   utf8    љ9Qj blocks=Cyrillic,Basic Latin
304  0x00006048 0x00407a48 5   7    .data   utf8    Ҫr]:u blocks=Cyrillic,Basic Latin
305  0x0000604f 0x00407a4f 4   5    .data   ascii   m-/9
306  0x00006062 0x00407a62 5   6    .data   ascii   \am-/9
307  0x00006156 0x00407b56 4   6    .data   utf8    rW:ݡ blocks=Basic Latin,Arabic Supplement
308  0x000061c2 0x00407bc2 4   5    .data   ascii   rDYe
309  0x00006202 0x00407c02 4   5    .data   ascii   rDYe
310  0x00006210 0x00407c10 4   5    .data   ascii   Yr|R
311  0x0000626c 0x00407c6c 4   5    .data   ascii   Yor]
312  0x000062e7 0x00407ce7 4   6    .data   utf8    ωi5^ blocks=Greek and Coptic,Basic Latin
313  0x00006311 0x00407d11 4   5    .data   ascii   )>j-
314  0x00006360 0x00407d60 4   5    .data   ascii   9f5^
315  0x00006386 0x00407d86 4   5    .data   ascii   zQ*U
316  0x000063e5 0x00407de5 4   5    .data   ascii   UykR
317  0x000063ec 0x00407dec 5   6    .data   ascii   dsre9
318  0x0000641d 0x00407e1d 7   8    .data   ascii   )2mYl8q
319  0x000064a4 0x00407ea4 5   8    .data   utf8    Ҫzhڥv blocks=Cyrillic,Basic Latin,Arabic
320  0x000064ec 0x00407eec 4   5    .data   ascii   YmrA
321  0x00006517 0x00407f17 4   5    .data   ascii   J-jp
322  0x00006617 0x00408017 4   5    .data   ascii   l-Ur
323  0x00006649 0x00408049 4   5    .data   ascii   !6zV
324  0x00006658 0x00408058 4   5    .data   ascii   YmrA
325  0x00006688 0x00408088 4   5    .data   ascii   YmrA
326  0x000066c4 0x004080c4 6   8    .data   utf8    Y`z{ۥ} blocks=Basic Latin,Arabic
327  0x000066df 0x004080df 5   7    .data   utf8    m\eއm\e blocks=Basic Latin,Thaana
328  0x000066e7 0x004080e7 5   7    .data   utf8    m\eޖm\e blocks=Basic Latin,Thaana
329  0x00006707 0x00408107 5   6    .data   ascii   l-Uzh
330  0x00006718 0x00408118 4   6    .data   utf8    RSɝW blocks=Basic Latin,IPA Extensions
331  0x0000671e 0x0040811e 4   5    .data   ascii   \am-m
332  0x0000673b 0x0040813b 5   6    .data   ascii   n-U|R
333  0x00006741 0x00408141 6   7    .data   ascii   /Do-Ur
334  0x00006783 0x00408183 4   5    .data   ascii   m-!7
335  0x0000679e 0x0040819e 4   5    .data   ascii   rUYy
336  0x000067da 0x004081da 4   5    .data   ascii   rUYy
337  0x00006835 0x00408235 5   6    .data   ascii   rCm-U
338  0x0000691d 0x0040831d 4   6    .data   utf8    U8ڹj blocks=Basic Latin,Arabic
339  0x0000695a 0x0040835a 4   5    .data   ascii   r]:!
340  0x00006996 0x00408396 4   5    .data   ascii   rrYp
341  0x000069e8 0x004083e8 4   5    .data   ascii   Yr|R
342  0x00006a2c 0x0040842c 4   5    .data   ascii   Yr|R
343  0x00006a4c 0x0040844c 4   5    .data   ascii   Yr|R
344  0x00006a68 0x00408468 4   5    .data   ascii   Yr|R
345  0x00006aa0 0x004084a0 5   7    .data   utf8    ֪rJWj blocks=Hebrew,Basic Latin
346  0x00006ad0 0x004084d0 4   5    .data   ascii   Yr|R
347  0x00006b4f 0x0040854f 4   5    .data   ascii   m-!:
348  0x00006bb2 0x004085b2 4   6    .data   utf8    zkѥu blocks=Basic Latin,Cyrillic
349  0x00006bc8 0x004085c8 10  12   .data   utf8    ҪrX:e\vm-/9 blocks=Cyrillic,Basic Latin
350  0x00006bfb 0x004085fb 4   5    .data   ascii   m-/9
351  0x00006c08 0x00408608 6   9    .data   utf8    "!/mǱƖ blocks=Basic Latin,Latin Extended-B
352  0x00006c35 0x00408635 4   5    .data   ascii   !/z~
