Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
295  0x000040b9 0x00015cb9 4   5    .data   ascii   P\fiU
296  0x000040f5 0x00015cf5 4   6    .data   utf8    DȄw\v blocks=Basic Latin,Latin Extended-B
297  0x0000410b 0x00015d0b 4   5    .data   ascii   \n8)e
298  0x00004119 0x00015d19 4   5    .data   ascii   yMm\b
299  0x00004151 0x00015d51 4   5    .data   ascii   %/f\b
300  0x00004159 0x00015d59 6   7    .data   ascii   Xv4IG>
301  0x0000419a 0x00015d9a 4   6    .data   utf8    w¡B, blocks=Basic Latin,Latin-1 Supplement
302  0x000041b5 0x00015db5 6   8    .data   utf8    7@,+ьt blocks=Basic Latin,Cyrillic
303  0x000041cd 0x00015dcd 7   9    .data   utf8    ɺ-nczi/ blocks=IPA Extensions,Basic Latin
304  0x000041d7 0x00015dd7 4   5    .data   ascii   LpP{
305  0x000041dd 0x00015ddd 6   8    .data   utf8    g8تc2[ blocks=Basic Latin,Arabic
306  0x00004224 0x00015e24 5   6    .data   ascii   LSy7?
307  0x00004236 0x00015e36 4   5    .data   ascii   D6}@
308  0x000042cc 0x00015ecc 5   8    .data   utf8    %J7⌒# blocks=Basic Latin,Miscellaneous Technical
309  0x000042db 0x00015edb 4   5    .data   ascii   1,\v7
310  0x000042ef 0x00015eef 4   5    .data   ascii   ib3t
311  0x00004301 0x00015f01 4   5    .data   ascii   SCuo
312  0x00004321 0x00015f21 4   5    .data   ascii   i9Va
313  0x0000437a 0x00015f7a 4   5    .data   ascii   2_x<
314  0x00004409 0x00016009 4   5    .data   ascii   U~f)
315  0x000044a7 0x000160a7 6   8    .data   utf8    ՋN,}4; blocks=Armenian,Basic Latin
316  0x000044b4 0x000160b4 4   5    .data   ascii   lp e
317  0x0000451c 0x0001611c 4   5    .data   ascii   `OiA
318  0x00004539 0x00016139 4   6    .data   utf8    ՋJ-? blocks=Armenian,Basic Latin
319  0x0000455c 0x0001615c 4   5    .data   ascii   -7^x
320  0x000045ca 0x000161ca 4   5    .data   ascii   4Sn5
321  0x000045d4 0x000161d4 4   6    .data   utf8    +VڍT blocks=Basic Latin,Arabic
322  0x0000468e 0x0001628e 5   6    .data   ascii   )Z{om
323  0x000046bc 0x000162bc 6   7    .data   ascii   Q5r|O>
324  0x000046c6 0x000162c6 10  12   .data   utf8    L˃+&F0gI'B blocks=Basic Latin,Spacing Modifier Letters
325  0x000046f6 0x000162f6 4   5    .data   ascii   Qnh7
326  0x00004731 0x00016331 5   6    .data   ascii   (\a\n6,
327  0x000047b1 0x000163b1 4   5    .data   ascii   U{E*
328  0x000047bb 0x000163bb 5   8    .data   utf8    ߑՙ{\b` blocks=NKo,Armenian,Basic Latin
329  0x000047ed 0x000163ed 5   7    .data   utf8    ҝrEz| blocks=Cyrillic,Basic Latin
330  0x000047f5 0x000163f5 4   5    .data   ascii   ^\t=+
331  0x0000480b 0x0001640b 8   9    .data   ascii   hie;Wa/M
332  0x00004830 0x00016430 4   5    .data   ascii   CV{\n
333  0x00004844 0x00016444 4   5    .data   ascii   \e(VY
334  0x0000485a 0x0001645a 4   5    .data   ascii   &c)6
335  0x0000489c 0x0001649c 4   5    .data   ascii   b2g~
336  0x000048c9 0x000164c9 6   8    .data   utf8    G/\eƒa$ blocks=Basic Latin,Latin Extended-B
337  0x00004905 0x00016505 6   8    .data   utf8    ;CÄg$\r blocks=Basic Latin,Latin-1 Supplement
338  0x00004915 0x00016515 5   6    .data   ascii   \r4/ik
339  0x00004949 0x00016549 4   5    .data   ascii   e(05
340  0x000049ac 0x000165ac 4   5    .data   ascii   OOsI
341  0x000049ce 0x000165ce 5   6    .data   ascii   m\f0Q]
342  0x000049ed 0x000165ed 4   5    .data   ascii   7S?1
343  0x00004a15 0x00016615 5   7    .data   utf8    ko*V^
344  0x00004a2d 0x0001662d 6   7    .data   ascii   ;hV\rV"
345  0x00004a86 0x00016686 5   8    .data   utf8    Լb9vۂ blocks=Armenian,Basic Latin,Arabic
346  0x00004aa5 0x000166a5 5   6    .data   ascii   NWG\e_
347  0x00004afc 0x000166fc 6   7    .data   ascii   AE,.U-
348  0x00004b06 0x00016706 4   5    .data   ascii   \4zH
349  0x00004b19 0x00016719 4   5    .data   ascii   hoL&
350  0x00004b27 0x00016727 4   6    .data   utf8    aSB)
351  0x00004b45 0x00016745 4   5    .data   ascii   S3]'
352  0x00004b66 0x00016766 4   5    .data   ascii   xEv%
353  0x00004b72 0x00016772 4   5    .data   ascii   H4bF
354  0x00004b7c 0x0001677c 6   9    .data   utf8    \3HsڔĎ blocks=Basic Latin,Arabic,Latin Extended-A
355  0x00004c0c 0x0001680c 4   6    .data   utf8    oR®I blocks=Basic Latin,Latin-1 Supplement
356  0x00004c12 0x00016812 4   5    .data   ascii   H>p`
357  0x00004cc2 0x000168c2 4   6    .data   utf8    -ۡnQ blocks=Basic Latin,Arabic
358  0x00004cff 0x000168ff 4   5    .data   ascii   \f-\tW
359  0x00004d34 0x00016934 6   8    .data   utf8    XכQ+PC blocks=Basic Latin,Hebrew
360  0x00004e37 0x00016a37 4   5    .data   ascii   w4HG
361  0x00004e52 0x00016a52 4   5    .data   ascii   7;P6
362  0x00004e5b 0x00016a5b 4   5    .data   ascii   |T?B
363  0x00004e8e 0x00016a8e 6   9    .data   utf8    qݦȡ<d} blocks=Basic Latin,Arabic Supplement,Latin Extended-B
364  0x00004ec9 0x00016ac9 4   5    .data   ascii   o%D5
365  0x00004efa 0x00016afa 5   6    .data   ascii   R>u!@
366  0x00004f09 0x00016b09 4   6    .data   utf8    س1_J blocks=Arabic,Basic Latin
367  0x00004f29 0x00016b29 4   7    .data   utf8    핂#`% blocks=Hangul Syllables,Basic Latin
368  0x00004f9a 0x00016b9a 4   7    .data   utf8    4#噸$ blocks=Basic Latin,CJK Unified Ideographs
