[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
206  0x00006ff5 0x00407bf5 4   6    .text   utf8    Ày1* blocks=Latin-1 Supplement,Basic Latin
207  0x00006ffb 0x00407bfb 5   6    .text   ascii   Q$t\aR
208  0x000070e9 0x00407ce9 9   10   .text   ascii   F1<at\b<At
209  0x00007106 0x00407d06 4   6    .text   utf8    gt\a3
210  0x0000717d 0x00407d7d 4   5    .text   ascii   v(PQ
211  0x000071bd 0x00407dbd 5   6    .text   ascii   F1<gt
212  0x000071e3 0x00407de3 4   5    .text   ascii   <-u\n
213  0x000071e8 0x00407de8 4   5    .text   ascii   N @B
214  0x000071f1 0x00407df1 11  12   .text   ascii   <it\f<It\b<nt
215  0x000071fd 0x00407dfd 4   5    .text   ascii   <Nu\b
216  0x00007262 0x00407e62 4   5    .text   ascii   F8SP
217  0x000073ae 0x00407fae 4   6    .text   utf8    f ߃} blocks=Basic Latin,NKo
218  0x000073bf 0x00407fbf 6   7    .text   ascii   u\bu\tSW
219  0x000073e6 0x00407fe6 4   5    .text   ascii   80t\f
220  0x00007470 0x00408070 5   7    .text   utf8    _^ËQ  blocks=Basic Latin,Latin-1 Supplement
221  0x000074ee 0x004080ee 4   5    .text   ascii   ~4SW
222  0x00007507 0x00408107 4   5    .text   ascii   ~4SW
223  0x0000754e 0x0040814e 4   5    .text   ascii   unWQ
224  0x0000761e 0x0040821e 4   6    .text   utf8    ~43ۅ blocks=Basic Latin,Arabic
225  0x00007645 0x00408245 4   5    .text   ascii   u'9E
226  0x00007666 0x00408266 5   6    .text   ascii   C;^8u
227  0x0000772e 0x0040832e 4   5    .text   ascii   8*u 
228  0x000077aa 0x004083aa 4   6    .text   utf8    E܋E\f blocks=Basic Latin,Syriac
229  0x000077e2 0x004083e2 7   11   .text   utf8    E̍E܉EЍE blocks=Basic Latin,Combining Diacritical Marks,Syriac,Cyrillic
230  0x00007902 0x00408502 5   6    .text   ascii   VVVVV
231  0x00007928 0x00408528 4   5    .text   ascii   QSVW
232  0x0000794c 0x0040854c 6   7    .text   ascii   }\b99t\t
233  0x00007971 0x00408571 7   9    .text   utf8    u\v3\tY\b@
234  0x000079bd 0x004085bd 4   5    .text   ascii   wGt>
235  0x00007a43 0x00408643 5   6    .text   ascii   F\bPj\b
236  0x00007a9d 0x0040869d 7   9    .text   utf8    j Y+ȋE\b blocks=Basic Latin,Latin Extended-B
237  0x00007b04 0x00408704 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
238  0x00007b9a 0x0040879a 4   5    .text   ascii   QWWP
239  0x00007c1c 0x0040881c 4   5    .text   ascii   9:t\b
240  0x00007c23 0x00408823 4   5    .text   ascii   A98u
241  0x00007c7e 0x0040887e 5   7    .text   utf8    E\f2ɈM blocks=Basic Latin,Latin Extended-B
242  0x00007c86 0x00408886 4   5    .text   ascii   ?"u\r
243  0x00007d6e 0x0040896e 10  11   .text   ascii   u\b< t3<\tt/
244  0x00007db7 0x004089b7 5   6    .text   ascii   M\f_^[
245  0x00007f02 0x00408b02 4   5    .text   ascii   =t7j
246  0x00007f68 0x00408b68 5   6    .text   ascii   PPPPP
247  0x00007f9d 0x00408b9d 5   7    .text   utf8    Y_^]Ë blocks=Basic Latin,Latin-1 Supplement
248  0x00007fb9 0x00408bb9 5   6    .text   ascii   SSSSj
249  0x00008021 0x00408c21 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
250  0x000080e0 0x00408ce0 4   5    .text   ascii   E\fSV
251  0x000080e5 0x00408ce5 4   6    .text   utf8    u\b+ƃ blocks=Basic Latin,Latin Extended-B
252  0x000080f2 0x00408cf2 4   5    .text   ascii   9u\f\e
253  0x00008141 0x00408d41 4   5    .text   ascii   ;u\fu
254  0x0000814c 0x00408d4c 4   5    .text   ascii   j\bh(
255  0x00008185 0x00408d85 4   5    .text   ascii   Y_^[
256  0x00008199 0x00408d99 4   5    .text   ascii   j\bh\b
257  0x00008214 0x00408e14 4   5    .text   ascii   h|qA
258  0x00008219 0x00408e19 4   5    .text   ascii   hlqA
259  0x00008254 0x00408e54 4   5    .text   ascii   Y_^[
260  0x0000827b 0x00408e7b 5   6    .text   ascii   }\bcsm
261  0x00008339 0x00408f39 5   6    .text   ascii   Ph|}A
262  0x00008349 0x00408f49 4   5    .text   ascii   t#Vh
263  0x00008460 0x00409060 4   5    .text   ascii   j\fhH
264  0x00008490 0x00409090 6   7    .text   ascii   9>t\vWV
265  0x000084ba 0x004090ba 4   5    .text   ascii   Y_^[
266  0x0000855f 0x0040915f 4   6    .text   utf8    ^]á\b blocks=Basic Latin,Latin-1 Supplement
267  0x000085e2 0x004091e2 4   5    .text   ascii   Y_^[
268  0x000085f9 0x004091f9 4   5    .text   ascii   j\fhh
269  0x0000863d 0x0040923d 4   5    .text   ascii   Y_^[
270  0x0000867f 0x0040927f 5   7    .text   utf8    3؋v\b3 blocks=Basic Latin,Arabic
271  0x000086ad 0x004092ad 4   5    .text   ascii   j _;
272  0x00008869 0x00409469 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
273  0x000088ad 0x004094ad 5   6    .text   ascii   ;A\bu\r
274  0x000089dd 0x004095dd 4   5    .text   ascii   9>t\n
275  0x000089ea 0x004095ea 4   5    .text   ascii   >_^]
276  0x000089f1 0x004095f1 4   5    .text   ascii   h(~A
277  0x00008a20 0x00409620 4   5    .text   ascii   h(~A
278  0x00008a2f 0x0040962f 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
279  0x00008bb4 0x004097b4 4   6    .text   utf8    ]Á}\f blocks=Basic Latin,Latin-1 Supplement
280  0x00008bcc 0x004097cc 4   5    .text   ascii   M\fSV
281  0x00008c7e 0x0040987e 6   7    .text   ascii   ,0<\tw\b
282  0x00008cb5 0x004098b5 5   6    .text   ascii   u=j\n^
283  0x00008cc3 0x004098c3 9   10   .text   ascii   }\f<xt\e<Xt
284  0x00008cf2 0x004098f2 4   6    .text   utf8    }\f3҃ blocks=Basic Latin,Cyrillic
285  0x00008d66 0x00409966 4   6    .text   utf8    \vЉ}\f blocks=Basic Latin,Cyrillic
286  0x00008d86 0x00409986 4   6    .text   utf8    3ۉE\f blocks=Basic Latin,Arabic
287  0x00008e4d 0x00409a4d 4   5    .text   ascii   P#E\f
288  0x00008f04 0x00409b04 4   6    .text   utf8    ]ËM\f blocks=Basic Latin,Latin-1 Supplement
