Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
362  0x00006b6e 0x004c076e 4   5    ...._1  ascii   SVWP
363  0x00006bbc 0x004c07bc 4   5    ...._1  ascii   } \bh
364  0x00006bc5 0x004c07c5 4   5    ...._1  ascii   CE\fP
365  0x00006c56 0x004c0856 4   5    ...._1  ascii   \br\r@
366  0x00006c71 0x004c0871 4   6    ...._1  utf8    EԋE  blocks=Basic Latin,Cyrillic Supplement
367  0x00006c7f 0x004c087f 4   5    ...._1  ascii   \br\r@
368  0x00006d1f 0x004c091f 4   5    ...._1  ascii   E\fRP
369  0x00006d56 0x004c0956 4   6    ...._1  utf8    \r+MM
370  0x00006d98 0x004c0998 4   6    ...._1  utf8    \r+MM
371  0x00006e13 0x004c0a13 4   5    ...._1  ascii   \br\r@
372  0x00006e2e 0x004c0a2e 4   6    ...._1  utf8    EԋE  blocks=Basic Latin,Cyrillic Supplement
373  0x00006e3c 0x004c0a3c 4   5    ...._1  ascii   \br\r@
374  0x00006e83 0x004c0a83 5   6    ...._1  ascii   {\bOu\a
375  0x00006e9b 0x004c0a9b 4   5    ...._1  ascii   Y_^[
376  0x00006ed1 0x004c0ad1 4   5    ...._1  ascii   SVWP
377  0x00006f55 0x004c0b55 4   5    ...._1  ascii   F\bu\a
378  0x00006f9c 0x004c0b9c 4   5    ...._1  ascii   E\fRP
379  0x00006ff7 0x004c0bf7 4   5    ...._1  ascii   } \bQ
380  0x000070ce 0x004c0cce 4   5    ...._1  ascii   \br\r@
381  0x00007112 0x004c0d12 5   6    ...._1  ascii   ~\bOu\a
382  0x00007196 0x004c0d96 4   5    ...._1  ascii   Y_^[
383  0x00007245 0x004c0e45 4   5    ...._1  ascii   h6PK
384  0x00007250 0x004c0e50 4   5    ...._1  ascii   PSVW
385  0x00007269 0x004c0e69 5   7    ...._1  utf8    W\vE f
386  0x000072d4 0x004c0ed4 5   6    ...._1  ascii   _\bKu\a
387  0x000072ec 0x004c0eec 4   5    ...._1  ascii   Y_^[
388  0x00007321 0x004c0f21 4   5    ...._1  ascii   SVWP
389  0x000073ab 0x004c0fab 4   5    ...._1  ascii   F\bu\a
390  0x000073f8 0x004c0ff8 4   5    ...._1  ascii   E\fRP
391  0x00007459 0x004c1059 4   5    ...._1  ascii   } \bQ
392  0x000074fd 0x004c10fd 4   5    ...._1  ascii   \br\r@
393  0x00007541 0x004c1141 5   6    ...._1  ascii   ^\bKu\a
394  0x00007559 0x004c1159 4   5    ...._1  ascii   Y_^[
395  0x0000758e 0x004c118e 4   5    ...._1  ascii   SVWP
396  0x000075b0 0x004c11b0 6   9    ...._1  utf8    E̍M̍E\b blocks=Basic Latin,Combining Diacritical Marks
397  0x00007654 0x004c1254 4   5    ...._1  ascii   \br\r@
398  0x0000767d 0x004c127d 4   5    ...._1  ascii   \br\r@
399  0x000076c1 0x004c12c1 5   6    ...._1  ascii   w\bNu\a
400  0x000076fb 0x004c12fb 4   5    ...._1  ascii   Y_^[
401  0x0000771e 0x004c131e 6   8    ...._1  utf8    3ĉD$ V blocks=Basic Latin,Latin Extended-A
402  0x00007738 0x004c1338 4   5    ...._1  ascii   u.j!
403  0x00007758 0x004c1358 4   5    ...._1  ascii   L$ 3
404  0x000077d7 0x004c13d7 4   5    ...._1  ascii   L$\fP
405  0x00007805 0x004c1405 4   5    ...._1  ascii   h0YK
406  0x00007840 0x004c1440 5   6    ...._1  ascii   ~\bOu\a
407  0x00007865 0x004c1465 4   5    ...._1  ascii   h SK
408  0x00007870 0x004c1470 4   5    ...._1  ascii   PSVW
409  0x000078c4 0x004c14c4 4   5    ...._1  ascii   G\bu\a
410  0x000078e3 0x004c14e3 4   5    ...._1  ascii   Y_^[
411  0x00007921 0x004c1521 4   6    ...._1  utf8    ǉF\bj blocks=Latin Extended-B,Basic Latin
412  0x0000796e 0x004c156e 4   6    ...._1  utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
413  0x00007bd8 0x004c17d8 5   7    ...._1  utf8    s\3ɍ{ blocks=Basic Latin,Latin Extended-B
414  0x00007c35 0x004c1835 4   5    ...._1  ascii   hwYK
415  0x00007d95 0x004c1995 4   5    ...._1  ascii   E\f\vE
416  0x00007da4 0x004c19a4 5   6    ...._1  ascii   u\fPRQ
417  0x00007dde 0x004c19de 4   6    ...._1  utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
418  0x00007e05 0x004c1a05 5   6    ...._1  ascii   D$\ftx
419  0x00007ead 0x004c1aad 4   5    ...._1  ascii   _^[3
420  0x00007ece 0x004c1ace 4   6    ...._1  utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
421  0x00007f0b 0x004c1b0b 5   6    ...._1  ascii   D$\ftq
422  0x00007fac 0x004c1bac 4   5    ...._1  ascii   _^[3
423  0x00007fde 0x004c1bde 4   5    ...._1  ascii   SVWP
424  0x00008035 0x004c1c35 4   6    ...._1  utf8    KP+щ blocks=Basic Latin,Cyrillic
425  0x000080a0 0x004c1ca0 4   6    ...._1  utf8    E̋K8 blocks=Basic Latin,Combining Diacritical Marks
426  0x000080a9 0x004c1ca9 4   6    ...._1  utf8    C}ԍu blocks=Basic Latin,Cyrillic Supplement
427  0x00008154 0x004c1d54 4   5    ...._1  ascii   r\rAQ
428  0x0000816f 0x004c1d6f 4   5    ...._1  ascii   Y_^[
429  0x0000817f 0x004c1d7f 4   7    ...._1  utf8    ]ÍEԊ blocks=Basic Latin,Latin-1 Supplement,Cyrillic Supplement
430  0x00008199 0x004c1d99 4   6    ...._1  utf8    CEԋM blocks=Basic Latin,Cyrillic Supplement
431  0x00008224 0x004c1e24 6   7    ...._1  ascii   F\f9\bs%
432  0x00008277 0x004c1e77 5   6    ...._1  ascii   N<9\bt
433  0x000082be 0x004c1ebe 4   5    ...._1  ascii   SVWP
434  0x00008398 0x004c1f98 4   6    ...._1  utf8    EЋs8 blocks=Basic Latin,Cyrillic
435  0x000083a1 0x004c1fa1 4   6    ...._1  utf8    CMԍU blocks=Basic Latin,Cyrillic Supplement
436  0x000083db 0x004c1fdb 4   7    ...._1  utf8    EԋMԃ blocks=Basic Latin,Cyrillic Supplement
437  0x00008423 0x004c2023 6   7    ...._1  ascii    s=Wj\b
438  0x00008486 0x004c2086 4   5    ...._1  ascii   Y_^[
439  0x000084f6 0x004c20f6 5   6    ...._1  ascii   F<9\au
440  0x00008500 0x004c2100 4   6    ...._1  utf8    NP+щ blocks=Basic Latin,Cyrillic
441  0x0000863d 0x004c223d 4   5    ...._1  ascii   u);\r
442  0x000086a5 0x004c22a5 4   5    ...._1  ascii   h&ZK
443  0x000087cc 0x004c23cc 4   5    ...._1  ascii   Y_^[
444  0x000088ae 0x004c24ae 6   8    ...._1  utf8    W\tL$\ff
445  0x0000892d 0x004c252d 4   5    ...._1  ascii   D$\f+
446  0x00008936 0x004c2536 6   8    ...._1  utf8    \e؋A0)0 blocks=Basic Latin,Arabic
447  0x000089be 0x004c25be 6   8    ...._1  utf8    W\tL$\ff
448  0x00008a3d 0x004c263d 4   5    ...._1  ascii   D$\f+
449  0x00008a46 0x004c2646 6   8    ...._1  utf8    \e؋A,)0 blocks=Basic Latin,Arabic
450  0x00008acf 0x004c26cf 4   6    ...._1  utf8    ^ËF, blocks=Basic Latin,Latin-1 Supplement
451  0x00008c4f 0x004c284f 5   6    ...._1  ascii   t\vjXV
452  0x00008d1c 0x004c291c 5   6    ...._1  ascii   t\vj`V
453  0x00008da1 0x004c29a1 5   6    ...._1  ascii   t\vj8V
454  0x00008e0f 0x004c2a0f 5   6    ...._1  ascii   t\vjHV
455  0x00008e86 0x004c2a86 5   6    ...._1  ascii   +E\f9E
456  0x00008f65 0x004c2b65 4   5    ...._1  ascii   hXZK
457  0x00008f70 0x004c2b70 4   5    ...._1  ascii   PQVW
458  0x00009013 0x004c2c13 4   5    ...._1  ascii   \br#S
459  0x0000901f 0x004c2c1f 4   5    ...._1  ascii   ?PSV
460  0x0000904f 0x004c2c4f 5   6    ...._1  ascii   \fx_^]
461  0x0000905c 0x004c2c5c 4   5    ...._1  ascii   ~_^]
462  0x000090ae 0x004c2cae 4   5    ...._1  ascii   [_^]
463  0x000090e5 0x004c2ce5 4   5    ...._1  ascii   >_^]
464  0x00009161 0x004c2d61 4   6    ...._1  utf8    u\f+؋ blocks=Basic Latin,Arabic
465  0x000091c5 0x004c2dc5 4   5    ...._1  ascii   _^[f
466  0x000091d7 0x004c2dd7 4   5    ...._1  ascii   ?PSQ
467  0x000091f6 0x004c2df6 4   5    ...._1  ascii   _^[]
468  0x000092d0 0x004c2ed0 4   5    ...._1  ascii   _^[f
469  0x00009304 0x004c2f04 4   5    ...._1  ascii   _^[]
470  0x00009370 0x004c2f70 4   5    ...._1  ascii   s5QW
471  0x000093a0 0x004c2fa0 4   5    ...._1  ascii   _^[]
472  0x000093c8 0x004c2fc8 4   5    ...._1  ascii   _^[f
473  0x0000958e 0x004c318e 5   6    ...._1  ascii   E\fWPQ
474  0x0000964c 0x004c324c 4   5    ...._1  ascii   w}9~
475  0x00009697 0x004c3297 5   6    ...._1  ascii   t\vWSP
476  0x000096b5 0x004c32b5 4   5    ...._1  ascii   _^[]
477  0x000097cc 0x004c33cc 4   5    ...._1  ascii   _^[]
478  0x00009830 0x004c3430 4   5    ...._1  ascii   wx9~
479  0x00009835 0x004c3435 4   5    ...._1  ascii   s3QW
480  0x00009863 0x004c3463 4   5    ...._1  ascii   _^[]
481  0x000099b9 0x004c35b9 4   5    ...._1  ascii   _^[]
482  0x00009a3c 0x004c363c 4   5    ...._1  ascii   s"RW
483  0x00009ab3 0x004c36b3 4   5    ...._1  ascii   _^[]
484  0x00009b06 0x004c3706 5   6    ...._1  ascii   t\ePVW
485  0x00009ba5 0x004c37a5 5   6    ...._1  ascii   A<9\au
486  0x00009bee 0x004c37ee 4   5    ...._1  ascii   SVWP
487  0x00009c55 0x004c3855 4   6    ...._1  utf8    EԋK8 blocks=Basic Latin,Cyrillic Supplement
488  0x00009c5e 0x004c385e 4   6    ...._1  utf8    C}؍u blocks=Basic Latin,Arabic
489  0x00009cc6 0x004c38c6 4   6    ...._1  utf8    uÀ{= blocks=Basic Latin,Latin-1 Supplement
490  0x00009ceb 0x004c38eb 4   5    ...._1  ascii   r\rAQ
491  0x00009d0a 0x004c390a 4   5    ...._1  ascii   Y_^[
492  0x00009d39 0x004c3939 4   6    ...._1  utf8    \rN\bW
493  0x00009de9 0x004c39e9 4   6    ...._1  utf8    ~L3͡ blocks=Basic Latin,Combining Diacritical Marks
494  0x00009e70 0x004c3a70 5   6    ...._1  ascii   t\vj\bV
495  0x00009ebd 0x004c3abd 4   5    ...._1  ascii   w[9q
496  0x0000a034 0x004c3c34 4   5    ...._1  ascii   E\b9A
497  0x0000a07a 0x004c3c7a 4   5    ...._1  ascii   wY9q
498  0x0000a124 0x004c3d24 4   5    ...._1  ascii   E\b9A
499  0x0000a315 0x004c3f15 4   5    ...._1  ascii   h [K
500  0x0000a320 0x004c3f20 5   6    ...._1  ascii   PQSVW
501  0x0000a38d 0x004c3f8d 4   5    ...._1  ascii   Y_^[
502  0x0000a3a5 0x004c3fa5 4   5    ...._1  ascii   h@[K
503  0x0000a5cf 0x004c41cf 4   6    ...._1  utf8    ϋ\aj  blocks=Greek and Coptic,Basic Latin
504  0x0000a635 0x004c4235 4   5    ...._1  ascii   h`[K
505  0x0000a643 0x004c4243 4   5    ...._1  ascii   \fSVW
506  0x0000a6f6 0x004c42f6 4   5    ...._1  ascii   \ePQR
507  0x0000a707 0x004c4307 4   5    ...._1  ascii   \br\v@
508  0x0000a757 0x004c4357 4   5    ...._1  ascii   Y_^[
509  0x0000a769 0x004c4369 4   5    ...._1  ascii   \br\v@
510  0x0000a7b3 0x004c43b3 4   5    ...._1  ascii   \fSVW
511  0x0000a88c 0x004c448c 5   6    ...._1  ascii   t\vPQS
512  0x0000a8ea 0x004c44ea 4   5    ...._1  ascii   Y_^[
513  0x0000a953 0x004c4553 4   6    ...._1  utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
514  0x0000aa38 0x004c4638 4   6    ...._1  utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
515  0x0000aaae 0x004c46ae 4   5    ...._1  ascii   SVWP
516  0x0000aad3 0x004c46d3 4   5    ...._1  ascii   =h_O
517  0x0000aaee 0x004c46ee 5   6    ...._1  ascii   9=h_O
518  0x0000ab0f 0x004c470f 4   5    ...._1  ascii   =h_O
519  0x0000ab17 0x004c4717 5   6    ...._1  ascii   ;y\fs\f
520  0x0000ab35 0x004c4735 5   6    ...._1  ascii   ;x\fs\n
521  0x0000ab88 0x004c4788 5   7    ...._1  utf8    Ή5\frO blocks=Greek and Coptic,Basic Latin
522  0x0000abb1 0x004c47b1 4   5    ...._1  ascii   Y_^[
523  0x0000ac4e 0x004c484e 4   5    ...._1  ascii   SVWP
524  0x0000acb7 0x004c48b7 5   6    ...._1  ascii   ;y\fs\f
525  0x0000acd5 0x004c48d5 5   6    ...._1  ascii   ;x\fs\n
526  0x0000ad51 0x004c4951 4   5    ...._1  ascii   Y_^[
527  0x0000ae28 0x004c4a28 4   5    ...._1  ascii   uQj\b
528  0x0000ae6f 0x004c4a6f 4   5    ...._1  ascii   \a(#L
529  0x0000aea5 0x004c4aa5 4   5    ...._1  ascii   h8\K
530  0x0000af6c 0x004c4b6c 4   5    ...._1  ascii   \br\v@
531  0x0000afd5 0x004c4bd5 4   5    ...._1  ascii   hs\K
532  0x0000b135 0x004c4d35 4   5    ...._1  ascii   h<WK
533  0x0000b143 0x004c4d43 4   5    ...._1  ascii   \fSVW
534  0x0000b1e3 0x004c4de3 5   6    ...._1  ascii   ^\bKu\a
535  0x0000b1fb 0x004c4dfb 4   5    ...._1  ascii   Y_^[
536  0x0000b220 0x004c4e20 4   5    ...._1  ascii   PSVW
537  0x0000b25a 0x004c4e5a 5   6    ...._1  ascii   _\bKu\a
538  0x0000b270 0x004c4e70 5   6    ...._1  ascii   t\vj\fV
539  0x0000b289 0x004c4e89 4   5    ...._1  ascii   Y_^[
540  0x0000b2a5 0x004c4ea5 4   5    ...._1  ascii   h$]K
541  0x0000b2c1 0x004c4ec1 4   5    ...._1  ascii   SVWP
542  0x0000b4dd 0x004c50dd 4   5    ...._1  ascii   \bj*P
543  0x0000b5d6 0x004c51d6 4   5    ...._1  ascii   \bj"P
544  0x0000b6af 0x004c52af 4   5    ...._1  ascii   \br\r@
545  0x0000b6f6 0x004c52f6 5   6    ...._1  ascii   ~\bOu\a
546  0x0000b70e 0x004c530e 4   5    ...._1  ascii   Y_^[
547  0x0000b7a8 0x004c53a8 5   7    ...._1  utf8    sP3ɍ{ blocks=Basic Latin,Latin Extended-B
548  0x0000b91c 0x004c551c 5   6    ...._1  ascii   t\vjPV
549  0x0000ba45 0x004c5645 4   5    ...._1  ascii   hf]K
550  0x0000ba80 0x004c5680 4   5    ...._1  ascii   \a #L
551  0x0000bc05 0x004c5805 4   6    ...._1  utf8    ƋL$\f blocks=Latin Extended-B,Basic Latin
552  0x0000bc3e 0x004c583e 6   9    ...._1  utf8    Ë}\b+ǉ} blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
553  0x0000bc4e 0x004c584e 4   5    ...._1  ascii   w$9F
554  0x0000bca3 0x004c58a3 4   5    ...._1  ascii   \bSVW
555  0x0000bd28 0x004c5928 4   5    ...._1  ascii   Y_^[
556  0x0000bd77 0x004c5977 4   6    ...._1  utf8    ƋL$\f blocks=Latin Extended-B,Basic Latin
557  0x0000bd9a 0x004c599a 5   6    ...._1  ascii   U\bSV3
558  0x0000bf00 0x004c5b00 5   6    ...._1  ascii   t\vj\fV
559  0x0000bf65 0x004c5b65 4   5    ...._1  ascii   h\f^K
560  0x0000bf7e 0x004c5b7e 4   5    ...._1  ascii   SVWP
561  0x0000c026 0x004c5c26 4   5    ...._1  ascii   Y_^[
562  0x0000c084 0x004c5c84 6   7    ...._1  ascii   ~-hhsO
563  0x0000c094 0x004c5c94 4   5    ...._1  ascii   =hsO
564  0x0000c0a6 0x004c5ca6 4   5    ...._1  ascii   hhsO
565  0x0000c0d3 0x004c5cd3 6   7    ...._1  ascii   ~Ah<rO
566  0x0000c0e3 0x004c5ce3 4   5    ...._1  ascii   =<rO
567  0x0000c0e9 0x004c5ce9 6   7    ...._1  ascii   u+h<rO
568  0x0000c140 0x004c5d40 6   7    ...._1  ascii   ~-hhsO
569  0x0000c150 0x004c5d50 4   5    ...._1  ascii   =hsO
570  0x0000c162 0x004c5d62 4   5    ...._1  ascii   hhsO
571  0x0000c170 0x004c5d70 5   6    ...._1  ascii   F\b(rO
572  0x0000c1fc 0x004c5dfc 7   9    ...._1  utf8    ǉ_\b_^[] blocks=Latin Extended-B,Basic Latin
573  0x0000c228 0x004c5e28 5   6    ...._1  ascii   \b;\nu\e
574  0x0000c237 0x004c5e37 4   6    ...._1  utf8    ǋr\f\v blocks=Latin Extended-B,Basic Latin
575  0x0000c252 0x004c5e52 4   5    ...._1  ascii   9y\bu
576  0x0000c257 0x004c5e57 4   5    ...._1  ascii   9q\fu
577  0x0000c280 0x004c5e80 4   6    ...._1  utf8    Ëz\f\v blocks=Latin-1 Supplement,Basic Latin
578  0x0000c29a 0x004c5e9a 4   5    ...._1  ascii   9Y\bu
579  0x0000c29f 0x004c5e9f 4   5    ...._1  ascii   9y\fu
580  0x0000c2a6 0x004c5ea6 4   5    ...._1  ascii   ;E\fu
581  0x0000c2c5 0x004c5ec5 4   5    ...._1  ascii   h@^K
582  0x0000c2de 0x004c5ede 4   5    ...._1  ascii   SVWP
583  0x0000c364 0x004c5f64 4   5    ...._1  ascii   Y_^[
584  0x0000c43c 0x004c603c 4   5    ...._1  ascii   E\f_]
585  0x0000c4df 0x004c60df 4   5    ...._1  ascii   _^[]
586  0x0000c500 0x004c6100 4   6    ...._1  utf8    ^[]Å blocks=Basic Latin,Latin-1 Supplement
587  0x0000c545 0x004c6145 5   6    ...._1  ascii   u\bPh@
588  0x0000c5ce 0x004c61ce 4   5    ...._1  ascii   SVWP
589  0x0000c5df 0x004c61df 5   7    ...._1  utf8    Eԋ}\bj blocks=Basic Latin,Cyrillic Supplement
590  0x0000c623 0x004c6223 4   9    ...._1  utf16le jjjj
591  0x0000c6c7 0x004c62c7 4   6    ...._1  utf8    CÀ|\b blocks=Basic Latin,Latin-1 Supplement
592  0x0000c6d7 0x004c62d7 4   6    ...._1  utf8    CÀ|\b blocks=Basic Latin,Latin-1 Supplement
593  0x0000c6dd 0x004c62dd 4   5    ...._1  ascii   \ru\aI
594  0x0000c6f2 0x004c62f2 4   6    ...._1  utf8    CÀ|\b blocks=Basic Latin,Latin-1 Supplement
595  0x0000c759 0x004c6359 4   5    ...._1  ascii   Y_^[
596  0x0000c775 0x004c6375 4   5    ...._1  ascii   ]\fVW
597  0x0000c7ca 0x004c63ca 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
598  0x0000c7df 0x004c63df 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
599  0x0000c7f4 0x004c63f4 10  12   ...._1  utf8    _^[]Ëu\bj&V blocks=Basic Latin,Latin-1 Supplement
600  0x0000c809 0x004c6409 10  12   ...._1  utf8    _^[]Ëu\bj)V blocks=Basic Latin,Latin-1 Supplement
601  0x0000c81e 0x004c641e 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
602  0x0000c833 0x004c6433 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
603  0x0000c848 0x004c6448 10  12   ...._1  utf8    _^[]Ëu\bj(V blocks=Basic Latin,Latin-1 Supplement
604  0x0000c85d 0x004c645d 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
605  0x0000c872 0x004c6472 10  12   ...._1  utf8    _^[]Ëu\bj'V blocks=Basic Latin,Latin-1 Supplement
606  0x0000c887 0x004c6487 10  12   ...._1  utf8    _^[]Ëu\bj\fV blocks=Basic Latin,Latin-1 Supplement
607  0x0000c89c 0x004c649c 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
608  0x0000c8b1 0x004c64b1 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
609  0x0000c8c6 0x004c64c6 4   5    ...._1  ascii   _^[]
610  0x0000c929 0x004c6529 10  12   ...._1  utf8    _^[]Ëu\bjiV blocks=Basic Latin,Latin-1 Supplement
611  0x0000c93e 0x004c653e 5   7    ...._1  utf8    _^[]Á blocks=Basic Latin,Latin-1 Supplement
612  0x0000c960 0x004c6560 5   6    ...._1  ascii   u\bj\vV
613  0x0000c96f 0x004c656f 10  12   ...._1  utf8    _^[]Ëu\bjjV blocks=Basic Latin,Latin-1 Supplement
614  0x0000c984 0x004c6584 5   7    ...._1  utf8    _^[]Á blocks=Basic Latin,Latin-1 Supplement
615  0x0000c9a5 0x004c65a5 4   5    ...._1  ascii   _^[]
616  0x0000c9dd 0x004c65dd 5   6    ...._1  ascii   u\bj\rV
617  0x0000c9ec 0x004c65ec 10  12   ...._1  utf8    _^[]Ëu\bjdV blocks=Basic Latin,Latin-1 Supplement
618  0x0000ca01 0x004c6601 10  12   ...._1  utf8    _^[]Ëu\bjeV blocks=Basic Latin,Latin-1 Supplement
619  0x0000ca16 0x004c6616 10  12   ...._1  utf8    _^[]Ëu\bjfV blocks=Basic Latin,Latin-1 Supplement
620  0x0000ca2b 0x004c662b 10  12   ...._1  utf8    _^[]Ëu\bjgV blocks=Basic Latin,Latin-1 Supplement
621  0x0000ca40 0x004c6640 10  12   ...._1  utf8    _^[]Ëu\bj\tV blocks=Basic Latin,Latin-1 Supplement
622  0x0000ca55 0x004c6655 10  12   ...._1  utf8    _^[]Ëu\bjkV blocks=Basic Latin,Latin-1 Supplement
623  0x0000ca6a 0x004c666a 10  12   ...._1  utf8    _^[]Ëu\bjlV blocks=Basic Latin,Latin-1 Supplement
624  0x0000ca7f 0x004c667f 10  12   ...._1  utf8    _^[]Ëu\bjmV blocks=Basic Latin,Latin-1 Supplement
625  0x0000ca94 0x004c6694 8   10   ...._1  utf8    _^[]Ëu\bj blocks=Basic Latin,Latin-1 Supplement
626  0x0000caa9 0x004c66a9 10  12   ...._1  utf8    _^[]Ëu\bjnV blocks=Basic Latin,Latin-1 Supplement
627  0x0000cabe 0x004c66be 10  12   ...._1  utf8    _^[]Ëu\bjpV blocks=Basic Latin,Latin-1 Supplement
628  0x0000cad3 0x004c66d3 10  12   ...._1  utf8    _^[]Ëu\bjqV blocks=Basic Latin,Latin-1 Supplement
629  0x0000cae8 0x004c66e8 10  12   ...._1  utf8    _^[]Ëu\bjsV blocks=Basic Latin,Latin-1 Supplement
630  0x0000cafd 0x004c66fd 10  12   ...._1  utf8    _^[]Ëu\bjtV blocks=Basic Latin,Latin-1 Supplement
631  0x0000cb12 0x004c6712 10  12   ...._1  utf8    _^[]Ëu\bjuV blocks=Basic Latin,Latin-1 Supplement
632  0x0000cb27 0x004c6727 10  12   ...._1  utf8    _^[]Ëu\bjvV blocks=Basic Latin,Latin-1 Supplement
633  0x0000cb3c 0x004c673c 10  12   ...._1  utf8    _^[]Ëu\bjwV blocks=Basic Latin,Latin-1 Supplement
634  0x0000cb51 0x004c6751 10  12   ...._1  utf8    _^[]Ëu\bj{V blocks=Basic Latin,Latin-1 Supplement
635  0x0000cb66 0x004c6766 10  12   ...._1  utf8    _^[]Ëu\bj~V blocks=Basic Latin,Latin-1 Supplement
636  0x0000cb7b 0x004c677b 8   10   ...._1  utf8    _^[]Ëu\bh blocks=Basic Latin,Latin-1 Supplement
637  0x0000cb93 0x004c6793 8   10   ...._1  utf8    _^[]Ëu\bh blocks=Basic Latin,Latin-1 Supplement
638  0x0000cbab 0x004c67ab 8   10   ...._1  utf8    _^[]Ëu\bh blocks=Basic Latin,Latin-1 Supplement
639  0x0000cbc3 0x004c67c3 8   10   ...._1  utf8    _^[]Ëu\bh blocks=Basic Latin,Latin-1 Supplement
640  0x0000cbdb 0x004c67db 8   10   ...._1  utf8    _^[]Ëu\bh blocks=Basic Latin,Latin-1 Supplement
641  0x0000cbf3 0x004c67f3 8   10   ...._1  utf8    _^[]Ëu\bh blocks=Basic Latin,Latin-1 Supplement
642  0x0000cc0b 0x004c680b 4   5    ...._1  ascii   _^[]
643  0x0000cc2a 0x004c682a 8   11   ...._1  utf8    ǉw\b_^[]Ð blocks=Latin Extended-B,Basic Latin,Latin-1 Supplement
644  0x0000ce10 0x004c6a10 7   8    ...._1  ascii   \a\b\t\n\v\f\r
645  0x0000cf52 0x004c6b52 5   6    ...._1  ascii   t\vj0W
646  0x0000cf83 0x004c6b83 4   5    ...._1  ascii    SVW
647  0x0000d036 0x004c6c36 4   5    ...._1  ascii   Y_^[
648  0x0000d064 0x004c6c64 4   5    ...._1  ascii   Y_^[
649  0x0000d0b0 0x004c6cb0 6   8    ...._1  utf8    Eċv\bPf blocks=Basic Latin,Latin Extended-A
650  0x0000d149 0x004c6d49 4   5    ...._1  ascii   j\fh`
651  0x0000d175 0x004c6d75 4   5    ...._1  ascii   M\bhp
652  0x0000d191 0x004c6d91 4   5    ...._1  ascii   M\bh|
653  0x0000d1fc 0x004c6dfc 4   5    ...._1  ascii   u9VW
654  0x0000d275 0x004c6e75 4   5    ...._1  ascii   h SK
655  0x0000d280 0x004c6e80 4   5    ...._1  ascii   PSVW
656  0x0000d2f1 0x004c6ef1 4   5    ...._1  ascii   Y_^[
657  0x0000d33a 0x004c6f3a 4   5    ...._1  ascii   h\sO
658  0x0000d3b9 0x004c6fb9 4   5    ...._1  ascii   j5hH
659  0x0000d449 0x004c7049 4   5    ...._1  ascii   h\sO
660  0x0000d4ca 0x004c70ca 4   5    ...._1  ascii   h`sO
661  0x0000d4e6 0x004c70e6 5   6    ...._1  ascii   PhdsO
662  0x0000d524 0x004c7124 4   5    ...._1  ascii   hdsO
663  0x0000d585 0x004c7185 4   5    ...._1  ascii   ]\bVW
664  0x0000d631 0x004c7231 4   5    ...._1  ascii   _^[]
665  0x0000d6a7 0x004c72a7 5   7    ...._1  utf8    F\f3͉^ blocks=Basic Latin,Combining Diacritical Marks
666  0x0000d745 0x004c7345 5   7    ...._1  utf8    G\f3͉w blocks=Basic Latin,Combining Diacritical Marks
667  0x0000d869 0x004c7469 4   5    ...._1  ascii   j#h\b
668  0x0000d889 0x004c7489 4   5    ...._1  ascii   u'PP
669  0x0000d91d 0x004c751d 4   5    ...._1  ascii   j#h\b
670  0x0000d955 0x004c7555 4   5    ...._1  ascii   hL_K
671  0x0000d963 0x004c7563 4   5    ...._1  ascii   \bSVW
672  0x0000d9cd 0x004c75cd 4   5    ...._1  ascii   j#h\b
673  0x0000da4c 0x004c764c 4   5    ...._1  ascii   Y_^[
674  0x0000da65 0x004c7665 4   5    ...._1  ascii   h|_K
675  0x0000dac2 0x004c76c2 4   5    ...._1  ascii   j#h\b
676  0x0000dbef 0x004c77ef 5   6    ...._1  ascii   t\vj V
677  0x0000dcff 0x004c78ff 5   6    ...._1  ascii   t\vj V
678  0x0000ddbe 0x004c79be 6   7    ...._1  ascii   CM QPQ
679  0x0000df15 0x004c7b15 4   5    ...._1  ascii   \br\r@
680  0x0000df3f 0x004c7b3f 4   5    ...._1  ascii   r\rAQ
681  0x0000e014 0x004c7c14 4   6    ...._1  utf8    EЊD\r blocks=Basic Latin,Cyrillic
682  0x0000e03e 0x004c7c3e 4   5    ...._1  ascii   CE$P
683  0x0000e050 0x004c7c50 4   5    ...._1  ascii   CE\fP
