Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
281  0x000047a4 0x004be3a4 4   6    ...._1  utf8    W\vE\b
282  0x000047d4 0x004be3d4 4   5    ...._1  ascii   Y_^[
283  0x00004803 0x004be403 4   5    ...._1  ascii   \bSVW
284  0x00004834 0x004be434 4   6    ...._1  utf8    W\vE\b
285  0x00004864 0x004be464 4   5    ...._1  ascii   Y_^[
286  0x00004885 0x004be485 4   5    ...._1  ascii   h0TK
287  0x00004893 0x004be493 4   5    ...._1  ascii   \bSVW
288  0x000048c4 0x004be4c4 4   6    ...._1  utf8    W\vE\b
289  0x000048f4 0x004be4f4 4   5    ...._1  ascii   Y_^[
290  0x00004915 0x004be515 4   5    ...._1  ascii   hPTK
291  0x00004923 0x004be523 4   5    ...._1  ascii   \bSVW
292  0x00004954 0x004be554 4   6    ...._1  utf8    W\vE\b
293  0x00004984 0x004be584 4   5    ...._1  ascii   Y_^[
294  0x000049a5 0x004be5a5 4   5    ...._1  ascii   hpTK
295  0x000049b3 0x004be5b3 4   5    ...._1  ascii   \bSVW
296  0x000049e4 0x004be5e4 4   6    ...._1  utf8    W\vE\b
297  0x00004a14 0x004be614 4   5    ...._1  ascii   Y_^[
298  0x00004a6f 0x004be66f 6   7    ...._1  ascii   j{h0\vM
299  0x00004aa3 0x004be6a3 9   10   ...._1  ascii   FX;FPu\t@P
300  0x00004b23 0x004be723 4   5    ...._1  ascii   \bSVW
301  0x00004ba6 0x004be7a6 4   5    ...._1  ascii   Y_^[
302  0x00004c00 0x004be800 4   5    ...._1  ascii   O\bVP
303  0x00004dff 0x004be9ff 4   5    ...._1  ascii   O\bVP
304  0x00004e45 0x004bea45 4   5    ...._1  ascii   h!UK
305  0x00004e53 0x004bea53 4   5    ...._1  ascii   \fSVW
306  0x00004ea5 0x004beaa5 4   6    ...._1  utf8    ڋU\bQ blocks=Arabic,Basic Latin
307  0x00004eca 0x004beaca 4   5    ...._1  ascii   Y_^[
308  0x00004ee5 0x004beae5 4   5    ...._1  ascii   hLUK
309  0x00004ef0 0x004beaf0 4   5    ...._1  ascii   PSVW
310  0x00004f89 0x004beb89 4   5    ...._1  ascii   Y_^[
311  0x00004fa5 0x004beba5 4   5    ...._1  ascii   hLUK
312  0x00004fb0 0x004bebb0 4   5    ...._1  ascii   PSVW
313  0x00005049 0x004bec49 4   5    ...._1  ascii   Y_^[
314  0x00005060 0x004bec60 4   5    ...._1  ascii   VWj 
315  0x00005463 0x004bf063 4   5    ...._1  ascii   \bSVW
