[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
323  0x0000afe0 0x0040bbe0 5   8    .text   utf8    MЍEЊV blocks=Basic Latin,Cyrillic
324  0x0000b1e3 0x0040bde3 5   8    .text   utf8    MЍEЊV blocks=Basic Latin,Cyrillic
325  0x0000b492 0x0040c092 5   8    .text   utf8    MЍEЊV blocks=Basic Latin,Cyrillic
326  0x0000b8e0 0x0040c4e0 5   8    .text   utf8    MЍEЊV blocks=Basic Latin,Cyrillic
327  0x0000b9d1 0x0040c5d1 4   5    .text   ascii   Y_^[
328  0x0000bbf2 0x0040c7f2 4   6    .text   utf8    ]Ë\aV blocks=Basic Latin,Latin-1 Supplement
329  0x0000bc27 0x0040c827 6   7    .text   ascii   M\b=fff
330  0x0000bc47 0x0040c847 4   6    .text   utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
331  0x0000bcb8 0x0040c8b8 4   5    .text   ascii   ;P\bu
332  0x0000bd54 0x0040c954 4   5    .text   ascii   uZVf
333  0x0000bdd4 0x0040c9d4 4   5    .text   ascii   udVf
334  0x0000be64 0x0040ca64 4   5    .text   ascii   ubVf
335  0x0000bf08 0x0040cb08 4   5    .text   ascii   _^[]
336  0x0000bf49 0x0040cb49 6   7    .text   ascii   \n;H\bu\v
337  0x0000bf7e 0x0040cb7e 4   5    .text   ascii   SVWP
338  0x0000bfdb 0x0040cbdb 4   6    .text   utf8    v\a+ك blocks=Basic Latin,Arabic
339  0x0000bfea 0x0040cbea 9   13   .text   utf8    E̋}Ћ]̋D08 blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
340  0x0000bff7 0x0040cbf7 5   9    .text   utf8    }܉ủE blocks=Basic Latin,Syriac,Combining Diacritical Marks
341  0x0000c08e 0x0040cc8e 4   6    .text   utf8    M؋A  blocks=Basic Latin,Arabic
342  0x0000c0fd 0x0040ccfd 5   7    .text   utf8    uԋ|08 blocks=Basic Latin,Cyrillic Supplement
343  0x0000c13e 0x0040cd3e 4   6    .text   utf8    MԋA  blocks=Basic Latin,Cyrillic Supplement
344  0x0000c181 0x0040cd81 4   6    .text   utf8    u\a3Ƀ blocks=Basic Latin,Latin Extended-B
345  0x0000c1de 0x0040cdde 4   7    .text   utf8    ËMȋu blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
346  0x0000c1f8 0x0040cdf8 5   9    .text   utf8    W\f\vыϋ blocks=Basic Latin,Cyrillic,Greek and Coptic
347  0x0000c25f 0x0040ce5f 4   5    .text   ascii   Y_^[
348  0x0000c2a1 0x0040cea1 4   5    .text   ascii   SVWP
349  0x0000c4d7 0x0040d0d7 4   5    .text   ascii   Y_^[
350  0x0000c50c 0x0040d10c 4   5    .text   ascii   tOVW
351  0x0000c52c 0x0040d12c 4   6    .text   utf8    3ɋE\b blocks=Basic Latin,Latin Extended-B
352  0x0000c59e 0x0040d19e 4   5    .text   ascii   SVWP
353  0x0000c605 0x0040d205 4   6    .text   utf8    3ɋW\b blocks=Basic Latin,Latin Extended-B
354  0x0000c638 0x0040d238 4   5    .text   ascii   GpQP
355  0x0000c656 0x0040d256 4   5    .text   ascii   Y_^[
356  0x0000c68c 0x0040d28c 4   5    .text   ascii   tOVW
357  0x0000c6ac 0x0040d2ac 4   6    .text   utf8    3ɋE\b blocks=Basic Latin,Latin Extended-B
358  0x0000c71e 0x0040d31e 4   5    .text   ascii   SVWP
359  0x0000c7c2 0x0040d3c2 4   5    .text   ascii   GpVP
360  0x0000c7e0 0x0040d3e0 4   5    .text   ascii   Y_^[
361  0x0000c81c 0x0040d41c 4   5    .text   ascii   tOVW
362  0x0000c83c 0x0040d43c 4   6    .text   utf8    3ɋE\b blocks=Basic Latin,Latin Extended-B
363  0x0000c8ae 0x0040d4ae 4   5    .text   ascii   SVWP
364  0x0000c952 0x0040d552 4   5    .text   ascii   GpVP
365  0x0000c970 0x0040d570 4   5    .text   ascii   Y_^[
366  0x0000c995 0x0040d595 4   5    .text   ascii   h!vH
367  0x0000c9ae 0x0040d5ae 4   5    .text   ascii   SVWP
368  0x0000ca01 0x0040d601 4   5    .text   ascii   ~E,f
369  0x0000caae 0x0040d6ae 4   5    .text   ascii   Y_^[
370  0x0000cafe 0x0040d6fe 4   5    .text   ascii   SVWP
371  0x0000cb75 0x0040d775 4   5    .text   ascii   _\bKu
372  0x0000cb95 0x0040d795 4   5    .text   ascii   Y_^[
373  0x0000cbce 0x0040d7ce 4   5    .text   ascii   SVWP
