[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
303  0x000074a4 0x004080a4 4   5    .text   ascii   u\bj 
304  0x0000752a 0x0040812a 5   6    .text   ascii   f9E\bu
305  0x00007539 0x00408139 5   6    .text   ascii   f9E\bs
306  0x00007556 0x00408156 4   5    .text   ascii   E\bPj
307  0x00007587 0x00408187 4   5    .text   ascii   ;E\fs
308  0x00007601 0x00408201 4   5    .text   ascii   8csm
309  0x00007771 0x00408371 4   5    .text   ascii   vdj\b
310  0x0000778c 0x0040838c 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
311  0x000077b4 0x004083b4 4   5    .text   ascii   < w\b
312  0x000077be 0x004083be 8   10   .text   utf8    t$<"u\t3Ʌ blocks=Basic Latin,Latin Extended-B
313  0x000077df 0x004083df 5   6    .text   ascii   < w\aF
314  0x000077ed 0x004083ed 4   6    .text   utf8    ^Ã=0 blocks=Basic Latin,Latin-1 Supplement
315  0x00007866 0x00408466 5   6    .text   ascii   t?VSP
316  0x000078a2 0x004084a2 4   5    .text   ascii   Y[_^
317  0x000078c0 0x004084c0 5   6    .text   ascii   PPPPP
318  0x000078e5 0x004084e5 5   6    .text   ascii   9E\bt\t
319  0x000079a5 0x004085a5 4   5    .text   ascii   >"u&
320  0x000079ef 0x004085ef 10  11   .text   ascii   u\b< tK<\ttG
321  0x00007a56 0x00408656 4   5    .text   ascii   E\b^[
322  0x00007b3b 0x0040873b 5   6    .text   ascii   wf93t
323  0x00007b44 0x00408744 4   5    .text   ascii   f90u
324  0x00007b4c 0x0040874c 4   5    .text   ascii   f90u
325  0x00007b58 0x00408758 4   5    .text   ascii   VVV+
326  0x00007b60 0x00408760 5   6    .text   ascii   @PSVV
327  0x00007b7d 0x0040877d 4   5    .text   ascii   t*VV
328  0x00007bca 0x004087ca 6   7    .text   ascii   j@j ^V
329  0x00007c30 0x00408830 5   6    .text   ascii   SWf9M
330  0x00007c6c 0x0040886c 4   5    .text   ascii   j@j 
331  0x00007ca9 0x004088a9 4   5    .text   ascii   @ \n\n
332  0x00007cf3 0x004088f3 4   5    .text   ascii   \bu\vP
333  0x00007e9f 0x00408a9f 5   6    .text   ascii   Y__^[
334  0x00007ebe 0x00408abe 4   5    .text   ascii   s\b35
335  0x00007f93 0x00408b93 4   5    .text   ascii   9csm
336  0x00007fcf 0x00408bcf 6   7    .text   ascii   E\f9X\ft
337  0x00008266 0x00408e66 5   6    .text   ascii   PPPPP
338  0x000082b9 0x00408eb9 4   5    .text   ascii   M\b^;
339  0x000082d6 0x00408ed6 4   5    .text   ascii   j h`
340  0x000082e8 0x00408ee8 4   6    .text   utf8    }؋]\b blocks=Basic Latin,Arabic
341  0x00008347 0x00408f47 4   5    .text   ascii   t!Ht
342  0x000083b4 0x00408fb4 4   6    .text   utf8    Y3\tE
343  0x000083cd 0x00408fcd 4   6    .text   utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
344  0x000083f0 0x00408ff0 4   6    .text   utf8    M܋\r\ blocks=Basic Latin,Syriac
345  0x00008461 0x00409061 4   6    .text   utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
346  0x0000846c 0x0040906c 5   7    .text   utf8    EЉGd3 blocks=Basic Latin,Cyrillic
347  0x000084b3 0x004090b3 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
348  0x0000876b 0x0040936b 4   6    .text   utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
349  0x000087c4 0x004093c4 4   6    .text   utf8    YH]Ë blocks=Basic Latin,Latin-1 Supplement
350  0x00008804 0x00409404 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
351  0x0000880a 0x0040940a 4   6    .text   utf8    A8PE
352  0x0000886f 0x0040946f 4   5    .text   ascii   _^[]
353  0x0000889a 0x0040949a 4   5    .text   ascii   \bSVW
354  0x00008903 0x00409503 4   5    .text   ascii   Y_^[
355  0x0000890f 0x0040950f 4   6    .text   utf8    \b3ҁ9 blocks=Basic Latin,Cyrillic
356  0x00008934 0x00409534 4   5    .text   ascii   Y_^[
357  0x000089e5 0x004095e5 4   5    .text   ascii   E\fVW
358  0x00008a8e 0x0040968e 4   5    .text   ascii   tG9\r
359  0x00008b5d 0x0040975d 5   7    .text   utf8    _^]ËM blocks=Basic Latin,Latin-1 Supplement
360  0x00008bc2 0x004097c2 4   5    .text   ascii   9U\fu
361  0x00008bc9 0x004097c9 5   7    .text   utf8    _^[]Å blocks=Basic Latin,Latin-1 Supplement
362  0x00008c1d 0x0040981d 4   5    .text   ascii   t'Ou
363  0x00008c56 0x00409856 5   6    .text   ascii   M\fjPf
364  0x00008cba 0x004098ba 5   7    .text   utf8    _^]ËE blocks=Basic Latin,Latin-1 Supplement
365  0x00008d86 0x00409986 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
