Metadata Signature: 0x14d14 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 537c
Stream name: #~ 4
DirectoryAddress: 53e8 Size: 57c4
Stream name: #Strings 12
DirectoryAddress: abac Size: cc
Stream name: #US 4
DirectoryAddress: ac78 Size: 10
Stream name: #GUID 8
DirectoryAddress: ac88 Size: 1ac8
Stream name: #Blob 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
289   0x00015f1c 0x00417b1c 4   5    .text   ascii   nKP\a
290   0x000160a3 0x00417ca3 4   5    .text   ascii   \b\n\f'
291   0x000160bf 0x00417cbf 4   5    .text   ascii   \b#\f?
292   0x000165c8 0x004181c8 5   6    .text   ascii   1 X\bk
293   0x000165d6 0x004181d6 5   6    .text   ascii   ? X\bn
294   0x000165e4 0x004181e4 5   6    .text   ascii   - c\bq
295   0x000166b5 0x004182b5 4   5    .text   ascii   \b;")
296   0x00016742 0x00418342 4   5    .text   ascii   >##\t
297   0x00016830 0x00418430 4   5    .text   ascii   c$w\t
298   0x0001683e 0x0041843e 4   5    .text   ascii   s$w\t
299   0x000168ad 0x004184ad 4   5    .text   ascii   \b;")
300   0x00016a28 0x00418628 4   5    .text   ascii   $'L\n
301   0x00016a36 0x00418636 4   5    .text   ascii   /'L\n
302   0x00016ab4 0x004186b4 4   5    .text   ascii   #(m\n
303   0x00016e42 0x00418a42 4   5    .text   ascii   G2L\r
304   0x00016f84 0x00418b84 4   10   .text   utf16le fÕòࡘ blocks=Basic Latin,Latin-1 Supplement,Mandaic
305   0x00017039 0x00418c39 4   5    .text   ascii   \b\e8)
306   0x0001710b 0x00418d0b 4   5    .text   ascii   \b+9)
307   0x00017119 0x00418d19 4   5    .text   ascii   \b=9)
308   0x00017127 0x00418d27 4   5    .text   ascii   \bV9)
309   0x00017277 0x00418e77 4   5    .text   ascii   \bV9)
310   0x000172af 0x00418eaf 4   5    .text   ascii   \b\v;b
311   0x0001733b 0x00418f3b 4   5    .text   ascii   \bw;\a
312   0x0001786d 0x0041946d 4   5    .text   ascii   @^DR
313   0x00017a9d 0x0041969d 4   5    .text   ascii    ^I\t
314   0x00018e07 0x0041aa07 4   5    .text   ascii    J\b!
315   0x00018ed3 0x0041aad3 4   5    .text   ascii   +m\vi
316   0x00018ed8 0x0041aad8 4   5    .text   ascii   \t,y\v
317   0x00018ede 0x0041aade 5   6    .text   ascii   6,m\vI
318   0x00018fff 0x0041abff 4   5    .text   ascii   2,\rq
319   0x0001900a 0x0041ac0a 5   6    .text   ascii   }1?\rl
320   0x00019016 0x0041ac16 5   6    .text   ascii   ;2F\rl
321   0x0001903a 0x0041ac3a 4   5    .text   ascii   z2d\r
322   0x00019047 0x0041ac47 4   5    .text   ascii   2o\r|
323   0x000190be 0x0041acbe 4   5    .text   ascii   }1?\r
324   0x000190e2 0x0041ace2 4   5    .text   ascii   }1?\r
325   0x000191f0 0x0041adf0 5   6    .text   ascii   m5d\rT
326   0x0001927b 0x0041ae7b 4   5    .text   ascii   <d\rI
327   0x000194de 0x0041b0de 4   5    .text   ascii   VH:\v
328   0x0001990c 0x0041b50c 4   5    .text   ascii   \\a#\v
329   0x000199f1 0x0041b5f1 7   8    .text   ascii   \a'\aH\ar\a
330   0x00019a01 0x0041b601 5   6    .text   ascii   \bS\bo\b
331   0x00019a0f 0x0041b60f 13  14   .text   ascii   \t\b\t.\t5\tV\tj\t|\t
332   0x00019a2d 0x0041b62d 11  12   .text   ascii   \n-\nS\nZ\ns\n}\n
333   0x00019a39 0x0041b639 5   6    .text   ascii   \nJ\v`\v
334   0x00019a4b 0x0041b64b 7   8    .text   ascii   \r9\rS\ru\r
335   0x00019b00 0x0041b700 12  26   .text   utf16le ? A%H)I*M-Q.
336   0x00019de1 0x0041b9e1 5   6    .text   ascii   I:IwI
337   0x00019df6 0x0041b9f6 10  11   .text   ascii   ~\a\\fd\fn\fv\f
338   0x0001a02a 0x0041bc2a 10  22   .text   utf16le \t\b\n\t\v\t\f\t\r\t
339   0x0001a076 0x0041bc76 34  70   .text   utf16le &%'%(%)%*%+%213141657585RQSQTQWVXV
340   0x0001a0fd 0x0041bcfd 44  45   .text   ascii   hhhhhhhhhhhhhhhhhhhdffffffffffffffffffffffff
341   0x0001a12a 0x0041bd2a 28  29   .text   ascii   AssemblyDescriptionAttribute
342   0x0001a147 0x0041bd47 17  18   .text   ascii   System.Reflection
343   0x0001a159 0x0041bd59 8   9    .text   ascii   mscorlib
344   0x0001a162 0x0041bd62 5   6    .text   ascii   .ctor
345   0x0001a168 0x0041bd68 4   5    .text   ascii   Void
346   0x0001a16d 0x0041bd6d 6   7    .text   ascii   System
347   0x0001a174 0x0041bd74 6   7    .text   ascii   String
348   0x0001a17b 0x0041bd7b 24  25   .text   ascii   AssemblyCompanyAttribute
349   0x0001a194 0x0041bd94 22  23   .text   ascii   AssemblyTitleAttribute
350   0x0001a1ab 0x0041bdab 28  29   .text   ascii   AssemblyFileVersionAttribute
351   0x0001a1c8 0x0041bdc8 24  25   .text   ascii   AssemblyProductAttribute
352   0x0001a1e1 0x0041bde1 26  27   .text   ascii   AssemblyCopyrightAttribute
353   0x0001a1fc 0x0041bdfc 31  32   .text   ascii   CompilationRelaxationsAttribute
354   0x0001a21c 0x0041be1c 31  32   .text   ascii   System.Runtime.CompilerServices
355   0x0001a23c 0x0041be3c 5   6    .text   ascii   Int32
