Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
349  0x00004afc 0x000156fc 4   5    .text   ascii   t$8H
350  0x00004b0e 0x0001570e 4   5    .text   ascii   \$\bH
351  0x00004b52 0x00015752 6   7    .text   ascii   9H\~\bH
352  0x00004dab 0x000159ab 4   5    .text   ascii   \$0H
353  0x00004db0 0x000159b0 4   5    .text   ascii   l$8H
354  0x00004db5 0x000159b5 4   5    .text   ascii   t$@H
355  0x00005015 0x00015c15 4   5    .text   ascii   t5A;
356  0x000050c4 0x00015cc4 9   10   .text   ascii   t$ WATAUH
357  0x000050d7 0x00015cd7 4   5    .text   ascii   D$@H
358  0x000050ec 0x00015cec 6   7    .text   ascii   Hc|$@H
359  0x00005170 0x00015d70 4   5    .text   ascii   \$HH
360  0x00005175 0x00015d75 4   5    .text   ascii   l$PH
361  0x0000517a 0x00015d7a 4   5    .text   ascii   t$XH
362  0x00005180 0x00015d80 6   7    .text   ascii    A]A\_
363  0x00005192 0x00015d92 15  16   .text   ascii   \$ UVWATAUAVAWH
364  0x000051ce 0x00015dce 5   6    .text   ascii   D$HI;
365  0x000051da 0x00015dda 4   5    .text   ascii   L9y8
366  0x000051e6 0x00015de6 4   5    .text   ascii   D$hH
367  0x000051eb 0x00015deb 4   5    .text   ascii   T$`I
368  0x00005205 0x00015e05 10  11   .text   ascii   C(+{HH;C0u
369  0x00005210 0x00015e10 5   6    .text   ascii   H9CHu
370  0x00005216 0x00015e16 5   6    .text   ascii   D9{Pt
371  0x0000523f 0x00015e3f 4   5    .text   ascii   l$hH
372  0x00005260 0x00015e60 4   5    .text   ascii   L$`;
373  0x000052ae 0x00015eae 4   5    .text   ascii   P0A;
374  0x000052e2 0x00015ee2 4   5    .text   ascii   D$hH
375  0x000052e7 0x00015ee7 4   5    .text   ascii   T$`H
376  0x000052ee 0x00015eee 6   7    .text   ascii   PH9t$`
377  0x000052f5 0x00015ef5 4   5    .text   ascii   l$hD
378  0x000052fd 0x00015efd 6   7    .text   ascii   L\$`D;
379  0x0000533b 0x00015f3b 4   5    .text   ascii   D$pH
380  0x00005353 0x00015f53 4   5    .text   ascii   D$pA
381  0x0000535e 0x00015f5e 8   9    .text   ascii   ;D$`}\nE9
382  0x00005378 0x00015f78 4   5    .text   ascii   P0A;
383  0x0000539d 0x00015f9d 4   5    .text   ascii   \$xH
384  0x000053a3 0x00015fa3 12  13   .text   ascii    A_A^A]A\_^]
385  0x00005402 0x00016002 4   5    .text   ascii   \$\bH
386  0x000054c0 0x000160c0 4   5    .text   ascii   \$0H
387  0x000054c5 0x000160c5 4   5    .text   ascii   t$83
388  0x000054da 0x000160da 5   6    .text   ascii   \$\bWH
389  0x00005543 0x00016143 4   5    .text   ascii   \$0H
390  0x00005556 0x00016156 4   5    .text   ascii   \$\bH
391  0x0000566a 0x0001626a 4   5    .text   ascii   \$0H
392  0x0000566f 0x0001626f 4   5    .text   ascii   l$8H
393  0x00005674 0x00016274 4   5    .text   ascii   t$@H
394  0x00005686 0x00016286 4   5    .text   ascii   \$\bH
395  0x00005781 0x00016381 4   5    .text   ascii   \$0H
396  0x00005786 0x00016386 4   5    .text   ascii   t$8H
397  0x0000579e 0x0001639e 5   6    .text   ascii   \$\bWH
398  0x00005853 0x00016453 4   5    .text   ascii   D$83
399  0x0000585c 0x0001645c 4   6    .text   utf8    D$8=
400  0x0000587a 0x0001647a 4   5    .text   ascii   \$0H
401  0x0000589c 0x0001649c 5   6    .text   ascii   t$ WH
402  0x000058ee 0x000164ee 4   5    .text   ascii   L$PH
403  0x000058f3 0x000164f3 4   5    .text   ascii   D$(H
404  0x0000591d 0x0001651d 4   5    .text   ascii   L$PM
405  0x000059b5 0x000165b5 4   5    .text   ascii   9{Tv
406  0x000059c2 0x000165c2 4   5    .text   ascii   S\bE3
407  0x000059d2 0x000165d2 4   5    .text   ascii   ;{Tr
408  0x000059e6 0x000165e6 4   6    .text   utf8    E39\b
409  0x000059fc 0x000165fc 4   5    .text   ascii   \$XH
410  0x00005a01 0x00016601 4   5    .text   ascii   l$`H
