[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
241  0x000021c0 0x10040dc0 4   6    .upx1   utf8    ͜=B5 blocks=Combining Diacritical Marks,Basic Latin
242  0x000021d2 0x10040dd2 4   5    .upx1   ascii   @\t@R
243  0x00002221 0x10040e21 5   6    .upx1   ascii   ,D\e8S
244  0x0000224b 0x10040e4b 4   6    .upx1   utf8    !ɇiU blocks=Basic Latin,Latin Extended-B
245  0x0000225d 0x10040e5d 4   5    .upx1   ascii   %$^k
246  0x00002272 0x10040e72 4   5    .upx1   ascii   {E-c
247  0x0000229a 0x10040e9a 4   5    .upx1   ascii   Oa# 
248  0x0000229f 0x10040e9f 4   5    .upx1   ascii   \n@Rc
249  0x000022da 0x10040eda 5   6    .upx1   ascii   WK;Qe
250  0x000022e0 0x10040ee0 4   6    .upx1   utf8    \f1aɣ blocks=Basic Latin,IPA Extensions
251  0x00002328 0x10040f28 6   7    .upx1   ascii   0vtu$C
252  0x00002359 0x10040f59 4   5    .upx1   ascii   k!\e\e
253  0x00002386 0x10040f86 10  11   .upx1   ascii   LocalAlloc
254  0x000023ac 0x10040fac 5   6    .upx1   ascii   @ _-\v
255  0x000023f1 0x10040ff1 4   6    .upx1   utf8    {/ʡY blocks=Basic Latin,IPA Extensions
256  0x00002409 0x10041009 4   8    .upx1   utf8    U锦-؎ blocks=Basic Latin,CJK Unified Ideographs,Arabic
257  0x00002413 0x10041013 5   6    .upx1   ascii   B9xIm
258  0x0000244e 0x1004104e 10  11   .upx1   ascii   USER32.dll
259  0x00002498 0x10041098 5   7    .upx1   utf8    z5^Ѕ\v blocks=Basic Latin,Cyrillic
260  0x0000250a 0x1004110a 4   6    .upx1   utf8    \r#țn blocks=Basic Latin,Latin Extended-B
261  0x00002569 0x10041169 4   5    .upx1   ascii   G^\vb
262  0x00002578 0x10041178 5   7    .upx1   utf8    kԼ6=O blocks=Basic Latin,Armenian
263  0x000025bf 0x100411bf 5   6    .upx1   ascii   ?'X?F
264  0x000025c6 0x100411c6 4   5    .upx1   ascii   GB,h
265  0x000025ee 0x100411ee 5   7    .upx1   utf8    ^\eIj`
266  0x00002601 0x10041201 11  12   .upx1   ascii   CloseHandle
267  0x00002652 0x10041252 5   7    .upx1   utf8    BE߯u, blocks=Basic Latin,NKo
268  0x00002679 0x10041279 5   6    .upx1   ascii   \ni`"~
269  0x00002687 0x10041287 5   6    .upx1   ascii   $/gH?
270  0x00002698 0x10041298 4   6    .upx1   utf8    ¯k{I blocks=Latin-1 Supplement,Basic Latin
271  0x000026c2 0x100412c2 11  12   .upx1   ascii   SHLWAPI.dll
272  0x00002717 0x10041317 4   6    .upx1   utf8    65ʊG blocks=Basic Latin,IPA Extensions
273  0x00002835 0x10041435 4   5    .upx1   ascii   H})D
274  0x0000288f 0x1004148f 4   6    .upx1   utf8    ۵Ht1 blocks=Arabic,Basic Latin
275  0x000028bc 0x100414bc 4   5    .upx1   ascii   ]\v5O
276  0x000028ea 0x100414ea 4   5    .upx1   ascii   hx"h
277  0x0000292d 0x1004152d 4   6    .upx1   utf8    @Rɢp blocks=Basic Latin,IPA Extensions
278  0x00002935 0x10041535 5   6    .upx1   ascii   X>f$H
279  0x00002960 0x10041560 6   7    .upx1   ascii   =W7U%k
280  0x0000298e 0x1004158e 4   6    .upx1   utf8    _ލco blocks=Basic Latin,Thaana
281  0x00002a0c 0x1004160c 5   6    .upx1   ascii   @Rhc-
282  0x00002a18 0x10041618 5   7    .upx1   utf8    יZh,b blocks=Hebrew,Basic Latin
283  0x00002a1f 0x1004161f 6   8    .upx1   utf8    .:Hڀ\fR blocks=Basic Latin,Arabic
284  0x00002a2b 0x1004162b 4   5    .upx1   ascii   ASHz
285  0x00002a99 0x10041699 6   8    .upx1   utf8    .'ĕuYw blocks=Basic Latin,Latin Extended-A
286  0x00002ad2 0x100416d2 4   5    .upx1   ascii   *nzA
287  0x00002b2a 0x1004172a 4   5    .upx1   ascii   @R}r
288  0x00002b5f 0x1004175f 4   6    .upx1   utf8    ͳf#\e blocks=Greek and Coptic,Basic Latin
289  0x00002b78 0x10041778 6   8    .upx1   utf8    :x8dfĊ blocks=Basic Latin,Latin Extended-A
290  0x00002b85 0x10041785 4   5    .upx1   ascii   av?v
291  0x00002ba0 0x100417a0 4   5    .upx1   ascii   oQ0Z
292  0x00002be8 0x100417e8 5   6    .upx1   ascii   .$xfz
293  0x00002bfc 0x100417fc 4   5    .upx1   ascii   `\r>D
294  0x00002c56 0x10041856 4   5    .upx1   ascii   0$Fe
295  0x00002c83 0x10041883 4   5    .upx1   ascii   R\ep~
296  0x00002d64 0x10041964 4   5    .upx1   ascii   m'\au
297  0x00002e23 0x10041a23 4   7    .upx1   utf8    {=㑋. blocks=Basic Latin,CJK Unified Ideographs Extension A
298  0x00002e30 0x10041a30 4   5    .upx1   ascii   f"ra
299  0x00002e80 0x10041a80 4   5    .upx1   ascii   3@\r]
300  0x00002f6e 0x10041b6e 4   6    .upx1   utf8    hͺVn blocks=Basic Latin,Greek and Coptic
301  0x00002f79 0x10041b79 7   8    .upx1   ascii   e;A pT]
302  0x00002f8a 0x10041b8a 4   5    .upx1   ascii   =CC=
303  0x00002f93 0x10041b93 4   5    .upx1   ascii   /R'K
304  0x00002fb1 0x10041bb1 4   5    .upx1   ascii   !Oe\f
305  0x00002fc8 0x10041bc8 4   5    .upx1   ascii   V_o\t
306  0x00003012 0x10041c12 5   6    .upx1   ascii   D$\f)-
307  0x00003024 0x10041c24 4   5    .upx1   ascii   7}``
308  0x00003042 0x10041c42 4   6    .upx1   utf8    @RѺ< blocks=Basic Latin,Cyrillic
309  0x0000307b 0x10041c7b 5   6    .upx1   ascii   zzz1\a
310  0x0000313b 0x10041d3b 11  12   .upx1   ascii   WINHTTP.dll
311  0x0000314c 0x10041d4c 5   9    .upx1   utf8    @Ṙёן blocks=Basic Latin,Combining Diacritical Marks,Cyrillic,Hebrew
312  0x000031bb 0x10041dbb 4   5    .upx1   ascii   50A,
