[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
271  0x000041ef 0x0040afef 4   5    .rsrc   ascii   lwG)
272  0x0000422f 0x0040b02f 4   5    .rsrc   ascii   e;HI
273  0x00004241 0x0040b041 7   8    .rsrc   ascii   6XY]!nD
274  0x0000426d 0x0040b06d 4   6    .rsrc   utf8    I҄<O blocks=Basic Latin,Cyrillic
275  0x000042b0 0x0040b0b0 5   10   .rsrc   utf8    !Ͽ?ߐ blocks=Private Use Area,Basic Latin,Greek and Coptic,NKo
276  0x0000432b 0x0040b12b 4   5    .rsrc   ascii   ~Rl^
277  0x0000434c 0x0040b14c 6   7    .rsrc   ascii   u(%Iqt
278  0x00004381 0x0040b181 4   5    .rsrc   ascii   9J+l
279  0x00004396 0x0040b196 4   5    .rsrc   ascii   oGdq
280  0x0000443a 0x0040b23a 9   13   .rsrc   utf8    shw5P㖀z̆V blocks=Basic Latin,CJK Unified Ideographs Extension A,Combining Diacritical Marks
281  0x00004482 0x0040b282 4   7    .rsrc   utf8    ޝ\aܾ} blocks=Thaana,Basic Latin,Syriac
282  0x00004489 0x0040b289 5   6    .rsrc   ascii   c%a#&
283  0x00004492 0x0040b292 4   5    .rsrc   ascii   h0b2
284  0x000044b8 0x0040b2b8 4   5    .rsrc   ascii   K.Ct
285  0x000044f9 0x0040b2f9 7   8    .rsrc   ascii   j\nSr^^M
286  0x00004549 0x0040b349 4   5    .rsrc   ascii   eXx&
287  0x00004558 0x0040b358 4   5    .rsrc   ascii   ..nW
288  0x000045c7 0x0040b3c7 7   9    .rsrc   utf8    i\nR`r[є blocks=Basic Latin,Cyrillic
289  0x00004639 0x0040b439 4   5    .rsrc   ascii   J>>[
290  0x0000467c 0x0040b47c 4   6    .rsrc   utf8    gLdD
291  0x000046be 0x0040b4be 4   5    .rsrc   ascii   60(F
292  0x00004719 0x0040b519 4   7    .rsrc   utf8    燛<N' blocks=CJK Unified Ideographs,Basic Latin
293  0x00004729 0x0040b529 8   9    .rsrc   ascii   >Vh"-99\e
294  0x00004760 0x0040b560 5   7    .rsrc   utf8    !̸\tQg blocks=Basic Latin,Combining Diacritical Marks
295  0x0000478e 0x0040b58e 4   6    .rsrc   utf8    ƞK{{ blocks=Latin Extended-B,Basic Latin
296  0x000047ae 0x0040b5ae 8   10   .rsrc   utf8    jF_WǞ{l= blocks=Basic Latin,Latin Extended-B
297  0x000047c6 0x0040b5c6 5   6    .rsrc   ascii   #A;?#
298  0x000047d9 0x0040b5d9 4   5    .rsrc   ascii   iNn\r
299  0x00004854 0x0040b654 5   6    .rsrc   ascii   \vYT99
300  0x000048d2 0x0040b6d2 6   7    .rsrc   ascii    [+U\t!
301  0x00004929 0x0040b729 4   5    .rsrc   ascii   X0SB
302  0x0000492e 0x0040b72e 4   6    .rsrc   utf8    Ȭat< blocks=Latin Extended-B,Basic Latin
303  0x00004935 0x0040b735 5   6    .rsrc   ascii   :TDq@
304  0x00004948 0x0040b748 4   6    .rsrc   utf8    <˙L2 blocks=Basic Latin,Spacing Modifier Letters
305  0x0000496a 0x0040b76a 4   5    .rsrc   ascii   hm"U
306  0x00004a44 0x0040b844 4   5    .rsrc   ascii   }F''
307  0x00004a89 0x0040b889 4   5    .rsrc   ascii   r8==
308  0x00004a94 0x0040b894 4   5    .rsrc   ascii   &79i
309  0x00004abf 0x0040b8bf 4   5    .rsrc   ascii   u'T1
310  0x00004b0b 0x0040b90b 4   5    .rsrc   ascii   |cww
311  0x00004b19 0x0040b919 4   5    .rsrc   ascii   .Z5&
312  0x00004b79 0x0040b979 5   6    .rsrc   ascii   v2Abi
313  0x00004bd9 0x0040b9d9 4   6    .rsrc   utf8    A\rNɎ blocks=Basic Latin,Latin Extended-B
314  0x00004bec 0x0040b9ec 7   8    .rsrc   ascii   N9>>"P!
315  0x00004c14 0x0040ba14 4   5    .rsrc   ascii   UCE\v
316  0x00004c4c 0x0040ba4c 4   6    .rsrc   utf8    آ#(1 blocks=Arabic,Basic Latin
317  0x00004cc3 0x0040bac3 4   5    .rsrc   ascii   `:M!
