[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
241  0x0000571f 0x0040571f 4   5    .text   ascii   ~&WP
242  0x0000575f 0x0040575f 4   5    .text   ascii   SVW3
243  0x0000581e 0x0040581e 5   6    .text   ascii   uFWWj
244  0x00005824 0x00405824 6   7    .text   ascii   [Sh|d@
245  0x00005843 0x00405843 8   9    .text   ascii   "WWShxd@
246  0x000058ab 0x004058ab 5   6    .text   ascii   9} u\b
247  0x000058b6 0x004058b6 4   5    .text   ascii   E WW
248  0x000058f6 0x004058f6 4   7    .text   utf8    ĉE܃M blocks=Latin Extended-A,Basic Latin,Syriac
249  0x0000592f 0x0040592f 5   6    .text   ascii   tMWWS
250  0x00005950 0x00405950 4   5    .text   ascii   t@9}
251  0x0000597e 0x0040597e 5   8    .text   utf8    3\reȋM blocks=Basic Latin,Latin Extended-B
252  0x000059f3 0x004059f3 4   5    .text   ascii   VSh 
253  0x00005ad6 0x00405ad6 4   5    .text   ascii   E\bPh
254  0x00005c69 0x00405c69 4   5    .text   ascii   E\b^_
255  0x00005c75 0x00405c75 4   5    .text   ascii   E\b^_
256  0x00005c87 0x00405c87 4   5    .text   ascii   E\b^_
257  0x00005ca1 0x00405ca1 4   5    .text   ascii   E\b^_
258  0x00005e01 0x00405e01 4   5    .text   ascii   E\b^_
259  0x00005e0f 0x00405e0f 4   5    .text   ascii   E\b^_
260  0x00005e25 0x00405e25 4   5    .text   ascii   E\b^_
261  0x00005e3f 0x00405e3f 4   5    .text   ascii   E\b^_
262  0x00005e47 0x00405e47 4   5    .text   ascii   t$\bW
263  0x00005e98 0x00405e98 5   7    .text   utf8    _^ËD$ blocks=Basic Latin,Latin-1 Supplement
264  0x00005ef2 0x00405ef2 4   5    .text   ascii   SUVW
265  0x00005fa0 0x00405fa0 4   5    .text   ascii   _^][
266  0x00006105 0x00406105 7   8    .rdata  ascii    (8PX\a\b
267  0x0000610d 0x0040610d 6   7    .rdata  ascii   700WP\a
268  0x0000611c 0x0040611c 7   8    .rdata  ascii   \b`h````
269  0x00006125 0x00406125 9   10   .rdata  ascii   ppxxxx\b\a\b
270  0x00006144 0x00406144 4   10   .rdata  utf16le ull)
271  0x00006150 0x00406150 6   7    .rdata  ascii   (null)
272  0x00006158 0x00406158 22  23   .rdata  ascii   __GLOBAL_HEAP_SELECTED
273  0x00006170 0x00406170 20  21   .rdata  ascii   __MSVCRT_HEAP_SELECT
274  0x00006188 0x00406188 14  15   .rdata  ascii   runtime error 
275  0x0000619c 0x0040619c 13  14   .rdata  ascii   TLOSS error\r\n
276  0x000061ac 0x004061ac 12  13   .rdata  ascii   SING error\r\n
277  0x000061bc 0x004061bc 14  15   .rdata  ascii   DOMAIN error\r\n
278  0x000061cc 0x004061cc 36  37   .rdata  ascii   R6028\r\n- unable to initialize heap\r\n
279  0x000061f4 0x004061f4 52  53   .rdata  ascii   R6027\r\n- not enough space for lowio initialization\r\n
280  0x0000622c 0x0040622c 52  53   .rdata  ascii   R6026\r\n- not enough space for stdio initialization\r\n
